day_type,AIRPORT IND 1,AIRPORT CITY,AIRPORT IND 2,N2 FREEWAY,R300 FREEWAY,WESTRIDGE,ROCKLANDS,BEACON VALLEY,TOWN CENTRE
Fridays,16:00,,via,,,,,via,17:10
Fridays,16:45,via,via,,,,,via,18:00
MondaysToFridays,06:00,,via,,,,,via,06:40
MondaysToFridays,16:00,,,,,,,via,17:00
Mondays_to_Thursdays,,,16:35,,,,,,17:30
Mondays_to_Thursdays,16:45,via,via,,,,,via,18:00
Mondays_to_Thursdays,17:20,,,via,via,via,via,,18:50
PublicHolidays,06:10,,via,,,,,via,06:45
PublicHolidays,06:30,,via,,,,,via,07:10
PublicHolidays,14:30,,via,,,,,via,15:30
