day_type,TOWN CENTRE,ROCKLANDS,EINDHOVEN,VOORBRUG,THE HAGUE
Fridays,10:50,,via,via,11:50
Mondays_to_Thursdays,11:50,,via,via,12:30
Fridays,11:50,,via,via,12:30
Fridays,12:10,,via,via,13:10
MondaysToFridays,13:10,,via,via,14:10
Fridays,13:50,,via,via,14:45
Mondays_to_Thursdays,13:50,,via,via,14:40
MondaysToFridays,14:50,,via,via,15:50
Mondays_to_Thursdays,15:30,via,,via,16:25
Saturdays,09:30,,via,via,10:30
Saturdays,10:00,,via,via,10:50
Saturdays,11:00,,via,via,11:50
Saturdays,11:30,,via,via,12:00
Saturdays,12:00,,via,via,13:05
Saturdays,12:30,,via,via,13:30
Saturdays,13:30,,via,via,14:30
Saturdays,14:00,,via,via,15:00
Saturdays,14:30,,via,via,15:40
Saturdays,15:30,,via,via,16:40
Sundays,08:40,,via,via,09:40
Sundays,10:40,,via,via,11:40
Sundays,11:40,,via,via,13:15
Sundays,12:10,,via,via,13:10
Sundays,13:10,,via,via,14:10
