day_type,ELECTRIC CITY,MELTON ROSE STN,KLEINVLEI,HILLCREST,WEMBLEY PARK,MFULENI,MALIBU,WESBANK,BRENTWOOD PARK,KUILS RIVER TERM,FREEWAY,MOWBRAY,GROOTE SCHUUR HOSP,CAPE TOWN,SOMERSET HOSP,WATERFRONT
Fridays,07:30,,via,,,07:55,via,,via,,via,,,08:40,,
Fridays,13:45,,via,,,via,via,via,via,,,,,15:30,,
Fridays,09:30,,via,,,via,via,via,via,,,,,10:45,,
Fridays,08:45,,via,,,via,via,via,via,,,,,10:35,,
Fridays,,,,,,,,06:05,via,,,,,07:20,,
Fridays,06:05,,,,,,,,,,via,,,07:30,,
MondaysToFridays,17:10,,,,,via,via,via,via,,,,,18:20,19:00,
MondaysToFridays,,,,,,07:20,via,,via,,,08:30,,09:10,,
MondaysToFridays,via,,,,,07:00,,,,,,,,09:00,,
MondaysToFridays,,,,,,06:55,via,,via,,,,,08:25,,
MondaysToFridays,06:30,,,,,,,,,,via,,,08:20,,
MondaysToFridays,,,,,,,06:25,,via,,,,,08:15,,
MondaysToFridays,,,,,,06:05,,,,,,,,07:30,,
MondaysToFridays,,,,,,,06:00,,,,,,,07:50,,
MondaysToFridays,04:45,,via,,,,,,,,,via,06:25,,,
MondaysToFridays,05:55,,,,,,,,,,via,,,07:20,,
MondaysToFridays,05:45,,,,,,,,,,via,,,07:10,,
MondaysToFridays,05:35,,,,,,,,,,via,,,07:00,,
MondaysToFridays,,,,,,,,,,05:55,,,,07:00,,
MondaysToFridays,04:55,,via,,,,via,,,,,,,,06:40,via
MondaysToFridays,,,,,,05:30,via,,,,,06:35,06:45,07:00,,
MondaysToFridays,,05:30,,,,,,,,,,,,07:30,,
MondaysToFridays,,,,05:30,,,via,,,,via,,,06:40,,
MondaysToFridays,,,,,05:25,,,,via,,,,,06:50,,
MondaysToFridays,,,,,,,,05:25,via,,,,,06:10,,
MondaysToFridays,,,05:20,,,,,,,,via,,,06:40,,
MondaysToFridays,,,,,,05:00,via,,,,,,,06:00,,
MondaysToFridays,05:00,,,,,,,,,,via,,,06:40,,
MondaysToFridays,05:15,,,,,,,,,,via,,,07:00,,
Mondays_to_Thursdays,13:45,,via,,,via,via,via,via,,,,,15:40,,
Mondays_to_Thursdays,17:15,,via,,,via,via,via,,,via,18:30,19:00,,,
Mondays_to_Thursdays,08:45,,via,,,via,via,via,via,,,,,11:05,,
Mondays_to_Thursdays,07:30,,via,,,07:55,via,,via,,via,,,08:30,,
Mondays_to_Thursdays,,,,,,,,06:05,via,,,,,08:00,,
Mondays_to_Thursdays,06:05,,,,,,,,,,via,,,08:00,,
Mondays_to_Thursdays,09:30,,via,,,via,via,via,via,,,,,11:00,,
PublicHolidays,05:30,,,,,,via,,via,,via,,,06:40,06:50,
PublicHolidays,05:30,,via,,,via,via,via,,,via,06:45,07:05,,,
PublicHolidays,17:30,,via,,,via,via,via,,,via,18:45,19:10,,,
PublicHolidays,17:30,,,,,,via,,via,,via,,,18:40,18:50,
Saturdays,,,,,,06:40,via,via,via,,,,,07:50,,
Saturdays,05:20,,,,,,via,,via,,,,,06:30,07:00,
Saturdays,06:20,,,,,via,via,via,via,,,07:40,,08:00,,
Saturdays,17:30,,via,,,via,via,via,,,via,18:30,18:40,,,
Saturdays,11:30,,,,,via,via,via,via,,,12:50,,13:10,,
Saturdays,05:20,,via,,,via,via,,via,,via,06:30,via,07:00,,
Saturdays,09:30,,,,,via,via,via,via,,,10:50,,11:20,,
Saturdays,08:30,,,,,via,via,via,via,,,09:50,,10:15,,
Saturdays,07:30,,,,,via,via,via,via,,,08:50,,09:00,,
Saturdays,17:30,,,,,,via,,via,,,,,18:40,18:50,
Sundays,05:30,,,,,,via,,via,,,,,,06:50,
Sundays,08:00,,,,,via,via,via,via,,,09:20,,09:30,,
Sundays,15:15,,,,,via,via,via,via,,,16:35,,16:40,,
Sundays,17:30,,,,,via,,,,,,18:45,19:05,,,
Sundays,17:30,,,,,,via,,via,,,,,18:40,18:50,
Sundays,05:30,,via,,,via,via,via,,,via,06:45,07:00,,,
