ROUTECODE,ROUTENAME,STOP_TYPE,STOP_DES,CLASSIFICA,X,Y
AAA6,CITY GOLDEN ACRE C LANE to SEA POINT,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AAA6,CITY GOLDEN ACRE C LANE to SEA POINT,LAST,On Beach Road 1st after Queens,Stop,18.3796971267661,-33.9209557551208
AAA7,SEA POINT to CITY,FIRST,On Beach Road 2nd after Solomons,Stop,18.3795197942729,-33.9215498670515
AAA7,SEA POINT to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AAE0,CITY GOLDEN ACRE C LANE to SOMERSET HOSP,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AAE0,CITY GOLDEN ACRE C LANE to SOMERSET HOSP,LAST,On Beach Road 2nd after Portswood,Stop,18.41725861906,-33.9044429507657
ADA0,BELLVILLE B LANE to CITY,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
ADA0,BELLVILLE B LANE to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADA1,CITY GOLDEN ACRE D LANE to BELLVILLE,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADA1,CITY GOLDEN ACRE D LANE to BELLVILLE,LAST,Bellville,Station,18.6298174453258,-33.9058781585298
ADA2,CITY GOLDEN ACRE G LANE to ELSIES RIVER,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADA2,CITY GOLDEN ACRE G LANE to ELSIES RIVER,LAST,Elsies River,Station,18.5679415553849,-33.9117530158546
ADA3,CITY GOLDEN ACRE D LANE to BELLVILLE,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADA3,CITY GOLDEN ACRE D LANE to BELLVILLE,LAST,Bellville,Station,18.6298174453258,-33.9058781585298
ADA5,CITY GOLDEN ACRE C LANE to ELSIES RIVER,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADA5,CITY GOLDEN ACRE C LANE to ELSIES RIVER,LAST,Elsies River,Station,18.5679415553849,-33.9117530158546
ADA6,ELSIES RIVER to CITY,FIRST,Elsies River,Station,18.5679415553849,-33.9117530158546
ADA6,ELSIES RIVER to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADA7,CITY GOLDEN ACRE C LANE to ELSIES RIVER,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADA7,CITY GOLDEN ACRE C LANE to ELSIES RIVER,LAST,Elsies River,Station,18.5679415553849,-33.9117530158546
ADA8,BELLVILLE B LANE to CITY,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
ADA8,BELLVILLE B LANE to CITY,LAST,On Strand Street 2nd after Russel,Stop,18.4309004504815,-33.9260261754457
ADA9,CITY GOLDEN ACRE C LANE to BELLVILLE,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADA9,CITY GOLDEN ACRE C LANE to BELLVILLE,LAST,Bellville,Station,18.6298174453258,-33.9058781585298
ADB0,BISHOP LAVIS to CITY,FIRST,On Bishop Lavis Drive after 35th Ave,Stop,18.5939588758874,-33.94568508495
ADB0,BISHOP LAVIS to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADB2,ELSIES RIVER to CITY,FIRST,Elsies River,Station,18.5679415553849,-33.9117530158546
ADB2,ELSIES RIVER to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADB3,CITY GOLDEN ACRE D LANE to ELSIES RIVER,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADB3,CITY GOLDEN ACRE D LANE to ELSIES RIVER,LAST,Elsies River,Station,18.5679415553849,-33.9117530158546
ADD0,BELLVILLE B LANE to CITY,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
ADD0,BELLVILLE B LANE to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADD1,CITY GOLDEN ACRE C LANE to BELLVILLE,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADD1,CITY GOLDEN ACRE C LANE to BELLVILLE,LAST,Bellville,Station,18.6298174453258,-33.9058781585298
ADD2,ELSIES RIVER to CITY,FIRST,Elsies River,Station,18.5679415553849,-33.9117530158546
ADD2,ELSIES RIVER to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADD3,CITY GOLDEN ACRE G LANE to ELSIES RIVER,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
ADD3,CITY GOLDEN ACRE G LANE to ELSIES RIVER,LAST,Elsies River,Station,18.5679415553849,-33.9117530158546
AEA0,BELLVILLE B LANE to MOWBRAY,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
AEA0,BELLVILLE B LANE to MOWBRAY,LAST,Mowbray,Station,18.4736745575384,-33.9485832827389
AEA1,MOWBRAY to BELLVILLE,FIRST,Mowbray,Station,18.4736745575384,-33.9485832827389
AEA1,MOWBRAY to BELLVILLE,LAST,Bellville,Station,18.6298174453258,-33.9058781585298
AEB2,CITY GOLDEN ACRE A LANE to AIRPORT IND 3,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AEB2,CITY GOLDEN ACRE A LANE to AIRPORT IND 3,LAST,On Robert Sobukwe Road 2nd after Salm,Stop,18.5856638824795,-33.9564577708515
AEB3,AIRPORT IND - CAPE TOWN VIA BONTEHEUWEL VIA LANGA VIA MOWBRAY,FIRST,On Manchester Street after Michigan,Stop,18.5865707779004,-33.9724989962888
AEB3,AIRPORT IND - CAPE TOWN VIA BONTEHEUWEL VIA LANGA VIA MOWBRAY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AFA8,BELLVILLE to SACKS CIRCLE,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
AFA8,BELLVILLE to SACKS CIRCLE,LAST,On Sacks Circle 6th after Peter Barlow,Stop,18.6530603894174,-33.9307561113888
AHA0,BRIDGETOWN to MOWBRAY,FIRST,On Blossom Street after Durant,Stop,18.5295288856433,-33.9637747436663
AHA0,BRIDGETOWN to MOWBRAY,LAST,Mowbray,Station,18.4736745575384,-33.9485832827389
AHA1,MOWBRAY to BRIDGETOWN,FIRST,Mowbray,Station,18.4736745575384,-33.9485832827389
AHA1,MOWBRAY to BRIDGETOWN,LAST,On Blossom Street after Appledene,Stop,18.5303579925399,-33.9625338055026
AHA4,BRIDGETOWN to CITY,FIRST,On Blossom Street after Durant,Stop,18.5295288856433,-33.9637747436663
AHA4,BRIDGETOWN to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AHA5,CITY GOLDEN ACRE G LANE to BRIDGETOWN,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AHA5,CITY GOLDEN ACRE G LANE to BRIDGETOWN,LAST,On Blossom Street after Appledene,Stop,18.5303579925399,-33.9625338055026
AHA8,BRIDGETOWN to CITY,FIRST,On Blossom Street after Durant,Stop,18.5295288856433,-33.9637747436663
AHA8,BRIDGETOWN to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJA0,BONTEHEUWEL to MOWBRAY,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA0,BONTEHEUWEL to MOWBRAY,LAST,Mowbray,Station,18.4736745575384,-33.9485832827389
AJA1,MOWBRAY to BONTEHEUWEL,FIRST,Mowbray,Station,18.4736745575384,-33.9485832827389
AJA1,MOWBRAY to BONTEHEUWEL,LAST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA3,CITY GOLDEN ACRE G LANE to BONTEHEUWEL,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJA3,CITY GOLDEN ACRE G LANE to BONTEHEUWEL,LAST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA4,BONTEHEUWEL to CITY,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA4,BONTEHEUWEL to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJA5,CITY GOLDEN ACRE G LANE to BONTEHEUWEL,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJA5,CITY GOLDEN ACRE G LANE to BONTEHEUWEL,LAST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA8,BONTEHEUWEL to CITY,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
