route_number,day_type,Queens Beach,Cassel,Sea Point Pool,Boat Bay,Graafs Pool,London,Promenade,Rocklands,Three Anchor Bay,Lighthouse,Surrey,Mouille Point,Granger,Somerset Hospital,Breakwater,Waterfront,Breakwater,Nobel Square,Aquarium,Marina,Waterfront Silo,Amsterdam,Convention Centre,Foreshore,Civic Centre
104,Mondays to Fridays,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:46,06:47,06:48,06:49,06:50,06:51,06:53,06:55,06:53,06:58,07:00,07:02,07:05,07:08,07:11,07:13,07:17
104,Mondays to Fridays,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:29,07:30,07:31,07:32,07:33,07:34,07:36,07:38,07:36,07:41,07:43,07:45,07:48,07:51,07:54,07:56,08:00
104,Mondays to Fridays,08:05,08:06,08:07,08:08,08:09,08:10,08:11,08:12,08:14,08:15,08:16,08:17,08:18,08:19,08:21,08:23,08:21,08:26,08:28,08:30,08:33,08:36,08:39,08:41,08:45
104,Mondays to Fridays,08:50,08:51,08:52,08:53,08:54,08:55,08:56,08:57,08:59,09:00,09:01,09:02,09:03,09:04,09:06,09:08,09:06,09:11,09:13,09:15,09:18,09:21,09:24,09:26,09:30
104,Mondays to Fridays,09:35,09:36,09:37,09:38,09:39,09:40,09:41,09:42,09:44,09:45,09:46,09:47,09:48,09:49,09:51,09:53,09:51,09:56,09:58,10:00,10:03,10:06,10:09,10:11,10:15
104,Mondays to Fridays,10:20,10:21,10:22,10:23,10:24,10:25,10:26,10:27,10:29,10:30,10:31,10:32,10:33,10:34,10:36,10:38,10:36,10:41,10:43,10:45,10:48,10:51,10:54,10:56,11:00
104,Mondays to Fridays,11:05,11:06,11:07,11:08,11:09,11:10,11:11,11:12,11:14,11:15,11:16,11:17,11:18,11:19,11:21,11:23,11:21,11:26,11:28,11:30,11:33,11:36,11:39,11:41,11:45
104,Mondays to Fridays,11:50,11:51,11:52,11:53,11:54,11:55,11:56,11:57,11:59,12:00,12:01,12:02,12:03,12:04,12:06,12:08,12:06,12:11,12:13,12:15,12:18,12:21,12:24,12:26,12:30
104,Mondays to Fridays,12:35,12:36,12:37,12:38,12:39,12:40,12:41,12:42,12:44,12:45,12:46,12:47,12:48,12:49,12:51,12:53,12:51,12:56,12:58,13:00,13:03,13:06,13:09,13:11,13:15
104,Mondays to Fridays,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:29,13:30,13:31,13:32,13:33,13:34,13:36,13:38,13:36,13:41,13:43,13:45,13:48,13:51,13:54,13:56,14:00
