route_number,day_type,Civic Centre,Adderley,Mid Long,Longmarket,Dorp,Upper Long,Michaelis,Government Ave,Annandale,Gardens,Upper Buitenkant,Highlands,Herzlia,Exner,Wexford
111,Mondays to Fridays,06:20,06:23,06:27,06:28,06:29,06:31,06:32,06:34,06:35,06:37,06:40,06:41,06:42,06:43,06:44
111,Mondays to Fridays,07:20,07:23,07:27,07:28,07:29,07:31,07:32,07:34,07:35,07:37,07:40,07:41,07:42,07:43,07:44
111,Mondays to Fridays,08:20,08:23,08:27,08:28,08:29,08:31,08:32,08:34,08:35,08:37,08:40,08:41,08:42,08:43,08:44
111,Mondays to Fridays,09:20,09:23,09:27,09:28,09:29,09:31,09:32,09:34,09:35,09:37,09:40,09:41,09:42,09:43,09:44
111,Mondays to Fridays,10:20,10:23,10:27,10:28,10:29,10:31,10:32,10:34,10:35,10:37,10:40,10:41,10:42,10:43,10:44
111,Mondays to Fridays,11:20,11:23,11:27,11:28,11:29,11:31,11:32,11:34,11:35,11:37,11:40,11:41,11:42,11:43,11:44
111,Mondays to Fridays,12:20,12:23,12:27,12:28,12:29,12:31,12:32,12:34,12:35,12:37,12:40,12:41,12:42,12:43,12:44
111,Mondays to Fridays,13:20,13:23,13:27,13:28,13:29,13:31,13:32,13:34,13:35,13:37,13:40,13:41,13:42,13:43,13:44
111,Mondays to Fridays,14:20,14:23,14:27,14:28,14:29,14:31,14:32,14:34,14:35,14:37,14:40,14:41,14:42,14:43,14:44
111,Mondays to Fridays,15:20,15:23,15:27,15:28,15:29,15:31,15:32,15:34,15:35,15:37,15:40,15:41,15:42,15:43,15:44
111,Mondays to Fridays,16:20,16:23,16:27,16:28,16:29,16:31,16:32,16:34,16:35,16:37,16:40,16:41,16:42,16:43,16:44
111,Mondays to Fridays,17:20,17:23,17:27,17:28,17:29,17:31,17:32,17:34,17:35,17:37,17:40,17:41,17:42,17:43,17:44
111,Mondays to Fridays,18:20,18:23,18:27,18:28,18:29,18:31,18:32,18:34,18:35,18:37,18:40,18:41,18:42,18:43,18:44
111,Mondays to Fridays,19:20,19:23,19:27,19:28,19:29,19:31,19:32,19:34,19:35,19:37,19:40,19:41,19:42,19:43,19:44
111,Saturdays,06:20,06:23,06:27,06:28,06:29,06:31,06:32,06:34,06:35,06:37,06:40,06:41,06:42,06:43,06:44
111,Saturdays,07:20,07:23,07:27,07:28,07:29,07:31,07:32,07:34,07:35,07:37,07:40,07:41,07:42,07:43,07:44
111,Saturdays,08:20,08:23,08:27,08:28,08:29,08:31,08:32,08:34,08:35,08:37,08:40,08:41,08:42,08:43,08:44
111,Saturdays,09:20,09:23,09:27,09:28,09:29,09:31,09:32,09:34,09:35,09:37,09:40,09:41,09:42,09:43,09:44
111,Saturdays,10:20,10:23,10:27,10:28,10:29,10:31,10:32,10:34,10:35,10:37,10:40,10:41,10:42,10:43,10:44
111,Saturdays,11:20,11:23,11:27,11:28,11:29,11:31,11:32,11:34,11:35,11:37,11:40,11:41,11:42,11:43,11:44
111,Saturdays,12:20,12:23,12:27,12:28,12:29,12:31,12:32,12:34,12:35,12:37,12:40,12:41,12:42,12:43,12:44
111,Saturdays,13:20,13:23,13:27,13:28,13:29,13:31,13:32,13:34,13:35,13:37,13:40,13:41,13:42,13:43,13:44
111,Saturdays,14:20,14:23,14:27,14:28,14:29,14:31,14:32,14:34,14:35,14:37,14:40,14:41,14:42,14:43,14:44
111,Saturdays,15:20,15:23,15:27,15:28,15:29,15:31,15:32,15:34,15:35,15:37,15:40,15:41,15:42,15:43,15:44
111,Saturdays,16:20,16:23,16:27,16:28,16:29,16:31,16:32,16:34,16:35,16:37,16:40,16:41,16:42,16:43,16:44
111,Saturdays,17:20,17:23,17:27,17:28,17:29,17:31,17:32,17:34,17:35,17:37,17:40,17:41,17:42,17:43,17:44
111,Saturdays,18:20,18:23,18:27,18:28,18:29,18:31,18:32,18:34,18:35,18:37,18:40,18:41,18:42,18:43,18:44
111,Saturdays,19:20,19:23,19:27,19:28,19:29,19:31,19:32,19:34,19:35,19:37,19:40,19:41,19:42,19:43,19:44
111,Sundays and Public Holidays,06:20,06:23,06:27,06:28,06:29,06:31,06:32,06:34,06:35,06:37,06:40,06:41,06:42,06:43,06:44
111,Sundays and Public Holidays,07:20,07:23,07:27,07:28,07:29,07:31,07:32,07:34,07:35,07:37,07:40,07:41,07:42,07:43,07:44
111,Sundays and Public Holidays,08:20,08:23,08:27,08:28,08:29,08:31,08:32,08:34,08:35,08:37,08:40,08:41,08:42,08:43,08:44
111,Sundays and Public Holidays,09:20,09:23,09:27,09:28,09:29,09:31,09:32,09:34,09:35,09:37,09:40,09:41,09:42,09:43,09:44
111,Sundays and Public Holidays,10:20,10:23,10:27,10:28,10:29,10:31,10:32,10:34,10:35,10:37,10:40,10:41,10:42,10:43,10:44
111,Sundays and Public Holidays,11:20,11:23,11:27,11:28,11:29,11:31,11:32,11:34,11:35,11:37,11:40,11:41,11:42,11:43,11:44
111,Sundays and Public Holidays,12:20,12:23,12:27,12:28,12:29,12:31,12:32,12:34,12:35,12:37,12:40,12:41,12:42,12:43,12:44
111,Sundays and Public Holidays,13:20,13:23,13:27,13:28,13:29,13:31,13:32,13:34,13:35,13:37,13:40,13:41,13:42,13:43,13:44
111,Sundays and Public Holidays,14:20,14:23,14:27,14:28,14:29,14:31,14:32,14:34,14:35,14:37,14:40,14:41,14:42,14:43,14:44
