route_number,day_type,Waterfront,Breakwater,Portswood,Old Breakwater Prison,Adderley,Lower Plein,Darling,Groote Kerk,Dorp,Upper Long,Lower Kloof,Union,Welgemeend,Upper Kloof,Kew
113,Mondays to Fridays,,,,,06:28,06:32,06:34,06:35,06:39,06:40,06:42,06:44,06:46,06:47,06:48
113,Mondays to Fridays,07:26,07:27,07:29,07:30,07:38,07:42,07:44,07:45,07:49,07:50,07:52,07:54,07:56,07:57,07:58
113,Mondays to Fridays,08:36,08:37,08:39,08:40,08:48,08:52,08:54,08:55,08:59,09:00,09:02,09:04,09:06,09:07,09:08
113,Mondays to Fridays,09:46,09:47,09:49,09:50,09:58,10:02,10:04,10:05,10:09,10:10,10:12,10:14,10:16,10:17,10:18
113,Mondays to Fridays,10:56,10:57,10:59,11:00,11:08,11:12,11:14,11:15,11:19,11:20,11:22,11:24,11:26,11:27,11:28
113,Mondays to Fridays,12:06,12:07,12:09,12:10,12:18,12:22,12:24,12:25,12:29,12:30,12:32,12:34,12:36,12:37,12:38
113,Mondays to Fridays,13:16,13:17,13:19,13:20,13:28,13:32,13:34,13:35,13:39,13:40,13:42,13:44,13:46,13:47,13:48
113,Mondays to Fridays,14:26,14:27,14:29,14:30,14:38,14:42,14:44,14:45,14:49,14:50,14:52,14:54,14:56,14:57,14:58
113,Mondays to Fridays,15:36,15:37,15:39,15:40,15:48,15:52,15:54,15:55,15:59,16:00,16:02,16:04,16:06,16:07,16:08
113,Mondays to Fridays,16:46,16:47,16:49,16:50,16:58,17:02,17:04,17:05,17:09,17:10,17:12,17:14,17:16,17:17,17:18
113,Mondays to Fridays,17:56,17:57,17:59,18:00,18:08,18:12,18:14,18:15,18:19,18:20,18:22,18:24,18:26,18:27,18:28
113,Mondays to Fridays,19:06,19:07,19:09,19:10,19:18,19:22,19:24,19:25,19:29,19:30,19:32,19:34,19:36,19:37,19:38
113,Mondays to Fridays,20:16,20:17,20:19,20:20,20:28,20:32,20:34,20:35,20:39,20:40,20:42,20:44,20:46,20:47,20:48
113,Saturdays,,,,,06:28,06:32,06:34,06:35,06:39,06:40,06:42,06:44,06:46,06:47,06:48
113,Saturdays,07:26,07:27,07:29,07:30,07:38,07:42,07:44,07:45,07:49,07:50,07:52,07:54,07:56,07:57,07:58
113,Saturdays,08:36,08:37,08:39,08:40,08:48,08:52,08:54,08:55,08:59,09:00,09:02,09:04,09:06,09:07,09:08
113,Saturdays,09:46,09:47,09:49,09:50,09:58,10:02,10:04,10:05,10:09,10:10,10:12,10:14,10:16,10:17,10:18
113,Saturdays,10:56,10:57,10:59,11:00,11:08,11:12,11:14,11:15,11:19,11:20,11:22,11:24,11:26,11:27,11:28
113,Saturdays,12:06,12:07,12:09,12:10,12:18,12:22,12:24,12:25,12:29,12:30,12:32,12:34,12:36,12:37,12:38
113,Saturdays,13:16,13:17,13:19,13:20,13:28,13:32,13:34,13:35,13:39,13:40,13:42,13:44,13:46,13:47,13:48
113,Saturdays,14:26,14:27,14:29,14:30,14:38,14:42,14:44,14:45,14:49,14:50,14:52,14:54,14:56,14:57,14:58
113,Saturdays,15:36,15:37,15:39,15:40,15:48,15:52,15:54,15:55,15:59,16:00,16:02,16:04,16:06,16:07,16:08
113,Saturdays,16:46,16:47,16:49,16:50,16:58,17:02,17:04,17:05,17:09,17:10,17:12,17:14,17:16,17:17,17:18
113,Saturdays,17:56,17:57,17:59,18:00,18:08,18:12,18:14,18:15,18:19,18:20,18:22,18:24,18:26,18:27,18:28
113,Saturdays,19:06,19:07,19:09,19:10,19:18,19:22,19:24,19:25,19:29,19:30,19:32,19:34,19:36,19:37,19:38
113,Saturdays,20:16,20:17,20:19,20:20,20:28,20:32,20:34,20:35,20:39,20:40,20:42,20:44,20:46,20:47,20:48
113,Sundays and Public Holidays,,,,,06:28,06:32,06:34,06:35,06:39,06:40,06:42,06:44,06:46,06:47,06:48
113,Sundays and Public Holidays,07:26,07:27,07:29,07:30,07:38,07:42,07:44,07:45,07:49,07:50,07:52,07:54,07:56,07:57,07:58
113,Sundays and Public Holidays,08:36,08:37,08:39,08:40,08:48,08:52,08:54,08:55,08:59,09:00,09:02,09:04,09:06,09:07,09:08
113,Sundays and Public Holidays,09:46,09:47,09:49,09:50,09:58,10:02,10:04,10:05,10:09,10:10,10:12,10:14,10:16,10:17,10:18
113,Sundays and Public Holidays,10:56,10:57,10:59,11:00,11:08,11:12,11:14,11:15,11:19,11:20,11:22,11:24,11:26,11:27,11:28
113,Sundays and Public Holidays,12:06,12:07,12:09,12:10,12:18,12:22,12:24,12:25,12:29,12:30,12:32,12:34,12:36,12:37,12:38
113,Sundays and Public Holidays,13:16,13:17,13:19,13:20,13:28,13:32,13:34,13:35,13:39,13:40,13:42,13:44,13:46,13:47,13:48
113,Sundays and Public Holidays,14:26,14:27,14:29,14:30,14:38,14:42,14:44,14:45,14:49,14:50,14:52,14:54,14:56,14:57,14:58
113,Sundays and Public Holidays,15:36,15:37,15:39,15:40,15:48,15:52,15:54,15:55,15:59,16:00,16:02,16:04,16:06,16:07,16:08
113,Sundays and Public Holidays,16:46,16:47,16:49,16:50,16:58,17:02,17:04,17:05,17:09,17:10,17:12,17:14,17:16,17:17,17:18
113,Sundays and Public Holidays,17:56,17:57,17:59,18:00,18:08,18:12,18:14,18:15,18:19,18:20,18:22,18:24,18:26,18:27,18:28
113,Sundays and Public Holidays,19:06,19:07,19:09,19:10,19:18,19:22,19:24,19:25,19:29,19:30,19:32,19:34,19:36,19:37,19:38
113,Sundays and Public Holidays,20:16,20:17,20:19,20:20,20:28,20:32,20:34,20:35,20:39,20:40,20:42,20:44,20:46,20:47,20:48
