route_number,day_type,Blaauwberg Hospital,Oakland Hills,Tryall,Radar,Blouberg Sands,Cabin,West Beach,Stirling,Blouberg Rise,Viola,Marine Circle,Popham,Table View,Briza,Echium,Parklands Main South,Link,Garden,Valderrama,Nantucket,Waterville,Blaauwberg Hospital_
223,Mondays to Fridays,06:25,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:36,06:38,06:40,06:42,06:48,06:49,06:50,06:51,06:52,06:54,06:55,06:56,06:58
223,Mondays to Fridays,07:00,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:11,07:13,07:15,07:17,07:23,07:24,07:25,07:26,07:27,07:29,07:30,07:31,07:33
223,Mondays to Fridays,07:35,07:37,07:38,07:39,07:40,07:41,07:42,07:43,07:44,07:46,07:48,07:50,07:52,07:58,07:59,08:00,08:01,08:02,08:04,08:05,08:06,08:08
223,Mondays to Fridays,08:10,08:12,08:13,08:14,08:15,08:16,08:17,08:18,08:19,08:21,08:23,08:25,08:27,08:33,08:34,08:35,08:36,08:37,08:39,08:40,08:41,08:43
223,Mondays to Fridays,08:45,08:47,08:48,08:49,08:50,08:51,08:52,08:53,08:54,08:56,08:58,09:00,09:02,09:08,09:09,09:10,09:11,09:12,09:14,09:15,09:16,09:18
223,Mondays to Fridays,09:20,09:22,09:23,09:24,09:25,09:26,09:27,09:28,09:29,09:30,09:32,09:34,09:35,09:39,09:41,09:42,09:43,09:44,09:46,09:47,09:48,09:50
223,Mondays to Fridays,09:55,09:57,09:58,09:59,10:00,10:01,10:02,10:03,10:04,10:05,10:07,10:09,10:10,10:14,10:16,10:17,10:18,10:19,10:21,10:22,10:23,10:25
223,Mondays to Fridays,10:30,10:32,10:33,10:34,10:35,10:36,10:37,10:38,10:39,10:40,10:42,10:44,10:45,10:49,10:51,10:52,10:53,10:54,10:56,10:57,10:58,11:00
223,Mondays to Fridays,11:05,11:07,11:08,11:09,11:10,11:11,11:12,11:13,11:14,11:15,11:17,11:19,11:20,11:24,11:26,11:27,11:28,11:29,11:31,11:32,11:33,11:35
223,Mondays to Fridays,11:40,11:42,11:43,11:44,11:45,11:46,11:47,11:48,11:49,11:50,11:52,11:54,11:55,11:59,12:01,12:02,12:03,12:04,12:06,12:07,12:08,12:10
223,Mondays to Fridays,12:15,12:17,12:18,12:19,12:20,12:21,12:22,12:23,12:24,12:25,12:27,12:29,12:30,12:34,12:36,12:37,12:38,12:39,12:41,12:42,12:43,12:45
223,Mondays to Fridays,12:50,12:52,12:53,12:54,12:55,12:56,12:57,12:58,12:59,13:00,13:02,13:04,13:05,13:09,13:11,13:12,13:13,13:14,13:16,13:17,13:18,13:20
223,Mondays to Fridays,13:25,13:27,13:28,13:29,13:30,13:31,13:32,13:33,13:34,13:35,13:37,13:39,13:40,13:44,13:46,13:47,13:48,13:49,13:51,13:52,13:53,13:55
223,Mondays to Fridays,14:00,14:02,14:03,14:05,14:06,14:08,14:09,14:10,14:11,14:12,14:14,14:15,14:18,14:21,14:22,14:23,14:24,14:25,14:27,14:28,14:29,14:31
223,Mondays to Fridays,14:35,14:37,14:38,14:40,14:41,14:43,14:44,14:45,14:46,14:47,14:49,14:50,14:53,14:56,14:57,14:58,14:59,15:00,15:02,15:03,15:04,15:06
223,Mondays to Fridays,15:10,15:12,15:13,15:14,15:15,15:16,15:17,15:18,15:19,15:21,15:23,15:24,15:28,15:30,15:31,15:32,15:33,15:34,15:36,15:37,15:38,15:40
223,Mondays to Fridays,15:45,15:47,15:48,15:49,15:50,15:51,15:52,15:53,15:54,15:56,15:58,15:59,16:03,16:05,16:06,16:07,16:08,16:09,16:11,16:12,16:13,16:15
223,Mondays to Fridays,16:20,16:22,16:23,16:24,16:25,16:26,16:27,16:28,16:29,16:31,16:33,16:34,16:38,16:40,16:41,16:42,16:43,16:44,16:46,16:47,16:48,16:50
223,Mondays to Fridays,16:55,16:57,16:58,16:59,17:00,17:01,17:02,17:03,17:04,17:06,17:08,17:09,17:13,17:15,17:16,17:17,17:18,17:19,17:21,17:22,17:23,17:25
223,Mondays to Fridays,17:30,17:32,17:33,17:34,17:35,17:36,17:37,17:38,17:39,17:41,17:43,17:44,17:48,17:50,17:51,17:52,17:53,17:54,17:56,17:57,17:58,18:00
223,Mondays to Fridays,18:05,18:07,18:08,18:10,18:11,18:12,18:13,18:14,18:15,18:16,18:18,18:19,18:22,18:25,18:26,18:27,18:28,18:29,18:30,18:31,18:32,18:34
223,Mondays to Fridays,18:40,18:42,18:43,18:45,18:46,18:47,18:48,18:49,18:50,18:51,18:53,18:54,18:57,19:00,19:01,19:02,19:03,19:04,19:05,19:06,19:07,19:09
223,Saturdays,06:25,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:36,06:38,06:40,06:42,06:48,06:49,06:50,06:51,06:52,06:54,06:55,06:56,06:58
223,Saturdays,07:00,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:11,07:13,07:15,07:17,07:23,07:24,07:25,07:26,07:27,07:29,07:30,07:31,07:33
223,Saturdays,07:35,07:37,07:38,07:39,07:40,07:41,07:42,07:43,07:44,07:46,07:48,07:50,07:52,07:58,07:59,08:00,08:01,08:02,08:04,08:05,08:06,08:08
223,Saturdays,08:10,08:12,08:13,08:14,08:15,08:16,08:17,08:18,08:19,08:21,08:23,08:25,08:27,08:33,08:34,08:35,08:36,08:37,08:39,08:40,08:41,08:43
223,Saturdays,08:45,08:47,08:48,08:49,08:50,08:51,08:52,08:53,08:54,08:56,08:58,09:00,09:02,09:08,09:09,09:10,09:11,09:12,09:14,09:15,09:16,09:18
223,Saturdays,09:20,09:22,09:23,09:24,09:25,09:26,09:27,09:28,09:29,09:30,09:32,09:34,09:35,09:39,09:41,09:42,09:43,09:44,09:46,09:47,09:48,09:50
223,Saturdays,09:55,09:57,09:58,09:59,10:00,10:01,10:02,10:03,10:04,10:05,10:07,10:09,10:10,10:14,10:16,10:17,10:18,10:19,10:21,10:22,10:23,10:25
223,Saturdays,10:30,10:32,10:33,10:34,10:35,10:36,10:37,10:38,10:39,10:40,10:42,10:44,10:45,10:49,10:51,10:52,10:53,10:54,10:56,10:57,10:58,11:00
223,Saturdays,11:05,11:07,11:08,11:09,11:10,11:11,11:12,11:13,11:14,11:15,11:17,11:19,11:20,11:24,11:26,11:27,11:28,11:29,11:31,11:32,11:33,11:35
223,Saturdays,11:40,11:42,11:43,11:44,11:45,11:46,11:47,11:48,11:49,11:50,11:52,11:54,11:55,11:59,12:01,12:02,12:03,12:04,12:06,12:07,12:08,12:10
223,Saturdays,12:15,12:17,12:18,12:19,12:20,12:21,12:22,12:23,12:24,12:25,12:27,12:29,12:30,12:34,12:36,12:37,12:38,12:39,12:41,12:42,12:43,12:45
223,Saturdays,12:50,12:52,12:53,12:54,12:55,12:56,12:57,12:58,12:59,13:00,13:02,13:04,13:05,13:09,13:11,13:12,13:13,13:14,13:16,13:17,13:18,13:20
