route_number,day_type,Atlantis Station,Nicobar,Parkview,Avondale,Gothenburg,Colebrook,Bengal,Alberto,Disa,Marigold,Bottlebrush,Berzelia,Starke,Charles Duminy,Tom Henshilwood,John Van Niekerk,Neil Hare,Charles Matthews,Johan Heyns North
232,Mondays to Fridays,05:15,05:17,05:18,05:19,05:20,05:21,05:22,05:23,05:24,05:25,05:26,05:28,05:30,05:31,05:32,05:34,05:36,05:39,05:40
232,Mondays to Fridays,05:41,05:43,05:44,05:45,05:46,05:47,05:48,05:49,05:50,05:51,05:52,05:54,05:56,05:57,05:58,06:00,06:02,06:05,06:06
232,Mondays to Fridays,06:07,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:20,06:22,06:23,06:24,06:26,06:28,06:31,06:32
232,Mondays to Fridays,06:33,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:46,06:48,06:49,06:50,06:52,06:54,06:57,06:58
232,Mondays to Fridays,06:59,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:12,07:14,07:15,07:16,07:18,07:20,07:23,07:24
232,Mondays to Fridays,07:25,07:27,07:28,07:29,07:30,07:31,07:32,07:33,07:34,07:35,07:36,07:38,07:40,07:41,07:42,07:44,07:46,07:49,07:50
232,Mondays to Fridays,08:05,08:07,08:08,08:09,08:10,08:11,08:12,08:13,08:14,08:15,08:16,08:18,08:20,08:21,08:22,08:24,08:26,08:29,08:30
232,Mondays to Fridays,09:37,09:39,09:40,09:41,09:42,09:43,09:44,09:45,09:46,09:47,09:48,09:50,09:52,09:53,09:54,09:56,09:58,10:01,10:02
232,Mondays to Fridays,10:37,10:39,10:40,10:41,10:42,10:43,10:44,10:45,10:46,10:47,10:48,10:50,10:52,10:53,10:54,10:56,10:58,11:01,11:02
232,Mondays to Fridays,11:37,11:39,11:40,11:41,11:42,11:43,11:44,11:45,11:46,11:47,11:48,11:50,11:52,11:53,11:54,11:56,11:58,12:01,12:02
