route_number,day_type,Atlantis Station,Wesfleur Park,Saxonsea Primary,Grosvenor North,Saxonsea Clinic,Hermes,Hermeslaan Primary,Lisboa
233,Mondays to Fridays,05:20,05:22,05:24,05:26,05:27,05:29,05:30,05:31
233,Mondays to Fridays,05:44,05:46,05:48,05:50,05:51,05:53,05:54,05:55
233,Mondays to Fridays,06:08,06:10,06:12,06:14,06:15,06:17,06:18,06:19
233,Mondays to Fridays,06:32,06:34,06:36,06:38,06:39,06:41,06:42,06:43
233,Mondays to Fridays,06:56,06:58,07:00,07:02,07:03,07:05,07:06,07:07
233,Mondays to Fridays,07:20,07:22,07:24,07:26,07:27,07:29,07:30,07:31
233,Mondays to Fridays,07:44,07:46,07:48,07:50,07:51,07:53,07:54,07:55
233,Mondays to Fridays,16:10,16:12,16:14,16:16,16:17,16:19,16:20,16:21
233,Mondays to Fridays,16:34,16:36,16:38,16:40,16:41,16:43,16:44,16:45
233,Mondays to Fridays,16:58,17:00,17:02,17:04,17:05,17:07,17:08,17:09
233,Mondays to Fridays,17:22,17:24,17:26,17:28,17:29,17:31,17:32,17:33
233,Mondays to Fridays,17:46,17:48,17:50,17:52,17:53,17:55,17:56,17:57
233,Mondays to Fridays,18:10,18:12,18:14,18:16,18:17,18:19,18:20,18:21
233,Mondays to Fridays,18:34,18:36,18:38,18:40,18:41,18:43,18:44,18:45
233,Mondays to Fridays,18:58,19:00,19:02,19:04,19:05,19:07,19:08,19:09
