route_number,day_type,Atlantis Station,Arion,Charel Uys North,Montreal,Tsitsikamma,Atlantis Cemetery,Silverstream,PM Louw,Moravia,Enon,Goedverwacht,Paradise,Crown
234,Mondays to Fridays,05:04,05:05,05:07,05:09,05:10,05:12,05:14,05:15,05:16,05:17,05:19,05:20,05:22
234,Mondays to Fridays,05:20,05:21,05:23,05:25,05:26,05:28,05:30,05:31,05:32,05:33,05:35,05:36,05:38
234,Mondays to Fridays,05:46,05:47,05:49,05:51,05:52,05:54,05:56,05:57,05:58,05:59,06:01,06:02,06:04
234,Mondays to Fridays,06:07,06:08,06:10,06:12,06:13,06:15,06:17,06:18,06:19,06:20,06:22,06:23,06:25
234,Mondays to Fridays,06:23,06:24,06:26,06:28,06:29,06:31,06:33,06:34,06:35,06:36,06:38,06:39,06:41
234,Mondays to Fridays,06:44,06:45,06:47,06:49,06:50,06:52,06:54,06:55,06:56,06:57,06:59,07:00,07:02
234,Mondays to Fridays,07:26,07:27,07:29,07:31,07:32,07:34,07:36,07:37,07:38,07:39,07:41,07:42,07:44
234,Mondays to Fridays,08:08,08:09,08:11,08:13,08:14,08:16,08:18,08:19,08:20,08:21,08:23,08:24,08:26
234,Mondays to Fridays,08:53,08:54,08:56,08:58,08:59,09:01,09:03,09:04,09:05,09:06,09:08,09:09,09:11
234,Mondays to Fridays,09:35,09:36,09:38,09:40,09:41,09:43,09:45,09:46,09:47,09:48,09:50,09:51,09:53
234,Mondays to Fridays,10:17,10:18,10:20,10:22,10:23,10:25,10:27,10:28,10:29,10:30,10:32,10:33,10:35
234,Mondays to Fridays,10:59,11:00,11:02,11:04,11:05,11:07,11:09,11:10,11:11,11:12,11:14,11:15,11:17
234,Mondays to Fridays,11:41,11:42,11:44,11:46,11:47,11:49,11:51,11:52,11:53,11:54,11:56,11:57,11:59
234,Mondays to Fridays,12:23,12:24,12:26,12:28,12:29,12:31,12:33,12:34,12:35,12:36,12:38,12:39,12:41
234,Mondays to Fridays,13:05,13:06,13:08,13:10,13:11,13:13,13:15,13:16,13:17,13:18,13:20,13:21,13:23
234,Mondays to Fridays,13:47,13:48,13:50,13:52,13:53,13:55,13:57,13:58,13:59,14:00,14:02,14:03,14:05
234,Mondays to Fridays,14:29,14:30,14:32,14:34,14:35,14:37,14:39,14:40,14:41,14:42,14:44,14:45,14:47
234,Mondays to Fridays,15:11,15:12,15:14,15:16,15:17,15:19,15:21,15:22,15:23,15:24,15:26,15:27,15:29
234,Mondays to Fridays,15:53,15:54,15:56,15:58,15:59,16:01,16:03,16:04,16:05,16:06,16:08,16:09,16:11
234,Mondays to Fridays,16:35,16:36,16:38,16:40,16:41,16:43,16:45,16:46,16:47,16:48,16:50,16:51,16:53
234,Mondays to Fridays,17:10,17:11,17:13,17:15,17:16,17:18,17:20,17:21,17:22,17:23,17:25,17:26,17:28
234,Mondays to Fridays,17:17,17:18,17:20,17:22,17:23,17:25,17:27,17:28,17:29,17:30,17:32,17:33,17:35
234,Mondays to Fridays,17:38,17:39,17:41,17:43,17:44,17:46,17:48,17:49,17:50,17:51,17:53,17:54,17:56
234,Mondays to Fridays,18:08,18:09,18:11,18:13,18:14,18:16,18:18,18:19,18:20,18:21,18:23,18:24,18:26
234,Mondays to Fridays,18:23,18:24,18:26,18:28,18:29,18:31,18:33,18:34,18:35,18:36,18:38,18:39,18:41
234,Mondays to Fridays,18:49,18:50,18:52,18:54,18:55,18:57,18:59,19:00,19:01,19:02,19:04,19:05,19:07
234,Mondays to Fridays,19:11,19:12,19:14,19:16,19:17,19:19,19:21,19:22,19:23,19:24,19:26,19:27,19:29
234,Mondays to Fridays,19:31,19:32,19:34,19:36,19:37,19:39,19:41,19:42,19:43,19:44,19:46,19:47,19:49
234,Mondays to Fridays,20:13,20:14,20:16,20:18,20:19,20:21,20:23,20:24,20:25,20:26,20:28,20:29,20:31
234,Mondays to Fridays,20:55,20:56,20:58,21:00,21:01,21:03,21:05,21:06,21:07,21:08,21:10,21:11,21:13
234,Saturdays,04:51,04:52,04:54,04:56,04:57,04:59,05:01,05:02,05:03,05:04,05:06,05:07,05:09
234,Saturdays,05:33,05:34,05:36,05:38,05:39,05:41,05:43,05:44,05:45,05:46,05:48,05:49,05:51
234,Saturdays,06:15,06:16,06:18,06:20,06:21,06:23,06:25,06:26,06:27,06:28,06:30,06:31,06:33
234,Saturdays,06:57,06:58,07:00,07:02,07:03,07:05,07:07,07:08,07:09,07:10,07:12,07:13,07:15
234,Saturdays,07:39,07:40,07:42,07:44,07:45,07:47,07:49,07:50,07:51,07:52,07:54,07:55,07:57
234,Saturdays,08:21,08:22,08:24,08:26,08:27,08:29,08:31,08:32,08:33,08:34,08:36,08:37,08:39
234,Saturdays,09:03,09:04,09:06,09:08,09:09,09:11,09:13,09:14,09:15,09:16,09:18,09:19,09:21
234,Saturdays,09:45,09:46,09:48,09:50,09:51,09:53,09:55,09:56,09:57,09:58,10:00,10:01,10:03
234,Saturdays,10:27,10:28,10:30,10:32,10:33,10:35,10:37,10:38,10:39,10:40,10:42,10:43,10:45
234,Saturdays,11:09,11:10,11:12,11:14,11:15,11:17,11:19,11:20,11:21,11:22,11:24,11:25,11:27
234,Saturdays,11:51,11:52,11:54,11:56,11:57,11:59,12:01,12:02,12:03,12:04,12:06,12:07,12:09
234,Saturdays,12:33,12:34,12:36,12:38,12:39,12:41,12:43,12:44,12:45,12:46,12:48,12:49,12:51
234,Saturdays,13:15,13:16,13:18,13:20,13:21,13:23,13:25,13:26,13:27,13:28,13:30,13:31,13:33
234,Saturdays,13:57,13:58,14:00,14:02,14:03,14:05,14:07,14:08,14:09,14:10,14:12,14:13,14:15
234,Saturdays,14:39,14:40,14:42,14:44,14:45,14:47,14:49,14:50,14:51,14:52,14:54,14:55,14:57
234,Saturdays,15:21,15:22,15:24,15:26,15:27,15:29,15:31,15:32,15:33,15:34,15:36,15:37,15:39
234,Saturdays,16:03,16:04,16:06,16:08,16:09,16:11,16:13,16:14,16:15,16:16,16:18,16:19,16:21
234,Saturdays,16:45,16:46,16:48,16:50,16:51,16:53,16:55,16:56,16:57,16:58,17:00,17:01,17:03
234,Saturdays,17:27,17:28,17:30,17:32,17:33,17:35,17:37,17:38,17:39,17:40,17:42,17:43,17:45
234,Saturdays,18:09,18:10,18:12,18:14,18:15,18:17,18:19,18:20,18:21,18:22,18:24,18:25,18:27
234,Saturdays,18:51,18:52,18:54,18:56,18:57,18:59,19:01,19:02,19:03,19:04,19:06,19:07,19:09
234,Saturdays,19:33,19:34,19:36,19:38,19:39,19:41,19:43,19:44,19:45,19:46,19:48,19:49,19:51
234,Saturdays,20:15,20:16,20:18,20:20,20:21,20:23,20:25,20:26,20:27,20:28,20:30,20:31,20:33
234,Saturdays,20:57,20:58,21:00,21:02,21:03,21:05,21:07,21:08,21:09,21:10,21:12,21:13,21:15
234,Sundays and Public Holidays,04:51,04:52,04:54,04:56,04:57,04:59,05:01,05:02,05:03,05:04,05:06,05:07,05:09
234,Sundays and Public Holidays,05:33,05:34,05:36,05:38,05:39,05:41,05:43,05:44,05:45,05:46,05:48,05:49,05:51
