route_number,day_type,Crown,Paradise,Sand,Goedverwacht,Enon,Moravia,PM Louw,Silverstream,Atlantis Cemetery,Tsitsikamma,Montreal,Charel Uys North,Arion,Atlantis Station
234,Mondays to Fridays,04:24,04:25,04:26,04:27,04:29,04:30,04:31,04:33,04:35,04:37,04:38,04:40,04:42,04:42
234,Mondays to Fridays,04:43,04:44,04:45,04:46,04:48,04:49,04:50,04:52,04:54,04:56,04:57,04:59,05:01,05:01
234,Mondays to Fridays,04:58,04:59,05:00,05:01,05:03,05:04,05:05,05:07,05:09,05:11,05:12,05:14,05:16,05:16
234,Mondays to Fridays,05:12,05:13,05:14,05:15,05:17,05:18,05:19,05:21,05:23,05:25,05:26,05:28,05:30,05:30
234,Mondays to Fridays,05:28,05:29,05:30,05:31,05:33,05:34,05:35,05:37,05:39,05:41,05:42,05:44,05:46,05:46
234,Mondays to Fridays,05:32,05:33,05:34,05:35,05:37,05:38,05:39,05:41,05:43,05:45,05:46,05:48,05:50,05:50
234,Mondays to Fridays,05:44,05:45,05:46,05:47,05:49,05:50,05:51,05:53,05:55,05:57,05:58,06:00,06:02,06:02
234,Mondays to Fridays,06:09,06:10,06:11,06:12,06:14,06:15,06:16,06:18,06:20,06:22,06:23,06:25,06:27,06:27
234,Mondays to Fridays,06:19,06:20,06:21,06:22,06:24,06:25,06:26,06:28,06:30,06:32,06:33,06:35,06:37,06:37
234,Mondays to Fridays,06:30,06:31,06:32,06:33,06:35,06:36,06:37,06:39,06:41,06:43,06:44,06:46,06:48,06:48
234,Mondays to Fridays,06:30,06:31,06:32,06:33,06:35,06:36,06:37,06:39,06:41,06:43,06:44,06:46,06:48,06:48
234,Mondays to Fridays,06:46,06:47,06:48,06:49,06:51,06:52,06:53,06:55,06:57,06:59,07:00,07:02,07:04,07:04
234,Mondays to Fridays,07:02,07:03,07:04,07:05,07:07,07:08,07:09,07:11,07:13,07:15,07:16,07:18,07:20,07:20
234,Mondays to Fridays,07:44,07:45,07:46,07:47,07:49,07:50,07:51,07:53,07:55,07:57,07:58,08:00,08:02,08:02
234,Mondays to Fridays,08:26,08:27,08:28,08:29,08:31,08:32,08:33,08:35,08:37,08:39,08:40,08:42,08:44,08:44
234,Mondays to Fridays,09:11,09:12,09:13,09:14,09:16,09:17,09:18,09:20,09:22,09:24,09:25,09:27,09:29,09:29
234,Mondays to Fridays,09:53,09:54,09:55,09:56,09:58,09:59,10:00,10:02,10:04,10:06,10:07,10:09,10:11,10:11
234,Mondays to Fridays,10:35,10:36,10:37,10:38,10:40,10:41,10:42,10:44,10:46,10:48,10:49,10:51,10:53,10:53
234,Mondays to Fridays,11:17,11:18,11:19,11:20,11:22,11:23,11:24,11:26,11:28,11:30,11:31,11:33,11:35,11:35
234,Mondays to Fridays,11:59,12:00,12:01,12:02,12:04,12:05,12:06,12:08,12:10,12:12,12:13,12:15,12:17,12:17
234,Mondays to Fridays,12:41,12:42,12:43,12:44,12:46,12:47,12:48,12:50,12:52,12:54,12:55,12:57,12:59,12:59
234,Mondays to Fridays,13:23,13:24,13:25,13:26,13:28,13:29,13:30,13:32,13:34,13:36,13:37,13:39,13:41,13:41
234,Mondays to Fridays,14:05,14:06,14:07,14:08,14:10,14:11,14:12,14:14,14:16,14:18,14:19,14:21,14:23,14:23
234,Mondays to Fridays,14:47,14:48,14:49,14:50,14:52,14:53,14:54,14:56,14:58,15:00,15:01,15:03,15:05,15:05
234,Mondays to Fridays,15:29,15:30,15:31,15:32,15:34,15:35,15:36,15:38,15:40,15:42,15:43,15:45,15:47,15:47
