route_number,day_type,Pella North,Pella Central,Pella South,Atlantis Cemetery,Tsitsikamma,Montreal,Charel Uys North,Arion,Atlantis Station
235,Mondays to Fridays,05:14,05:16,05:18,05:20,05:22,05:23,05:25,05:27,05:34
235,Mondays to Fridays,05:28,05:30,05:32,05:34,05:36,05:37,05:39,05:41,05:48
235,Mondays to Fridays,06:03,06:05,06:07,06:09,06:11,06:12,06:14,06:16,06:23
235,Mondays to Fridays,06:31,06:33,06:35,06:37,06:39,06:40,06:42,06:44,06:51
235,Mondays to Fridays,07:08,07:10,07:12,07:14,07:16,07:17,07:19,07:21,07:28
235,Mondays to Fridays,07:27,07:28,07:30,07:32,07:34,07:35,07:36,07:37,07:39
235,Mondays to Fridays,08:02,08:03,08:05,08:07,08:09,08:10,08:11,08:12,08:14
235,Mondays to Fridays,08:31,08:32,08:34,08:36,08:38,08:39,08:40,08:41,08:43
235,Mondays to Fridays,09:40,09:41,09:43,09:45,09:47,09:48,09:49,09:50,09:52
235,Mondays to Fridays,10:47,10:48,10:50,10:52,10:54,10:55,10:56,10:57,10:59
235,Mondays to Fridays,11:54,11:55,11:57,11:59,12:01,12:02,12:03,12:04,12:06
235,Mondays to Fridays,13:01,13:02,13:04,13:06,13:08,13:09,13:10,13:11,13:13
235,Mondays to Fridays,14:08,14:09,14:11,14:13,14:15,14:16,14:17,14:18,14:20
235,Mondays to Fridays,15:14,15:15,15:17,15:19,15:21,15:22,15:23,15:24,15:26
235,Mondays to Fridays,15:42,15:43,15:45,15:47,15:49,15:50,15:51,15:52,15:54
235,Mondays to Fridays,16:10,16:11,16:13,16:15,16:17,16:18,16:19,16:20,16:22
235,Mondays to Fridays,16:38,16:39,16:41,16:43,16:45,16:46,16:47,16:48,16:50
235,Mondays to Fridays,17:06,17:07,17:09,17:11,17:13,17:14,17:15,17:16,17:18
235,Mondays to Fridays,17:16,17:18,17:20,17:22,17:24,17:25,17:27,17:29,17:36
235,Mondays to Fridays,17:39,17:41,17:43,17:45,17:47,17:48,17:50,17:52,17:59
235,Mondays to Fridays,17:51,17:53,17:55,17:57,17:59,18:00,18:02,18:04,18:11
235,Mondays to Fridays,18:14,18:16,18:18,18:20,18:22,18:23,18:25,18:27,18:34
235,Mondays to Fridays,18:42,18:44,18:46,18:48,18:50,18:51,18:53,18:55,19:02
