route_number,day_type,Montezuma,Newlands,Sparrebos,Windsor,Woodville,Brenton,Sparrebos,Knysna,Insiswa,Kolgha,Lagan,Clearwater,Sherwood,Brutus,Atlantis Station
236,Mondays to Fridays,04:45,04:46,04:46,04:47,04:48,04:49,04:46,04:51,04:52,04:53,04:54,04:55,04:56,04:57,04:58
236,Mondays to Fridays,04:57,04:58,04:58,04:59,05:00,05:01,04:58,05:03,05:04,05:05,05:06,05:07,05:08,05:09,05:10
236,Mondays to Fridays,05:09,05:10,05:10,05:11,05:12,05:13,05:10,05:15,05:16,05:17,05:18,05:19,05:20,05:21,05:22
236,Mondays to Fridays,05:21,05:22,05:22,05:23,05:24,05:25,05:22,05:27,05:28,05:29,05:30,05:31,05:32,05:33,05:34
236,Mondays to Fridays,05:33,05:34,05:34,05:35,05:36,05:37,05:34,05:39,05:40,05:41,05:42,05:43,05:44,05:45,05:46
236,Mondays to Fridays,05:45,05:46,05:46,05:47,05:48,05:49,05:46,05:51,05:52,05:53,05:54,05:55,05:56,05:57,05:58
236,Mondays to Fridays,05:57,05:58,05:58,05:59,06:00,06:01,05:58,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10
236,Mondays to Fridays,06:09,06:10,06:10,06:11,06:12,06:13,06:10,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22
236,Mondays to Fridays,06:21,06:22,06:22,06:23,06:24,06:25,06:22,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34
236,Mondays to Fridays,06:33,06:34,06:34,06:35,06:36,06:37,06:34,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46
236,Mondays to Fridays,06:45,06:46,06:46,06:47,06:48,06:49,06:46,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58
236,Mondays to Fridays,06:57,06:58,06:58,06:59,07:00,07:01,06:58,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10
236,Mondays to Fridays,07:09,07:10,07:10,07:11,07:12,07:13,07:10,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22
236,Mondays to Fridays,07:21,07:22,07:22,07:23,07:24,07:25,07:22,07:27,07:28,07:29,07:30,07:31,07:32,07:33,07:34
236,Mondays to Fridays,07:33,07:34,07:34,07:35,07:36,07:37,07:34,07:39,07:40,07:41,07:42,07:43,07:44,07:45,07:46
