route_number,day_type,Atlantis Station,Wesfleur Hospital,Sampson,Curlew,Robinvale,Tortelduif,Swift,Swawel
237,Mondays to Fridays,04:05,,,,,,,04:11
237,Mondays to Fridays,04:34,04:35,04:37,04:38,04:39,04:40,04:41,04:42
237,Mondays to Fridays,04:54,,,,,,,05:00
237,Mondays to Fridays,05:14,05:15,05:17,05:18,05:19,05:20,05:21,05:22
237,Mondays to Fridays,05:34,,,,,,,05:40
237,Mondays to Fridays,05:54,05:55,05:57,05:58,05:59,06:00,06:01,06:02
237,Mondays to Fridays,06:14,,,,,,,06:20
237,Mondays to Fridays,06:34,06:35,06:37,06:38,06:39,06:40,06:41,06:42
237,Mondays to Fridays,06:54,,,,,,,07:00
237,Mondays to Fridays,07:14,07:15,07:17,07:18,07:19,07:20,07:21,07:22
237,Mondays to Fridays,07:25,07:26,07:28,07:29,07:30,07:31,07:32,07:33
237,Mondays to Fridays,07:34,,,,,,,07:40
237,Mondays to Fridays,07:54,07:55,07:57,07:58,07:59,08:00,08:01,08:02
237,Mondays to Fridays,08:14,,,,,,,08:20
237,Mondays to Fridays,08:34,08:35,08:37,08:38,08:39,08:40,08:41,08:42
237,Mondays to Fridays,08:54,,,,,,,09:00
237,Mondays to Fridays,09:14,09:15,09:17,09:18,09:19,09:20,09:21,09:22
237,Mondays to Fridays,09:34,,,,,,,09:40
237,Mondays to Fridays,09:54,09:55,09:57,09:58,09:59,10:00,10:01,10:02
237,Mondays to Fridays,10:14,,,,,,,10:20
237,Mondays to Fridays,10:34,10:35,10:37,10:38,10:39,10:40,10:41,10:42
237,Mondays to Fridays,10:54,,,,,,,11:00
237,Mondays to Fridays,11:14,11:15,11:17,11:18,11:19,11:20,11:21,11:22
237,Mondays to Fridays,11:34,,,,,,,11:40
237,Mondays to Fridays,11:54,11:55,11:57,11:58,11:59,12:00,12:01,12:02
237,Mondays to Fridays,12:14,,,,,,,12:20
237,Mondays to Fridays,12:34,12:35,12:37,12:38,12:39,12:40,12:41,12:42
