route_number,day_type,Swawel,Swift,Tortelduif,Robinvale,Curlew,Sampson,Wesfleur Hospital,Meermin,Atlantis Station
237,Mondays to Fridays,04:11,04:12,04:13,04:14,04:16,04:17,04:18,04:19,04:20
237,Mondays to Fridays,04:42,,,,,,,,04:49
237,Mondays to Fridays,05:00,05:01,05:02,05:03,05:05,05:06,05:07,05:08,05:09
237,Mondays to Fridays,05:22,,,,,,,,05:29
237,Mondays to Fridays,05:40,05:41,05:42,05:43,05:45,05:46,05:47,05:48,05:49
237,Mondays to Fridays,06:02,,,,,,,,06:09
237,Mondays to Fridays,06:20,06:21,06:22,06:23,06:25,06:26,06:27,06:28,06:29
237,Mondays to Fridays,06:42,,,,,,,,06:49
237,Mondays to Fridays,07:00,07:01,07:02,07:03,07:05,07:06,07:07,07:08,07:09
237,Mondays to Fridays,07:22,,,,,,,,07:29
237,Mondays to Fridays,07:36,,,,,,,,07:43
237,Mondays to Fridays,07:40,07:41,07:42,07:43,07:45,07:46,07:47,07:48,07:49
237,Mondays to Fridays,08:02,,,,,,,,08:09
237,Mondays to Fridays,08:20,08:21,08:22,08:23,08:25,08:26,08:27,08:28,08:29
237,Mondays to Fridays,08:42,,,,,,,,08:49
237,Mondays to Fridays,09:00,09:01,09:02,09:03,09:05,09:06,09:07,09:08,09:09
237,Mondays to Fridays,09:22,,,,,,,,09:29
237,Mondays to Fridays,09:40,09:41,09:42,09:43,09:45,09:46,09:47,09:48,09:49
237,Mondays to Fridays,10:02,,,,,,,,10:09
237,Mondays to Fridays,10:20,10:21,10:22,10:23,10:25,10:26,10:27,10:28,10:29
237,Mondays to Fridays,10:42,,,,,,,,10:49
237,Mondays to Fridays,11:00,11:01,11:02,11:03,11:05,11:06,11:07,11:08,11:09
237,Mondays to Fridays,11:22,,,,,,,,11:29
237,Mondays to Fridays,11:40,11:41,11:42,11:43,11:45,11:46,11:47,11:48,11:49
237,Mondays to Fridays,12:02,,,,,,,,12:09
237,Mondays to Fridays,12:20,12:21,12:22,12:23,12:25,12:26,12:27,12:28,12:29
237,Mondays to Fridays,12:42,,,,,,,,12:49
237,Mondays to Fridays,13:00,13:01,13:02,13:03,13:05,13:06,13:07,13:08,13:09
237,Mondays to Fridays,13:22,,,,,,,,13:29
237,Mondays to Fridays,13:40,13:41,13:42,13:43,13:45,13:46,13:47,13:48,13:49
237,Mondays to Fridays,14:02,,,,,,,,14:09
237,Mondays to Fridays,14:20,14:21,14:22,14:23,14:25,14:26,14:27,14:28,14:29
237,Mondays to Fridays,14:34,,,,,,,,14:41
237,Mondays to Fridays,14:42,,,,,,,,14:49
237,Mondays to Fridays,14:49,,,,,,,,14:56
237,Mondays to Fridays,15:00,15:01,15:02,15:03,15:05,15:06,15:07,15:08,15:09
237,Mondays to Fridays,15:22,,,,,,,,15:29
237,Mondays to Fridays,15:40,15:41,15:42,15:43,15:45,15:46,15:47,15:48,15:49
