route_number,day_type,Atlantis Station,Wesfleur Park,Fernande,Valleyfield,Hoogergeest,Goede Hoop,Saxonsea Clinic,Hermes,Hermeslaan Primary,Lisboa
245,Mondays to Fridays,05:08,05:10,05:12,05:14,05:15,05:16,05:18,05:20,05:21,05:22
245,Mondays to Fridays,05:32,05:34,05:36,05:38,05:39,05:40,05:42,05:44,05:45,05:46
245,Mondays to Fridays,05:56,05:58,06:00,06:02,06:03,06:04,06:06,06:08,06:09,06:10
245,Mondays to Fridays,06:20,06:22,06:24,06:26,06:27,06:28,06:30,06:32,06:33,06:34
245,Mondays to Fridays,06:44,06:46,06:48,06:50,06:51,06:52,06:54,06:56,06:57,06:58
245,Mondays to Fridays,07:08,07:10,07:12,07:14,07:15,07:16,07:18,07:20,07:21,07:22
245,Mondays to Fridays,07:32,07:34,07:36,07:38,07:39,07:40,07:42,07:44,07:45,07:46
245,Mondays to Fridays,07:56,07:58,08:00,08:02,08:03,08:04,08:06,08:08,08:09,08:10
245,Mondays to Fridays,08:28,08:30,08:31,08:32,08:33,08:33,08:34,08:35,08:36,08:37
245,Mondays to Fridays,08:58,09:00,09:01,09:02,09:03,09:03,09:04,09:05,09:06,09:07
245,Mondays to Fridays,09:32,09:34,09:35,09:36,09:37,09:37,09:38,09:39,09:40,09:41
245,Mondays to Fridays,09:58,10:00,10:01,10:02,10:03,10:03,10:04,10:05,10:06,10:07
245,Mondays to Fridays,10:28,10:30,10:31,10:32,10:33,10:33,10:34,10:35,10:36,10:37
245,Mondays to Fridays,10:56,10:58,10:59,11:00,11:01,11:01,11:02,11:03,11:04,11:05
245,Mondays to Fridays,11:32,11:34,11:35,11:36,11:37,11:37,11:38,11:39,11:40,11:41
245,Mondays to Fridays,11:58,12:00,12:01,12:02,12:03,12:03,12:04,12:05,12:06,12:07
245,Mondays to Fridays,12:28,12:30,12:31,12:32,12:33,12:33,12:34,12:35,12:36,12:37
245,Mondays to Fridays,12:56,12:58,12:59,13:00,13:01,13:01,13:02,13:03,13:04,13:05
245,Mondays to Fridays,13:32,13:34,13:35,13:36,13:37,13:37,13:38,13:39,13:40,13:41
245,Mondays to Fridays,13:58,14:00,14:01,14:02,14:03,14:03,14:04,14:05,14:06,14:07
245,Mondays to Fridays,14:23,14:25,14:26,14:27,14:28,14:28,14:29,14:30,14:31,14:32
245,Mondays to Fridays,14:28,14:30,14:31,14:32,14:33,14:33,14:34,14:35,14:36,14:37
245,Mondays to Fridays,14:58,15:00,15:01,15:02,15:03,15:03,15:04,15:05,15:06,15:07
245,Mondays to Fridays,15:28,15:30,15:31,15:32,15:33,15:33,15:34,15:35,15:36,15:37
245,Mondays to Fridays,15:58,16:00,16:01,16:02,16:03,16:03,16:04,16:05,16:06,16:07
245,Mondays to Fridays,16:22,16:24,16:26,16:28,16:29,16:30,16:32,16:34,16:35,16:36
245,Mondays to Fridays,16:46,16:48,16:50,16:52,16:53,16:54,16:56,16:58,16:59,17:00
245,Mondays to Fridays,17:10,17:12,17:14,17:16,17:17,17:18,17:20,17:22,17:23,17:24
245,Mondays to Fridays,17:34,17:36,17:38,17:40,17:41,17:42,17:44,17:46,17:47,17:48
245,Mondays to Fridays,17:58,18:00,18:02,18:04,18:05,18:06,18:08,18:10,18:11,18:12
245,Mondays to Fridays,18:22,18:24,18:26,18:28,18:29,18:30,18:32,18:34,18:35,18:36
245,Mondays to Fridays,18:46,18:48,18:50,18:52,18:53,18:54,18:56,18:58,18:59,19:00
245,Mondays to Fridays,19:34,19:36,19:37,19:38,19:39,19:40,19:41,19:42,19:42,19:44
245,Mondays to Fridays,20:02,20:04,20:05,20:06,20:07,20:08,20:09,20:10,20:10,20:12
245,Mondays to Fridays,20:32,20:34,20:35,20:36,20:37,20:38,20:39,20:40,20:40,20:42
245,Mondays to Fridays,21:02,21:04,21:05,21:06,21:07,21:08,21:09,21:10,21:10,21:12
245,Saturdays,05:00,05:02,05:03,05:04,05:05,05:05,05:06,05:07,05:08,05:09
245,Saturdays,05:20,05:22,05:23,05:24,05:25,05:25,05:26,05:27,05:28,05:29
245,Saturdays,05:40,05:42,05:43,05:44,05:45,05:45,05:46,05:47,05:48,05:49
245,Saturdays,06:00,06:02,06:03,06:04,06:05,06:05,06:06,06:07,06:08,06:09
245,Saturdays,06:20,06:22,06:23,06:24,06:25,06:25,06:26,06:27,06:28,06:29
245,Saturdays,06:40,06:42,06:43,06:44,06:45,06:45,06:46,06:47,06:48,06:49
245,Saturdays,07:00,07:02,07:03,07:04,07:05,07:05,07:06,07:07,07:08,07:09
245,Saturdays,07:20,07:22,07:23,07:24,07:25,07:25,07:26,07:27,07:28,07:29
245,Saturdays,07:40,07:42,07:43,07:44,07:45,07:45,07:46,07:47,07:48,07:49
245,Saturdays,08:00,08:02,08:03,08:04,08:05,08:05,08:06,08:07,08:08,08:09
245,Saturdays,08:20,08:22,08:23,08:24,08:25,08:25,08:26,08:27,08:28,08:29
245,Saturdays,08:40,08:42,08:43,08:44,08:45,08:45,08:46,08:47,08:48,08:49
245,Saturdays,09:00,09:02,09:03,09:04,09:05,09:05,09:06,09:07,09:08,09:09
245,Saturdays,09:30,09:32,09:33,09:34,09:35,09:35,09:36,09:37,09:38,09:39
245,Saturdays,10:00,10:02,10:03,10:04,10:05,10:05,10:06,10:07,10:08,10:09
245,Saturdays,10:30,10:32,10:33,10:34,10:35,10:35,10:36,10:37,10:38,10:39
245,Saturdays,11:00,11:02,11:03,11:04,11:05,11:05,11:06,11:07,11:08,11:09
245,Saturdays,11:30,11:32,11:33,11:34,11:35,11:35,11:36,11:37,11:38,11:39
245,Saturdays,12:00,12:02,12:03,12:04,12:05,12:05,12:06,12:07,12:08,12:09
245,Saturdays,12:30,12:32,12:33,12:34,12:35,12:35,12:36,12:37,12:38,12:39
