route_number,day_type,Victoria,Sailors Green,Soldier,Emerald,Century Gate,Edison,Ocean Spirit,Democracy South,Corsair,Quest,Loxton East,Loxton West,Milnerton Lighthouse
260,Mondays to Fridays,05:30,05:31,05:32,05:34,05:39,05:40,05:40,05:44,05:45,05:46,05:48,05:49,05:52
260,Mondays to Fridays,05:54,05:55,05:56,05:58,06:03,06:04,06:04,06:08,06:09,06:10,06:12,06:13,06:16
260,Mondays to Fridays,06:18,06:19,06:20,06:22,06:27,06:28,06:28,06:32,06:33,06:34,06:36,06:37,06:40
260,Mondays to Fridays,06:42,06:43,06:44,06:46,06:51,06:52,06:52,06:56,06:57,06:58,07:00,07:01,07:04
260,Mondays to Fridays,07:06,07:07,07:08,07:10,07:15,07:16,07:16,07:20,07:21,07:22,07:24,07:25,07:28
260,Mondays to Fridays,07:30,07:31,07:32,07:34,07:39,07:40,07:40,07:44,07:45,07:46,07:48,07:49,07:52
260,Mondays to Fridays,07:54,07:55,07:56,07:58,08:03,08:04,08:04,08:08,08:09,08:10,08:12,08:13,08:16
260,Mondays to Fridays,08:18,08:19,08:20,08:22,08:27,08:28,08:28,08:32,08:33,08:34,08:36,08:37,08:40
260,Mondays to Fridays,08:42,08:43,08:44,08:46,08:51,08:52,08:52,08:56,08:57,08:58,09:00,09:01,09:04
260,Mondays to Fridays,09:30,09:31,09:32,09:33,09:35,09:38,09:41,09:45,09:46,09:47,09:49,09:50,09:52
260,Mondays to Fridays,10:30,10:31,10:32,10:33,10:35,10:38,10:41,10:45,10:46,10:47,10:49,10:50,10:52
260,Mondays to Fridays,11:30,11:31,11:32,11:33,11:35,11:38,11:41,11:45,11:46,11:47,11:49,11:50,11:52
260,Mondays to Fridays,12:30,12:31,12:32,12:33,12:35,12:38,12:41,12:45,12:46,12:47,12:49,12:50,12:52
260,Mondays to Fridays,13:30,13:31,13:32,13:33,13:35,13:38,13:41,13:45,13:46,13:47,13:49,13:50,13:52
260,Mondays to Fridays,14:30,14:31,14:32,14:33,14:35,14:38,14:41,14:45,14:46,14:47,14:49,14:50,14:52
260,Mondays to Fridays,15:29,15:30,15:31,15:32,15:34,15:37,15:40,15:44,15:45,15:46,15:48,15:49,15:51
260,Mondays to Fridays,15:53,15:54,15:55,15:56,15:58,15:59,15:59,16:03,16:09,16:11,16:13,16:13,16:15
260,Mondays to Fridays,16:17,16:18,16:19,16:20,16:22,16:23,16:23,16:27,16:33,16:35,16:37,16:37,16:39
260,Mondays to Fridays,16:41,16:42,16:43,16:44,16:46,16:47,16:47,16:51,16:57,16:59,17:01,17:01,17:03
260,Mondays to Fridays,17:05,17:06,17:07,17:08,17:10,17:11,17:11,17:15,17:21,17:23,17:25,17:25,17:27
260,Mondays to Fridays,17:29,17:30,17:31,17:32,17:34,17:35,17:35,17:39,17:45,17:47,17:49,17:49,17:51
260,Mondays to Fridays,17:53,17:54,17:55,17:56,17:58,17:59,17:59,18:03,18:09,18:11,18:13,18:13,18:15
260,Mondays to Fridays,18:17,18:18,18:19,18:20,18:22,18:23,18:23,18:27,18:33,18:35,18:37,18:37,18:39
260,Mondays to Fridays,18:41,18:42,18:43,18:44,18:46,18:47,18:47,18:51,18:57,18:59,19:01,19:01,19:03
260,Saturdays,05:36,05:37,05:38,05:39,05:42,05:44,05:46,05:48,05:49,05:51,05:53,05:54,05:56
260,Saturdays,06:24,06:25,06:26,06:27,06:30,06:32,06:34,06:36,06:37,06:39,06:41,06:42,06:44
260,Saturdays,07:12,07:13,07:14,07:15,07:18,07:20,07:22,07:24,07:25,07:27,07:29,07:30,07:32
260,Saturdays,08:00,08:01,08:02,08:03,08:06,08:08,08:10,08:12,08:13,08:15,08:17,08:18,08:20
260,Saturdays,08:48,08:49,08:50,08:51,08:54,08:56,08:58,09:00,09:01,09:03,09:05,09:06,09:08
260,Saturdays,09:36,09:37,09:38,09:39,09:42,09:44,09:46,09:48,09:49,09:51,09:53,09:54,09:56
260,Saturdays,10:24,10:25,10:26,10:27,10:30,10:32,10:34,10:36,10:37,10:39,10:41,10:42,10:44
260,Saturdays,11:12,11:13,11:14,11:15,11:18,11:20,11:22,11:24,11:25,11:27,11:29,11:30,11:32
260,Saturdays,12:00,12:01,12:02,12:03,12:06,12:08,12:10,12:12,12:13,12:15,12:17,12:18,12:20
260,Saturdays,12:48,12:49,12:50,12:51,12:54,12:56,12:58,13:00,13:01,13:03,13:05,13:06,13:08
260,Saturdays,13:36,13:37,13:38,13:39,13:42,13:44,13:46,13:48,13:49,13:51,13:53,13:54,13:56
260,Saturdays,14:24,14:25,14:26,14:27,14:30,14:32,14:34,14:36,14:37,14:39,14:41,14:42,14:44
260,Saturdays,15:12,15:13,15:14,15:15,15:18,15:20,15:22,15:24,15:25,15:27,15:29,15:30,15:32
260,Saturdays,16:00,16:01,16:02,16:03,16:06,16:08,16:10,16:12,16:13,16:15,16:17,16:18,16:20
260,Saturdays,16:48,16:49,16:50,16:51,16:54,16:56,16:58,17:00,17:01,17:03,17:05,17:06,17:08
260,Saturdays,17:36,17:37,17:38,17:39,17:42,17:44,17:46,17:48,17:49,17:51,17:53,17:54,17:56
260,Saturdays,18:24,18:25,18:26,18:27,18:30,18:32,18:34,18:36,18:37,18:39,18:41,18:42,18:44
260,Sundays and Public Holidays,05:36,05:37,05:38,05:39,05:42,05:44,05:46,05:48,05:49,05:51,05:53,05:54,05:56
260,Sundays and Public Holidays,06:24,06:25,06:26,06:27,06:30,06:32,06:34,06:36,06:37,06:39,06:41,06:42,06:44
260,Sundays and Public Holidays,07:12,07:13,07:14,07:15,07:18,07:20,07:22,07:24,07:25,07:27,07:29,07:30,07:32
260,Sundays and Public Holidays,08:00,08:01,08:02,08:03,08:06,08:08,08:10,08:12,08:13,08:15,08:17,08:18,08:20
260,Sundays and Public Holidays,08:48,08:49,08:50,08:51,08:54,08:56,08:58,09:00,09:01,09:03,09:05,09:06,09:08
260,Sundays and Public Holidays,09:36,09:37,09:38,09:39,09:42,09:44,09:46,09:48,09:49,09:51,09:53,09:54,09:56
260,Sundays and Public Holidays,10:24,10:25,10:26,10:27,10:30,10:32,10:34,10:36,10:37,10:39,10:41,10:42,10:44
260,Sundays and Public Holidays,11:12,11:13,11:14,11:15,11:18,11:20,11:22,11:24,11:25,11:27,11:29,11:30,11:32
260,Sundays and Public Holidays,12:00,12:01,12:02,12:03,12:06,12:08,12:10,12:12,12:13,12:15,12:17,12:18,12:20
260,Sundays and Public Holidays,12:48,12:49,12:50,12:51,12:54,12:56,12:58,13:00,13:01,13:03,13:05,13:06,13:08
260,Sundays and Public Holidays,13:36,13:37,13:38,13:39,13:42,13:44,13:46,13:48,13:49,13:51,13:53,13:54,13:56
260,Sundays and Public Holidays,14:24,14:25,14:26,14:27,14:30,14:32,14:34,14:36,14:37,14:39,14:41,14:42,14:44
260,Sundays and Public Holidays,15:12,15:13,15:14,15:15,15:18,15:20,15:22,15:24,15:25,15:27,15:29,15:30,15:32
260,Sundays and Public Holidays,16:00,16:01,16:02,16:03,16:06,16:08,16:10,16:12,16:13,16:15,16:17,16:18,16:20
260,Sundays and Public Holidays,16:48,16:49,16:50,16:51,16:54,16:56,16:58,17:00,17:01,17:03,17:05,17:06,17:08
260,Sundays and Public Holidays,17:36,17:37,17:38,17:39,17:42,17:44,17:46,17:48,17:49,17:51,17:53,17:54,17:56
260,Sundays and Public Holidays,18:24,18:25,18:26,18:27,18:30,18:32,18:34,18:36,18:37,18:39,18:41,18:42,18:44
