route_number,day_type,Milnerton Lighthouse,Loxton West,Mansfield,Quest,Corsair,Democracy South,Namar,Edison,Century Gate,Emerald,Soldier,Sailors Green,Victoria
260,Mondays to Fridays,05:53,05:55,05:57,05:58,06:00,06:04,06:05,06:06,06:07,06:13,06:14,06:15,06:18
260,Mondays to Fridays,06:17,06:19,06:21,06:22,06:24,06:28,06:29,06:30,06:31,06:37,06:38,06:39,06:42
260,Mondays to Fridays,06:41,06:43,06:45,06:46,06:48,06:52,06:53,06:54,06:55,07:01,07:02,07:03,07:06
260,Mondays to Fridays,07:05,07:07,07:09,07:10,07:12,07:16,07:17,07:18,07:19,07:25,07:26,07:27,07:30
260,Mondays to Fridays,07:29,07:31,07:33,07:34,07:36,07:40,07:41,07:42,07:43,07:49,07:50,07:51,07:54
260,Mondays to Fridays,07:53,07:55,07:57,07:58,08:00,08:04,08:05,08:06,08:07,08:13,08:14,08:15,08:18
260,Mondays to Fridays,08:17,08:19,08:21,08:22,08:24,08:28,08:29,08:30,08:31,08:37,08:38,08:39,08:42
260,Mondays to Fridays,08:41,08:43,08:45,08:46,08:48,08:52,08:53,08:54,08:55,09:01,09:02,09:03,09:06
260,Mondays to Fridays,09:05,09:07,09:09,09:10,09:12,09:16,09:17,09:18,09:19,09:25,09:26,09:27,09:30
260,Mondays to Fridays,09:58,10:00,10:02,10:03,10:04,10:07,10:10,10:12,10:13,10:23,10:24,10:25,10:26
260,Mondays to Fridays,10:58,11:00,11:02,11:03,11:04,11:07,11:10,11:12,11:13,11:23,11:24,11:25,11:26
260,Mondays to Fridays,11:58,12:00,12:02,12:03,12:04,12:07,12:10,12:12,12:13,12:23,12:24,12:25,12:26
260,Mondays to Fridays,12:58,13:00,13:02,13:03,13:04,13:07,13:10,13:12,13:13,13:23,13:24,13:25,13:26
260,Mondays to Fridays,13:58,14:00,14:02,14:03,14:04,14:07,14:10,14:12,14:13,14:23,14:24,14:25,14:26
260,Mondays to Fridays,14:58,15:00,15:02,15:03,15:04,15:07,15:10,15:12,15:13,15:23,15:24,15:25,15:26
260,Mondays to Fridays,15:52,15:54,15:56,15:57,15:58,16:01,16:04,16:05,16:07,16:14,16:15,16:16,16:17
260,Mondays to Fridays,16:16,16:18,16:20,16:21,16:22,16:25,16:28,16:29,16:31,16:38,16:39,16:40,16:41
260,Mondays to Fridays,16:40,16:42,16:44,16:45,16:46,16:49,16:52,16:53,16:55,17:02,17:03,17:04,17:05
260,Mondays to Fridays,17:04,17:06,17:08,17:09,17:10,17:13,17:16,17:17,17:19,17:26,17:27,17:28,17:29
260,Mondays to Fridays,17:28,17:30,17:32,17:33,17:34,17:37,17:40,17:41,17:43,17:50,17:51,17:52,17:53
260,Mondays to Fridays,17:52,17:54,17:56,17:57,17:58,18:01,18:04,18:05,18:07,18:14,18:15,18:16,18:17
260,Mondays to Fridays,18:16,18:18,18:20,18:21,18:22,18:25,18:28,18:29,18:31,18:38,18:39,18:40,18:41
260,Mondays to Fridays,18:40,18:42,18:44,18:45,18:46,18:49,18:52,18:53,18:55,19:02,19:03,19:04,19:05
260,Mondays to Fridays,19:04,19:06,19:08,19:09,19:10,19:13,19:16,19:18,19:19,19:29,19:30,19:31,19:32
260,Saturdays,05:59,06:01,06:03,06:04,06:05,06:07,06:09,06:10,06:12,06:20,06:21,06:22,06:23
260,Saturdays,06:47,06:49,06:51,06:52,06:53,06:55,06:57,06:58,07:00,07:08,07:09,07:10,07:11
260,Saturdays,07:35,07:37,07:39,07:40,07:41,07:43,07:45,07:46,07:48,07:56,07:57,07:58,07:59
260,Saturdays,08:23,08:25,08:27,08:28,08:29,08:31,08:33,08:34,08:36,08:44,08:45,08:46,08:47
260,Saturdays,09:11,09:13,09:15,09:16,09:17,09:19,09:21,09:22,09:24,09:32,09:33,09:34,09:35
260,Saturdays,09:59,10:01,10:03,10:04,10:05,10:07,10:09,10:10,10:12,10:20,10:21,10:22,10:23
260,Saturdays,10:47,10:49,10:51,10:52,10:53,10:55,10:57,10:58,11:00,11:08,11:09,11:10,11:11
260,Saturdays,11:35,11:37,11:39,11:40,11:41,11:43,11:45,11:46,11:48,11:56,11:57,11:58,11:59
260,Saturdays,12:23,12:25,12:27,12:28,12:29,12:31,12:33,12:34,12:36,12:44,12:45,12:46,12:47
260,Saturdays,13:11,13:13,13:15,13:16,13:17,13:19,13:21,13:22,13:24,13:32,13:33,13:34,13:35
260,Saturdays,13:59,14:01,14:03,14:04,14:05,14:07,14:09,14:10,14:12,14:20,14:21,14:22,14:23
