route_number,day_type,Milnerton Lighthouse,Loxton West,Mansfield,Quest,Corsair,Democracy South,Sanddrift,Century City,Oasis,Central Park,Waterstone,Studio,Estuaries,Century Gate,Emerald,Soldier,Sailors Green,Victoria
262,Mondays to Fridays,06:23,06:25,06:27,06:28,06:30,06:34,06:36,06:40,06:42,06:43,06:44,06:45,06:46,06:47,06:54,06:55,06:56,06:59
262,Mondays to Fridays,06:47,06:49,06:51,06:52,06:54,06:58,07:00,07:04,07:06,07:07,07:08,07:09,07:10,07:11,07:18,07:19,07:20,07:23
262,Mondays to Fridays,07:11,07:13,07:15,07:16,07:18,07:22,07:24,07:28,07:30,07:31,07:32,07:33,07:34,07:35,07:42,07:43,07:44,07:47
262,Mondays to Fridays,07:35,07:37,07:39,07:40,07:42,07:46,07:48,07:52,07:54,07:55,07:56,07:57,07:58,07:59,08:06,08:07,08:08,08:11
262,Mondays to Fridays,07:59,08:01,08:03,08:04,08:06,08:10,08:12,08:16,08:18,08:19,08:20,08:21,08:22,08:23,08:30,08:31,08:32,08:35
262,Mondays to Fridays,08:23,08:25,08:27,08:28,08:30,08:34,08:36,08:40,08:42,08:43,08:44,08:45,08:46,08:47,08:54,08:55,08:56,08:59
262,Mondays to Fridays,08:47,08:49,08:51,08:52,08:54,08:58,09:00,09:04,09:06,09:07,09:08,09:09,09:10,09:11,09:18,09:19,09:20,09:23
262,Mondays to Fridays,09:11,09:13,09:15,09:16,09:18,09:22,09:24,09:28,09:30,09:31,09:32,09:33,09:34,09:35,09:42,09:43,09:44,09:47
262,Mondays to Fridays,09:28,09:30,09:32,09:33,09:34,09:37,09:39,09:42,09:44,09:45,09:46,09:47,09:48,09:49,09:55,09:57,09:58,09:59
262,Mondays to Fridays,10:28,10:30,10:32,10:33,10:34,10:37,10:39,10:42,10:44,10:45,10:46,10:47,10:48,10:49,10:55,10:57,10:58,10:59
262,Mondays to Fridays,11:28,11:30,11:32,11:33,11:34,11:37,11:39,11:42,11:44,11:45,11:46,11:47,11:48,11:49,11:55,11:57,11:58,11:59
