route_number,day_type,Civic Centre,Sesame,Highlands,Marguerite,Morgenster,Kerrem,Buick,Pontiac,Mitchells Plain
D03,Mondays to Fridays,05:55,06:26,06:28,06:29,06:30,06:31,06:32,06:33,06:35
D03,Mondays to Fridays,06:29,07:00,07:02,07:03,07:04,07:05,07:06,07:07,07:09
D03,Mondays to Fridays,07:02,07:33,07:35,07:36,07:37,07:38,07:39,07:40,07:42
D03,Mondays to Fridays,07:35,08:06,08:08,08:09,08:10,08:11,08:12,08:13,08:15
D03,Mondays to Fridays,08:08,08:39,08:41,08:42,08:43,08:44,08:45,08:46,08:48
D03,Mondays to Fridays,08:41,09:12,09:14,09:15,09:16,09:17,09:18,09:19,09:21
D03,Mondays to Fridays,14:30,15:20,15:22,15:23,15:24,15:25,15:26,15:27,15:30
D03,Mondays to Fridays,15:00,15:50,15:52,15:53,15:54,15:55,15:56,15:57,16:00
D03,Mondays to Fridays,15:30,16:20,16:22,16:23,16:24,16:25,16:26,16:27,16:30
D03,Mondays to Fridays,16:00,16:50,16:52,16:53,16:54,16:55,16:56,16:57,17:00
D03,Mondays to Fridays,16:30,17:20,17:22,17:23,17:24,17:25,17:26,17:27,17:30
D03,Mondays to Fridays,17:00,17:50,17:52,17:53,17:54,17:55,17:56,17:57,18:00
D03,Mondays to Fridays,17:30,18:20,18:22,18:23,18:24,18:25,18:26,18:27,18:30
D03,Mondays to Fridays,18:00,18:50,18:52,18:53,18:54,18:55,18:56,18:57,19:00
D03,Mondays to Fridays,18:30,19:20,19:22,19:23,19:24,19:25,19:26,19:27,19:30
D03,Mondays to Fridays,19:00,19:50,19:52,19:53,19:54,19:55,19:56,19:57,20:00
D03,Mondays to Fridays,19:30,20:20,20:22,20:23,20:24,20:25,20:26,20:27,20:30
