route_number,day_type,Civic Centre,Sesame,Highlands,Marguerite,Morgenster,Kerrem,Buick,Mitchells Plain,Imperial,Figaro,Bontebok,Spine,Tafelsig Primary,Langeberg,Ruwenzori,Paulsberg,Dolomites East,Snowdon,Dolomites West,Kapteinsklip
D04,Mondays to Fridays,06:22,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:13,07:14,07:16,07:17,07:18,07:19,07:20,07:21,07:23
D04,Mondays to Fridays,07:04,07:44,07:45,07:46,07:47,07:48,07:49,07:50,07:51,07:52,07:53,07:55,07:56,07:58,07:59,08:00,08:01,08:02,08:03,08:05
D04,Mondays to Fridays,07:46,08:26,08:27,08:28,08:29,08:30,08:31,08:32,08:33,08:34,08:35,08:37,08:38,08:40,08:41,08:42,08:43,08:44,08:45,08:47
D04,Mondays to Fridays,08:28,09:08,09:09,09:10,09:11,09:12,09:13,09:14,09:15,09:16,09:17,09:19,09:20,09:22,09:23,09:24,09:25,09:26,09:27,09:29
D04,Mondays to Fridays,09:10,09:50,09:51,09:52,09:53,09:54,09:55,09:56,09:57,09:58,09:59,10:01,10:02,10:04,10:05,10:06,10:07,10:08,10:09,10:11
D04,Mondays to Fridays,09:52,10:32,10:33,10:34,10:35,10:36,10:37,10:38,10:39,10:40,10:41,10:43,10:44,10:46,10:47,10:48,10:49,10:50,10:51,10:53
D04,Mondays to Fridays,10:34,11:14,11:15,11:16,11:17,11:18,11:19,11:20,11:21,11:22,11:23,11:25,11:26,11:28,11:29,11:30,11:31,11:32,11:33,11:35
D04,Mondays to Fridays,11:16,11:59,12:00,12:01,12:02,12:03,12:04,12:05,12:06,12:07,12:08,12:10,12:11,12:13,12:14,12:15,12:16,12:17,12:18,12:20
D04,Mondays to Fridays,11:58,12:41,12:42,12:43,12:44,12:45,12:46,12:47,12:48,12:49,12:50,12:52,12:53,12:55,12:56,12:57,12:58,12:59,13:00,13:02
D04,Mondays to Fridays,12:40,13:23,13:24,13:25,13:26,13:27,13:28,13:29,13:30,13:31,13:32,13:34,13:35,13:37,13:38,13:39,13:40,13:41,13:42,13:44
D04,Mondays to Fridays,13:22,14:05,14:06,14:07,14:08,14:09,14:10,14:11,14:12,14:13,14:14,14:16,14:17,14:19,14:20,14:21,14:22,14:23,14:24,14:26
D04,Mondays to Fridays,14:04,14:47,14:48,14:49,14:50,14:51,14:52,14:53,14:54,14:55,14:56,14:58,14:59,15:01,15:02,15:03,15:04,15:05,15:06,15:08
D04,Mondays to Fridays,14:46,15:29,15:30,15:31,15:32,15:33,15:34,15:35,15:36,15:37,15:38,15:40,15:41,15:43,15:44,15:45,15:46,15:47,15:48,15:50
D04,Mondays to Fridays,15:06,15:49,15:50,15:51,15:52,15:53,15:54,15:55,15:56,15:57,15:58,16:00,16:01,16:03,16:04,16:05,16:06,16:07,16:08,16:10
D04,Mondays to Fridays,15:28,16:27,16:28,16:29,16:30,16:31,16:32,16:33,16:34,16:35,16:36,16:38,16:39,16:41,16:42,16:43,16:44,16:45,16:46,16:48
D04,Mondays to Fridays,16:06,17:05,17:06,17:07,17:08,17:09,17:10,17:11,17:12,17:13,17:14,17:16,17:17,17:19,17:20,17:21,17:22,17:23,17:24,17:26
D04,Mondays to Fridays,16:44,17:43,17:44,17:45,17:46,17:47,17:48,17:49,17:50,17:51,17:52,17:54,17:55,17:57,17:58,17:59,18:00,18:01,18:02,18:04
D04,Mondays to Fridays,17:22,18:21,18:22,18:23,18:24,18:25,18:26,18:27,18:28,18:29,18:30,18:32,18:33,18:35,18:36,18:37,18:38,18:39,18:40,18:42
D04,Mondays to Fridays,18:00,18:59,19:00,19:01,19:02,19:03,19:04,19:05,19:06,19:07,19:08,19:10,19:11,19:13,19:14,19:15,19:16,19:17,19:18,19:20
D04,Mondays to Fridays,18:38,19:37,19:38,19:39,19:40,19:41,19:42,19:43,19:44,19:45,19:46,19:48,19:49,19:51,19:52,19:53,19:54,19:55,19:56,19:58
D04,Mondays to Fridays,19:20,20:14,20:15,20:16,20:17,20:18,20:19,20:20,20:21,20:22,20:23,20:25,20:26,20:28,20:29,20:30,20:31,20:32,20:33,20:35
D04,Mondays to Fridays,19:54,20:48,20:49,20:50,20:51,20:52,20:53,20:54,20:55,20:56,20:57,20:59,21:00,21:02,21:03,21:04,21:05,21:06,21:07,21:09
D04,Mondays to Fridays,20:11,21:05,21:06,21:07,21:08,21:09,21:10,21:11,21:12,21:13,21:14,21:16,21:17,21:19,21:20,21:21,21:22,21:23,21:24,21:26
D04,Mondays to Fridays,20:53,21:47,21:48,21:49,21:50,21:51,21:52,21:53,21:54,21:55,21:56,21:58,21:59,22:01,22:02,22:03,22:04,22:05,22:06,22:08
D04,Mondays to Fridays,21:35,22:29,22:30,22:31,22:32,22:33,22:34,22:35,22:36,22:37,22:38,22:40,22:41,22:43,22:44,22:45,22:46,22:47,22:48,22:50
D04,Mondays to Fridays,22:17,23:11,23:12,23:13,23:14,23:15,23:16,23:17,23:18,23:19,23:20,23:22,23:23,23:25,23:26,23:27,23:28,23:29,23:30,23:32
D04,Saturdays,05:36,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:30,06:31,06:33,06:34,06:35,06:36,06:37,06:38,06:40
D04,Saturdays,06:18,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:12,07:13,07:15,07:16,07:17,07:18,07:19,07:20,07:22
D04,Saturdays,07:00,07:43,07:44,07:45,07:46,07:47,07:48,07:49,07:50,07:51,07:52,07:54,07:55,07:57,07:58,07:59,08:00,08:01,08:02,08:04
D04,Saturdays,07:42,08:25,08:26,08:27,08:28,08:29,08:30,08:31,08:32,08:33,08:34,08:36,08:37,08:39,08:40,08:41,08:42,08:43,08:44,08:46
D04,Saturdays,08:24,09:07,09:08,09:09,09:10,09:11,09:12,09:13,09:14,09:15,09:16,09:18,09:19,09:21,09:22,09:23,09:24,09:25,09:26,09:28
D04,Saturdays,09:06,09:49,09:50,09:51,09:52,09:53,09:54,09:55,09:56,09:57,09:58,10:00,10:01,10:03,10:04,10:05,10:06,10:07,10:08,10:10
