route_number,day_type,Stables Turnaround,Killarney,Potsdam,Refinery,Dawn,Esso,First,Marconi,Bolt,Drill,Bosmansdam,Century Gate,Estuaries,Waterview,Waterford,Canal Walk North,Canal Walk South,Grand Canal,Century City
D08,Mondays to Fridays,05:31,05:38,05:42,05:45,05:47,05:48,05:49,05:50,05:51,05:52,05:53,05:56,05:57,05:58,05:59,06:01,06:02,06:03,06:05
D08,Mondays to Fridays,05:55,06:02,06:06,06:09,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:20,06:21,06:22,06:23,06:25,06:26,06:27,06:29
D08,Mondays to Fridays,06:19,06:26,06:30,06:33,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:44,06:45,06:46,06:47,06:49,06:50,06:51,06:53
D08,Mondays to Fridays,06:43,06:50,06:54,06:57,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:08,07:09,07:10,07:11,07:13,07:14,07:15,07:17
D08,Mondays to Fridays,07:07,07:14,07:18,07:21,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:32,07:33,07:34,07:35,07:37,07:38,07:39,07:41
D08,Mondays to Fridays,07:31,07:38,07:42,07:45,07:47,07:48,07:49,07:50,07:51,07:52,07:53,07:56,07:57,07:58,07:59,08:01,08:02,08:03,08:05
D08,Mondays to Fridays,07:55,08:02,08:06,08:09,08:11,08:12,08:13,08:14,08:15,08:16,08:17,08:20,08:21,08:22,08:23,08:25,08:26,08:27,08:29
D08,Mondays to Fridays,08:19,08:26,08:30,08:33,08:35,08:36,08:37,08:38,08:39,08:40,08:41,08:44,08:45,08:46,08:47,08:49,08:50,08:51,08:53
D08,Mondays to Fridays,08:55,09:02,09:06,09:09,09:11,09:12,09:13,09:14,09:15,09:16,09:17,09:20,09:21,09:22,09:23,09:25,09:26,09:27,09:29
D08,Mondays to Fridays,09:55,10:02,10:06,10:09,10:11,10:12,10:13,10:14,10:15,10:16,10:17,10:20,10:21,10:22,10:23,10:25,10:26,10:27,10:29
D08,Mondays to Fridays,11:07,11:14,11:18,11:21,11:23,11:24,11:25,11:26,11:27,11:28,11:29,11:32,11:33,11:34,11:35,11:37,11:38,11:39,11:41
D08,Mondays to Fridays,12:19,12:26,12:30,12:33,12:35,12:36,12:37,12:38,12:39,12:40,12:41,12:44,12:45,12:46,12:47,12:49,12:50,12:51,12:53
D08,Mondays to Fridays,13:31,13:38,13:42,13:45,13:47,13:48,13:49,13:50,13:51,13:52,13:53,13:56,13:57,13:58,13:59,14:01,14:02,14:03,14:05
D08,Mondays to Fridays,14:43,14:50,14:54,14:57,14:59,15:00,15:01,15:02,15:03,15:04,15:05,15:08,15:09,15:10,15:11,15:13,15:14,15:15,15:17
D08,Mondays to Fridays,15:55,16:02,16:06,16:09,16:11,16:12,16:13,16:14,16:15,16:16,16:17,16:20,16:21,16:22,16:23,16:25,16:26,16:27,16:29
D08,Mondays to Fridays,16:19,16:26,16:30,16:33,16:35,16:36,16:37,16:38,16:39,16:40,16:41,16:44,16:45,16:46,16:47,16:49,16:50,16:51,16:53
D08,Mondays to Fridays,16:43,16:50,16:54,16:57,16:59,17:00,17:01,17:02,17:03,17:04,17:05,17:08,17:09,17:10,17:11,17:13,17:14,17:15,17:17
D08,Mondays to Fridays,17:07,17:14,17:18,17:21,17:23,17:24,17:25,17:26,17:27,17:28,17:29,17:32,17:33,17:34,17:35,17:37,17:38,17:39,17:41
D08,Mondays to Fridays,17:31,17:38,17:42,17:45,17:47,17:48,17:49,17:50,17:51,17:52,17:53,17:56,17:57,17:58,17:59,18:01,18:02,18:03,18:05
D08,Mondays to Fridays,17:55,18:02,18:06,18:09,18:11,18:12,18:13,18:14,18:15,18:16,18:17,18:20,18:21,18:22,18:23,18:25,18:26,18:27,18:29
