route_number,day_type,Century City,Grand Canal,Canal Walk South,Canal Walk North,Waterford,Waterview,Estuaries,Century Gate,Bosmansdam,Drill,Bolt,Marconi,First,Esso,Dawn,Refinery,Potsdam,Killarney,Stables Turnaround
D08,Mondays to Fridays,06:05,06:06,06:07,06:10,06:11,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:24,06:26,06:30,06:33,06:38
D08,Mondays to Fridays,06:29,06:30,06:31,06:34,06:35,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:48,06:50,06:54,06:57,07:02
D08,Mondays to Fridays,06:53,06:54,06:55,06:58,06:59,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:12,07:14,07:18,07:21,07:26
D08,Mondays to Fridays,07:17,07:18,07:19,07:22,07:23,07:25,07:26,07:27,07:28,07:29,07:30,07:31,07:32,07:33,07:36,07:38,07:42,07:45,07:50
D08,Mondays to Fridays,07:41,07:42,07:43,07:46,07:47,07:49,07:50,07:51,07:52,07:53,07:54,07:55,07:56,07:57,08:00,08:02,08:06,08:09,08:14
D08,Mondays to Fridays,08:05,08:06,08:07,08:10,08:11,08:13,08:14,08:15,08:16,08:17,08:18,08:19,08:20,08:21,08:24,08:26,08:30,08:33,08:38
D08,Mondays to Fridays,08:29,08:30,08:31,08:34,08:35,08:37,08:38,08:39,08:40,08:41,08:42,08:43,08:44,08:45,08:48,08:50,08:54,08:57,09:02
D08,Mondays to Fridays,08:53,08:54,08:55,08:58,08:59,09:01,09:02,09:03,09:04,09:05,09:06,09:07,09:08,09:09,09:12,09:14,09:18,09:21,09:26
D08,Mondays to Fridays,09:29,09:30,09:31,09:34,09:35,09:37,09:38,09:39,09:40,09:41,09:42,09:43,09:44,09:45,09:48,09:50,09:54,09:57,10:02
D08,Mondays to Fridays,10:29,10:30,10:31,10:34,10:35,10:37,10:38,10:39,10:40,10:41,10:42,10:43,10:44,10:45,10:48,10:50,10:54,10:57,11:02
D08,Mondays to Fridays,11:41,11:42,11:43,11:46,11:47,11:49,11:50,11:51,11:52,11:53,11:54,11:55,11:56,11:57,12:00,12:02,12:06,12:09,12:14
D08,Mondays to Fridays,12:53,12:54,12:55,12:58,12:59,13:01,13:02,13:03,13:04,13:05,13:06,13:07,13:08,13:09,13:12,13:14,13:18,13:21,13:26
D08,Mondays to Fridays,14:05,14:06,14:07,14:10,14:11,14:13,14:14,14:15,14:16,14:17,14:18,14:19,14:20,14:21,14:24,14:26,14:30,14:33,14:38
D08,Mondays to Fridays,15:17,15:18,15:19,15:22,15:23,15:25,15:26,15:27,15:28,15:29,15:30,15:31,15:32,15:33,15:36,15:38,15:42,15:45,15:50
D08,Mondays to Fridays,16:29,16:30,16:31,16:34,16:35,16:37,16:38,16:39,16:40,16:41,16:42,16:43,16:44,16:45,16:48,16:50,16:54,16:57,17:02
D08,Mondays to Fridays,16:53,16:54,16:55,16:58,16:59,17:01,17:02,17:03,17:04,17:05,17:06,17:07,17:08,17:09,17:12,17:14,17:18,17:21,17:26
D08,Mondays to Fridays,17:17,17:18,17:19,17:22,17:23,17:25,17:26,17:27,17:28,17:29,17:30,17:31,17:32,17:33,17:36,17:38,17:42,17:45,17:50
D08,Mondays to Fridays,17:41,17:42,17:43,17:46,17:47,17:49,17:50,17:51,17:52,17:53,17:54,17:55,17:56,17:57,18:00,18:02,18:06,18:09,18:14
D08,Mondays to Fridays,18:05,18:06,18:07,18:10,18:11,18:13,18:14,18:15,18:16,18:17,18:18,18:19,18:20,18:21,18:24,18:26,18:30,18:33,18:38
D08,Mondays to Fridays,18:29,18:30,18:31,18:34,18:35,18:37,18:38,18:39,18:40,18:41,18:42,18:43,18:44,18:45,18:48,18:50,18:54,18:57,19:02
D08,Mondays to Fridays,18:53,18:54,18:55,18:58,18:59,19:01,19:02,19:03,19:04,19:05,19:06,19:07,19:08,19:09,19:12,19:14,19:18,19:21,19:26
D08,Mondays to Fridays,21:30,21:31,21:32,21:35,21:36,21:38,21:39,21:40,21:41,21:42,21:43,21:44,21:45,21:46,21:49,21:51,21:55,21:58,22:03
D08,Saturdays,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:34,06:36,06:39,06:41,06:45
D08,Saturdays,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,07:31,07:32,07:34,07:36,07:39,07:41,07:45
D08,Saturdays,08:19,08:20,08:21,08:22,08:23,08:24,08:25,08:26,08:27,08:28,08:29,08:30,08:31,08:32,08:34,08:36,08:39,08:41,08:45
D08,Saturdays,09:19,09:20,09:21,09:22,09:23,09:24,09:25,09:26,09:27,09:28,09:29,09:30,09:31,09:32,09:34,09:36,09:39,09:41,09:45
D08,Saturdays,10:19,10:20,10:21,10:22,10:23,10:24,10:25,10:26,10:27,10:28,10:29,10:30,10:31,10:32,10:34,10:36,10:39,10:41,10:45
D08,Saturdays,11:19,11:20,11:21,11:22,11:23,11:24,11:25,11:26,11:27,11:28,11:29,11:30,11:31,11:32,11:34,11:36,11:39,11:41,11:45
D08,Saturdays,12:19,12:20,12:21,12:22,12:23,12:24,12:25,12:26,12:27,12:28,12:29,12:30,12:31,12:32,12:34,12:36,12:39,12:41,12:45
D08,Saturdays,13:19,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:28,13:29,13:30,13:31,13:32,13:34,13:36,13:39,13:41,13:45
D08,Saturdays,14:19,14:20,14:21,14:22,14:23,14:24,14:25,14:26,14:27,14:28,14:29,14:30,14:31,14:32,14:34,14:36,14:39,14:41,14:45
D08,Saturdays,15:19,15:20,15:21,15:22,15:23,15:24,15:25,15:26,15:27,15:28,15:29,15:30,15:31,15:32,15:34,15:36,15:39,15:41,15:45
D08,Saturdays,16:19,16:20,16:21,16:22,16:23,16:24,16:25,16:26,16:27,16:28,16:29,16:30,16:31,16:32,16:34,16:36,16:39,16:41,16:45
D08,Saturdays,17:19,17:20,17:21,17:22,17:23,17:24,17:25,17:26,17:27,17:28,17:29,17:30,17:31,17:32,17:34,17:36,17:39,17:41,17:45
D08,Saturdays,18:19,18:20,18:21,18:22,18:23,18:24,18:25,18:26,18:27,18:28,18:29,18:30,18:31,18:32,18:34,18:36,18:39,18:41,18:45
D08,Saturdays,21:30,21:31,21:32,21:33,21:34,21:35,21:36,21:37,21:38,21:39,21:40,21:41,21:42,21:43,21:45,21:47,21:50,21:52,21:56
D08,Sundays and Public Holidays,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:34,06:36,06:39,06:41,06:45
D08,Sundays and Public Holidays,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,07:31,07:32,07:34,07:36,07:39,07:41,07:45
D08,Sundays and Public Holidays,08:19,08:20,08:21,08:22,08:23,08:24,08:25,08:26,08:27,08:28,08:29,08:30,08:31,08:32,08:34,08:36,08:39,08:41,08:45
D08,Sundays and Public Holidays,09:19,09:20,09:21,09:22,09:23,09:24,09:25,09:26,09:27,09:28,09:29,09:30,09:31,09:32,09:34,09:36,09:39,09:41,09:45
D08,Sundays and Public Holidays,10:19,10:20,10:21,10:22,10:23,10:24,10:25,10:26,10:27,10:28,10:29,10:30,10:31,10:32,10:34,10:36,10:39,10:41,10:45
D08,Sundays and Public Holidays,11:19,11:20,11:21,11:22,11:23,11:24,11:25,11:26,11:27,11:28,11:29,11:30,11:31,11:32,11:34,11:36,11:39,11:41,11:45
D08,Sundays and Public Holidays,12:19,12:20,12:21,12:22,12:23,12:24,12:25,12:26,12:27,12:28,12:29,12:30,12:31,12:32,12:34,12:36,12:39,12:41,12:45
D08,Sundays and Public Holidays,13:19,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:28,13:29,13:30,13:31,13:32,13:34,13:36,13:39,13:41,13:45
D08,Sundays and Public Holidays,14:19,14:20,14:21,14:22,14:23,14:24,14:25,14:26,14:27,14:28,14:29,14:30,14:31,14:32,14:34,14:36,14:39,14:41,14:45
D08,Sundays and Public Holidays,15:19,15:20,15:21,15:22,15:23,15:24,15:25,15:26,15:27,15:28,15:29,15:30,15:31,15:32,15:34,15:36,15:39,15:41,15:45
