route_number,day_type,Stables Turnaround,Killarney,Potsdam,Circle East,Wood,Janssens,Grey,Table View,Sunset Beach,Racecourse,Milnerton,Woodbridge,Lagoon Beach,Zoarvlei,Vrystaat,Section,Neptune,Paarden Eiland,Woodstock,Civic Centre,Thibault Square,Stadium,Granger Bay,Waterfront
T01,Mondays to Fridays,05:10,05:14,05:17,05:21,05:23,05:25,05:26,05:29,05:35,05:37,05:39,05:42,05:45,05:49,05:51,05:53,05:55,05:56,06:00,06:06,06:10,06:15,06:17,06:21
T01,Mondays to Fridays,05:22,05:26,05:29,05:33,05:35,05:37,05:38,05:41,05:47,05:49,05:51,05:54,05:57,06:01,06:03,06:05,06:07,06:08,06:12,06:18,06:22,06:27,06:29,06:33
T01,Mondays to Fridays,05:28,05:32,05:35,05:39,05:41,05:43,05:44,05:47,05:53,05:55,05:57,06:00,06:03,06:07,06:09,06:11,06:13,06:14,06:18,06:24,,,,
T01,Mondays to Fridays,05:34,05:38,05:41,05:45,05:47,05:49,05:50,05:53,05:59,06:01,06:03,06:06,06:09,06:13,06:15,06:17,06:19,06:20,06:24,06:30,06:34,06:39,06:41,06:45
T01,Mondays to Fridays,05:40,05:44,05:47,05:51,05:53,05:55,05:56,05:59,06:05,06:07,06:09,06:12,06:15,06:19,06:21,06:23,06:25,06:26,06:30,06:36,,,,
T01,Mondays to Fridays,05:46,05:50,05:53,05:57,05:59,06:01,06:02,06:05,06:11,06:13,06:15,06:18,06:21,06:25,06:27,06:29,06:31,06:32,06:36,06:42,06:46,06:51,06:53,06:57
T01,Mondays to Fridays,05:52,05:56,05:59,06:03,06:05,06:07,06:08,06:11,06:17,06:19,06:21,06:24,06:27,06:31,06:33,06:35,06:37,06:38,06:42,06:48,,,,
T01,Mondays to Fridays,05:58,06:02,06:05,06:09,06:11,06:13,06:14,06:17,06:23,06:25,06:27,06:30,06:33,06:37,06:39,06:41,06:43,06:44,06:48,06:54,06:58,07:03,07:05,07:09
T01,Mondays to Fridays,06:04,06:08,06:11,06:15,06:17,06:19,06:20,06:23,06:29,06:31,06:33,06:36,06:39,06:43,06:45,06:47,06:49,06:50,06:54,07:00,,,,
T01,Mondays to Fridays,06:10,06:14,06:17,06:21,06:23,06:25,06:26,06:29,06:35,06:37,06:39,06:42,06:45,06:49,06:51,06:53,06:55,06:56,07:00,07:06,07:10,07:15,07:17,07:21
T01,Mondays to Fridays,06:16,06:20,06:23,06:27,06:29,06:31,06:32,06:35,06:41,06:43,06:45,06:48,06:51,06:55,06:57,06:59,07:01,07:02,07:06,07:12,,,,
T01,Mondays to Fridays,06:22,06:26,06:29,06:33,06:35,06:37,06:38,06:41,06:47,06:49,06:51,06:54,06:57,07:01,07:03,07:05,07:07,07:08,07:12,07:18,07:22,07:27,07:29,07:33
T01,Mondays to Fridays,06:28,06:32,06:35,06:39,06:41,06:43,06:44,06:47,06:53,06:55,06:57,07:00,07:03,07:07,07:09,07:11,07:13,07:14,07:18,07:24,,,,
T01,Mondays to Fridays,06:34,06:38,06:41,06:45,06:47,06:49,06:50,06:53,06:59,07:01,07:03,07:06,07:09,07:13,07:15,07:17,07:19,07:20,07:24,07:30,07:34,07:39,07:41,07:45
T01,Mondays to Fridays,06:40,06:44,06:47,06:51,06:53,06:55,06:56,06:59,07:05,07:07,07:09,07:12,07:15,07:19,07:21,07:23,07:25,07:26,07:30,07:36,,,,
T01,Mondays to Fridays,06:46,06:50,06:53,06:57,06:59,07:01,07:02,07:05,07:11,07:13,07:15,07:18,07:21,07:25,07:27,07:29,07:31,07:32,07:36,07:42,07:46,07:51,07:53,07:57
T01,Mondays to Fridays,06:52,06:56,06:59,07:03,07:05,07:07,07:08,07:11,07:17,07:19,07:21,07:24,07:27,07:31,07:33,07:35,07:37,07:38,07:42,07:48,,,,
T01,Mondays to Fridays,06:58,07:02,07:05,07:09,07:11,07:13,07:14,07:17,07:23,07:25,07:27,07:30,07:33,07:37,07:39,07:41,07:43,07:44,07:48,07:54,07:58,08:03,08:05,08:09
T01,Mondays to Fridays,07:04,07:08,07:11,07:15,07:17,07:19,07:20,07:23,07:29,07:31,07:33,07:36,07:39,07:43,07:45,07:47,07:49,07:50,07:54,08:00,,,,
T01,Mondays to Fridays,07:10,07:14,07:17,07:21,07:23,07:25,07:26,07:29,07:35,07:37,07:39,07:42,07:45,07:49,07:51,07:53,07:55,07:56,08:00,08:06,08:10,08:15,08:17,08:21
T01,Mondays to Fridays,07:16,07:20,07:23,07:27,07:29,07:31,07:32,07:35,07:41,07:43,07:45,07:48,07:51,07:55,07:57,07:59,08:01,08:02,08:06,08:12,,,,
T01,Mondays to Fridays,07:28,07:32,07:35,07:39,07:41,07:43,07:44,07:47,07:53,07:55,07:57,08:00,08:03,08:07,08:09,08:11,08:13,08:14,08:18,08:24,,,,
T01,Mondays to Fridays,07:34,07:38,07:41,07:45,07:47,07:49,07:50,07:53,07:59,08:01,08:03,08:06,08:09,08:13,08:15,08:17,08:19,08:20,08:24,08:30,08:34,08:39,08:41,08:45
T01,Mondays to Fridays,07:40,07:44,07:47,07:51,07:53,07:55,07:56,07:59,08:05,08:07,08:09,08:12,08:15,08:19,08:21,08:23,08:25,08:26,08:30,08:36,,,,
T01,Mondays to Fridays,07:46,07:50,07:53,07:57,07:59,08:01,08:02,08:05,08:11,08:13,08:15,08:18,08:21,08:25,08:27,08:29,08:31,08:32,08:36,08:42,08:46,08:51,08:53,08:57
T01,Mondays to Fridays,07:52,07:56,07:59,08:03,08:05,08:07,08:08,08:11,08:17,08:19,08:21,08:24,08:27,08:31,08:33,08:35,08:37,08:38,08:42,08:48,,,,
T01,Mondays to Fridays,07:58,08:02,08:05,08:09,08:11,08:13,08:14,08:17,08:23,08:25,08:27,08:30,08:33,08:37,08:39,08:41,08:43,08:44,08:48,08:54,08:58,09:03,09:05,09:09
T01,Mondays to Fridays,08:04,08:08,08:11,08:15,08:17,08:19,08:20,08:23,08:29,08:31,08:33,08:36,08:39,08:43,08:45,08:47,08:49,08:50,08:54,09:00,,,,
T01,Mondays to Fridays,08:10,08:14,08:17,08:21,08:23,08:25,08:26,08:29,08:35,08:37,08:39,08:42,08:45,08:49,08:51,08:53,08:55,08:56,09:00,09:06,09:10,09:15,09:17,09:21
T01,Mondays to Fridays,08:16,08:20,08:23,08:27,08:29,08:31,08:32,08:35,08:41,08:43,08:45,08:48,08:51,08:55,08:57,08:59,09:01,09:02,09:06,09:12,,,,
T01,Mondays to Fridays,08:22,08:26,08:29,08:33,08:35,08:37,08:38,08:41,08:47,08:49,08:51,08:54,08:57,09:01,09:03,09:05,09:07,09:08,09:12,09:18,09:22,09:27,09:29,09:33
T01,Mondays to Fridays,08:28,08:32,08:35,08:39,08:41,08:43,08:44,08:47,08:53,08:55,08:57,09:00,09:03,09:07,09:09,09:11,09:13,09:14,09:18,09:24,,,,
T01,Mondays to Fridays,08:34,08:38,08:41,08:45,08:47,08:49,08:50,08:53,08:59,09:01,09:03,09:06,09:09,09:13,09:15,09:17,09:19,09:20,09:24,09:30,09:34,09:39,09:41,09:45
T01,Mondays to Fridays,08:40,08:44,08:47,08:51,08:53,08:55,08:56,08:59,09:05,09:07,09:09,09:12,09:15,09:19,09:21,09:23,09:25,09:26,09:30,09:36,,,,
T01,Mondays to Fridays,08:46,08:50,08:53,08:57,08:59,09:01,09:02,09:05,09:11,09:13,09:15,09:18,09:21,09:25,09:27,09:29,09:31,09:32,09:36,09:42,09:46,09:51,09:53,09:57
T01,Mondays to Fridays,08:52,08:56,08:59,09:03,09:05,09:07,09:08,09:11,09:17,09:19,09:21,09:24,09:27,09:31,09:33,09:35,09:37,09:38,09:42,09:48,,,,
T01,Mondays to Fridays,08:58,09:02,09:05,09:09,09:11,09:13,09:14,09:17,09:23,09:25,09:27,09:30,09:33,09:37,09:39,09:41,09:43,09:44,09:48,09:54,09:58,10:03,10:05,10:09
T01,Mondays to Fridays,09:04,09:08,09:11,09:15,09:17,09:19,09:20,09:23,09:29,09:31,09:33,09:36,09:39,09:43,09:45,09:47,09:49,09:50,09:54,10:00,,,,
T01,Mondays to Fridays,09:10,09:14,09:17,09:21,09:23,09:25,09:26,09:29,09:35,09:37,09:39,09:42,09:45,09:49,09:51,09:53,09:55,09:56,10:00,10:06,10:10,10:15,10:17,10:21
T01,Mondays to Fridays,09:16,09:20,09:23,09:27,09:29,09:31,09:32,09:35,09:41,09:43,09:45,09:48,09:51,09:55,09:57,09:59,10:01,10:02,10:06,10:12,,,,
T01,Mondays to Fridays,09:22,09:26,09:29,09:33,09:35,09:37,09:38,09:41,09:47,09:49,09:51,09:54,09:57,10:01,10:03,10:05,10:07,10:08,10:12,10:18,10:22,10:27,10:29,10:33
T01,Mondays to Fridays,09:28,09:32,09:35,09:39,09:41,09:43,09:44,09:47,09:53,09:55,09:57,10:00,10:03,10:07,10:09,10:11,10:13,10:14,10:18,10:24,,,,
T01,Mondays to Fridays,09:43,09:47,09:50,09:54,09:56,09:58,09:59,10:02,10:08,10:10,10:12,10:15,10:18,10:22,10:24,10:26,10:28,10:29,10:33,10:39,10:43,10:48,10:50,10:54
T01,Mondays to Fridays,09:58,10:02,10:05,10:09,10:11,10:13,10:14,10:17,10:23,10:25,10:27,10:30,10:33,10:37,10:39,10:41,10:43,10:44,10:48,10:54,10:58,11:03,11:05,11:09
