route_number,day_type,Stables Turnaround,Potsdam,Circle East,Wood,Table View,Racecourse,Woodbridge,Woodstock,Civic Centre,Thibault Square,Stadium,Granger Bay,Waterfront
T01X,Mondays to Fridays,05:49,05:56,06:00,06:02,06:08,06:15,06:19,06:33,06:39,,,,
T01X,Mondays to Fridays,06:07,06:14,06:18,06:20,06:26,06:33,06:37,06:51,06:57,,,,
T01X,Mondays to Fridays,06:25,06:32,06:36,06:38,06:44,06:51,06:55,07:09,07:15,,,,
T01X,Mondays to Fridays,,,,07:20,07:26,07:33,07:37,07:51,07:57,,,,
T01X,Mondays to Fridays,07:22,07:29,07:33,07:35,07:41,07:48,07:52,08:06,08:12,08:16,08:21,08:23,08:27
T01X,Mondays to Fridays,,,,07:38,07:44,07:51,07:55,08:09,08:15,,,,
T01X,Mondays to Fridays,,,,07:56,08:02,08:09,08:13,08:27,08:33,,,,
T01X,Mondays to Fridays,16:25,16:32,16:36,16:38,16:44,16:51,16:55,17:09,17:15,,,,
T01X,Mondays to Fridays,16:39,16:46,16:50,16:52,16:58,17:05,17:09,17:23,17:29,,,,
T01X,Mondays to Fridays,16:54,17:01,17:05,17:07,17:13,17:20,17:24,17:38,17:44,,,,
