ID,Name,Latitude,Longitude,Address
1,3RD /7TH AVE MITCHELLS PLAIN,-34.0501922,18.6197838,"7th Avenue, Eastridge, Cape Town Ward 79, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
3,7TH & 11TH AVE RETREAT,-34.0589589,18.4803004,"Retreat CHC, 114, 11th Avenue, Cafda Village, Retreat, City of Cape Town, Western Cape, 7945, South Africa"
7,ALBATROS MACASSAR,-34.0536786,18.7629582,"Albatros Way, New Macassar, Cape Town Ward 109, City of Cape Town, Western Cape, 7134, South Africa"
8,ASCOT VILLAGE,-33.8534083,18.5111464,"Ascot Village Complex, Ascot Village, Milnerton, Cape Town, City of Cape Town, Western Cape, 7447, South Africa"
9,ATHLONE,-33.9666667,18.505,"Dunbar Street, Gleemoor, Cape Town Ward 49, Cape Town, City of Cape Town, Western Cape, 7770, South Africa"
10,ATLANTIS,-33.5672222,18.5002778,"Curlew Street, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
13,BELHAR,-33.9447222,18.6258333,"Erica Drive, Belhar, Cape Town Ward 22, City of Cape Town, Western Cape, 7493, South Africa"
14,BELLVILLE,-33.9064324,18.6270614,"Bellville, Charl Malan Street, Cape Town Ward 10, Bellville, City of Cape Town, Western Cape, 7505, South Africa"
15,BISHOP LAVIS,-33.9486111,18.5758333,"Drakenstein Circle, Bishop Lavis, Cape Town Ward 24, Elsiesriver, City of Cape Town, Western Cape, 7490, South Africa"
17,BLAAUWBERG,-33.7608481,18.4700006,"Military Road, Cape Town Ward 23, City of Cape Town, Western Cape, 7433, South Africa"
20,BLOEKOMBOS,-33.6226074,19.4516795,"Drommedaris Crescent, Bloekombos, Breede Valley Ward 6, Worcester, Breede Valley Local Municipality, Cape Winelands District Municipality, Western Cape, 6850, South Africa"
22,BLOUBERGSTRAND,-33.797336,18.4610228,"Mussel Lane, Bloubergstrand, Cape Town Ward 23, City of Cape Town, Western Cape, 7433, South Africa"
23,BLUE DOWNS,-34.0,18.6975,"Victoria Road, Tuscany Glen, Cape Town Ward 17, Blue Downs, City of Cape Town, Western Cape, 7103, South Africa"
25,BONTEHEUWEL,-33.9491667,18.5530556,"Ironwood Street, Bonteheuwel, Cape Town Ward 50, Elsiesriver, City of Cape Town, Western Cape, 7764, South Africa"
26,BOSMANSDAM ROAD,-33.8792571,18.5223922,"Bosmansdam Road, Summer Greens, Cape Town Ward 4, Milnerton, City of Cape Town, Western Cape, 7441, South Africa"
27,BOTFONTEIN,-33.8866115,18.7450699,"Botfontein Road, Cape Town Ward 6, Stellenbosch Local Municipality, City of Cape Town, Western Cape, South Africa"
28,BOTHASIG,-33.8594444,18.5411111,"De Grendel Avenue, Bothasig, Milnerton, City of Cape Town, Western Cape, 7238, South Africa"
30,BOUNDARY ROAD,-33.813392,18.372148,"Boundary Road, Robben Island Village, City of Cape Town, Western Cape, South Africa"
31,BRACKENFELL,-33.883056,18.7,"Alkin Street, Brackenfell, Cape Town Ward 7, City of Cape Town, Western Cape, 7560, South Africa"
32,BRENTWOOD PARK,-33.9833333,18.6583333,"Quickshop, 1, Hindle Road, Brentwood Park, Cape Town Ward 108, Cape Town, City of Cape Town, Western Cape, 7100, South Africa"
33,BRIDGETOWN,-33.9563889,18.5305556,"Kweper Avenue, Cape Town Ward 44, Cape Town, City of Cape Town, Western Cape, 7764, South Africa"
37,CAMPS BAY,-33.9547736,18.3818524,"5, Ronald Avenue, Camps Bay, Cape Town Ward 54, Cape Town, City of Cape Town, Western Cape, 8005, South Africa"
38,CAPE GATE,-33.8478281,18.6924339,"Cape Gate, Cape Town Ward 102, Kraaifontein, City of Cape Town, Western Cape, 7569, South Africa"
39,CAPE TOWN,-33.9288301,18.4172197,"South African National Gallery, Gallery Lane, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 8001, South Africa"
42,CENTURY CITY,-33.8890503,18.5119603,"Esplanade Road, Central Park, Milnerton, City of Cape Town, Western Cape, 7404, South Africa"
43,CLAREMONT,-33.9847222,18.4625,"1st Claremont Scout Hall, 17, Bowwood Road, Claremont, Cape Town, City of Cape Town, Western Cape, 7708, South Africa"
44,CONSTANTIA,-34.0283333,18.4155556,"Constantia Baths, Ou Wingerd Road, High Constantia, Cape Town Ward 62, Cape Town, City of Cape Town, Western Cape, 7848, South Africa"
51,DE NOON,-33.8163805,18.5416742,"Yomelela Avenue, Racing Park, Cape Town Ward 104, City of Cape Town, Western Cape, 7435, South Africa"
52,DE NOVA,-33.6863889,19.3238889,"Disa Street, De Nova, Breede Valley Ward 20, Rawsonville, Breede Valley Local Municipality, Cape Winelands District Municipality, Western Cape, South Africa"
53,DELFT,-33.9655556,18.6444444,"Oliphants Crescent, Delft, Cape Town Ward 13, City of Cape Town, Western Cape, 7581, South Africa"
54,DENNEGEUR,-34.0953811,18.8705098,"Honeysuckle Avenue, Dennegeur, Cape Town Ward 84, Somerset West, City of Cape Town, Western Cape, 7135, South Africa"
56,DEVON PARK,-34.0088908,18.7283197,"Harold Road, Devon Park, Cape Town Ward 16, Eersterivier, City of Cape Town, Western Cape, 7129, South Africa"
57,DIAZ STREET,-33.8806977,18.5652468,"Diaz Street, Panorama, Cape Town Ward 1, Parow, City of Cape Town, Western Cape, 7459, South Africa"
58,DOLPHIN BEACH,-33.8293347,18.4809037,"Dolphin Beach Complex, Flamingo Vlei, Cape Town Ward 107, City of Cape Town, Western Cape, 7439, South Africa"
62,DURBANVILLE,-33.8402778,18.6494444,"Mills Street, Durbanville Hills, Cape Town Ward 112, Durbanville, City of Cape Town, Western Cape, 7550, South Africa"
63,EDGEMEAD,-33.8755672,18.5399526,"Wedgewood Close, Edgemead, Milnerton, City of Cape Town, Western Cape, 7238, South Africa"
64,EERSTE RIVER,-33.9609421,18.9178443,"Stellenbosch Ward 5, Stellenbosch Local Municipality, Cape Winelands District Municipality, Western Cape, 7601, South Africa"
68,EIKENFONTEIN,-33.8577751,18.7105256,"Eikenfontein, Petunia Street, Scottsville, Cape Town Ward 111, Kraaifontein, City of Cape Town, Western Cape, 7561, South Africa"
69,EINDHOVEN,-33.975,18.6416667,"Delft SAPS, Leiden Avenue, Eindhoven, Cape Town Ward 13, City of Cape Town, Western Cape, 7581, South Africa"
70,ELECTRIC CITY,-34.0162776,18.7122082,"Apex High School, 264, Bobs Way, Electric City, Cape Town Ward 16, Eersterivier, City of Cape Town, Western Cape, 7100, South Africa"
71,ELSIES RIVER,-33.9107405,18.5692098,"Elsies River, 1st Avenue, Vrijzee, Cape Town Ward 26, Parow, City of Cape Town, Western Cape, 7940, South Africa"
72,EPPING,-33.9341693,18.5544428,"Epping 2, Epping Industria 2, Elsiesriver, City of Cape Town, Western Cape, 7535, South Africa"
73,EVERSDAL,-33.8616667,18.6486111,"Sterlig Road, Eversdal, Cape Town Ward 21, Bellville, City of Cape Town, Western Cape, 7550, South Africa"
75,EYONA,-33.996275,18.5900255,"Eyona Educare, Sithathu Avenue, New Crossroads, Cape Town Ward 37, City of Cape Town, Western Cape, 7579, South Africa"
76,FACTRETON,-33.9099388,18.5165949,"Factreton Avenue, Windermere, Cape Town Ward 56, Cape Town, City of Cape Town, Western Cape, 7446, South Africa"
77,FALSE BAY,-34.2270274,18.6554907,"Western Cape, South Africa"
78,FEZEKA,-33.9849004,18.5691956,"Fezeka Secondary School, Mpinga Street, Guguletu, Cape Town Ward 41, City of Cape Town, Western Cape, 7579, South Africa"
