stop_name,lat,lon
ALBATROS MACASSAR,-34.0536786,18.7629582
ASCOT VILLAGE,-33.8534083,18.5111464
ATHLONE,-33.9666667,18.505
ATLANTIS,-33.5672222,18.5002778
BEACON VALLEY,-32.8596747,28.1100755
BELGRA,,
BELHAR,-33.9447222,18.6258333
BELLVILLE,-33.9064324,18.6270614
BISHOP LAVIS,-33.9486111,18.5758333
BISHOPS COURT,-29.7851664,30.7667074
BLAAUWBERG,-33.7608481,18.4700006
BLACKBIRD WLK,,
BLACKHEATH,-26.1344444,27.9741667
BLOEKOMBOS,-33.6226074,19.4516795
BLOUBERG STRAND,,
BLOUBERGSTRAND,-33.797336,18.4610228
BLUE DOWNS,-34,18.6975
BLUE ROUTE,-34.3860842,19.2321424
BONTEHEUWEL,-33.9491667,18.5530556
BOSMANSDAM ROAD,-33.8792571,18.5223922
BOTFONTEIN,-33.8866115,18.7450699
BOTHASIG,-33.8594444,18.5411111
BOTLARY FARMS,,
BOUNDARY ROAD,-33.813392,18.372148
BRACKENFELL,-33.883056,18.7
BRENTWOOD PARK,-33.9833333,18.6583333
BRIDGETOWN,-33.9563889,18.5305556
BROOKLYN & RUGBY,,
CABLE WAY STATION,,
CAMBRIDGE,-32.9772222,27.8911111
CAMPS BAY,-33.9547736,18.3818524
CAPE GATE,-33.8478281,18.6924339
CAPE TOWN,-33.9288301,18.4172197
CASSA BLANCA,,
CASSABLANCA,,
CENTURY CITY,-33.8890503,18.5119603
CLAREMONT,-33.9847222,18.4625
CONSTANTIA,-34.0283333,18.4155556
CROOS ROADS,,
CROSS RAODS,,
CROSS ROADS,-33.1783333,27.2888889
DARLING,-33.376426,18.379189
DE BEERS,-25.7891667,28.2730556
DE LA REY,-26.1955416,28.0178416
DE NOON,-33.8163805,18.5416742
DE NOVA,-33.6863889,19.3238889
DELFT,-33.9655556,18.6444444
DENNEGEUR,-34.0953811,18.8705098
DEVILS PEAK RD & KLIPFONTEIN RD,,
DEVON PARK,-34.0088908,18.7283197
DIAZ STREET,-33.8806977,18.5652468
DOLPHIN BEACH,-33.8293347,18.4809037
DRAMA STREET,-25.9249805,29.2181305
