Name,StopCode,Type,Latitude,Longitude
BELLVILLE,Taxi_code,Taxi,-33.905439,18.630432
DURBANVILLE,Taxi_code,Taxi,-33.876143,18.575669
NYANGA,Taxi_code,Taxi,-34.021253,18.61284
KHAYELITSHA,Taxi_code,Taxi,-34.021253,18.61284
MOWBRAY,Taxi_code,Taxi,-33.937756,18.470134
GUGULETU,Taxi_code,Taxi,-34.021253,18.61284
CLAREMONT,Taxi_code,Taxi,-33.937756,18.470134
SEA POINT,Taxi_code,Taxi,-33.916166,18.389287
WYNBERG,Taxi_code,Taxi,-33.937756,18.470134
MITCHELLS PLAIN - TOWN CENTRE,Taxi_code,Taxi,-34.021253,18.61284
LANGA,Taxi_code,Taxi,-33.937756,18.470134
CAPE TOWN,Taxi_code,Taxi,-33.934091,18.417883
SEA POINT,Taxi_code,Taxi,-33.916166,18.389287
ATHLONE,Taxi_code,Taxi,-33.937756,18.470134
CAPE TOWN,Taxi_code,Taxi,-33.934091,18.417883
CONSTANTIA,Taxi_code,Taxi,-34.024529,18.362226
CAPE TOWN,Taxi_code,Taxi,-33.934091,18.417883
BONTEHEUWEL,Taxi_code,Taxi,-33.937756,18.470134
CAPE TOWN,Taxi_code,Taxi,-33.934091,18.417883
HOUT BAY,Taxi_code,Taxi,-34.024529,18.362226
HEIDEVELD,Taxi_code,Taxi,-34.021253,18.61284
CAPE TOWN,Taxi_code,Taxi,-33.934091,18.417883
OCEAN VIEW,Taxi_code,Taxi,-33.916166,18.389287
FISH HOEK,Taxi_code,Taxi,-34.132976,18.379456
MANENBERG,Taxi_code,Taxi,-34.021253,18.61284
PAROW,Taxi_code,Taxi,-33.937756,18.470134
ELSIES RIVER,Taxi_code,Taxi,-33.876143,18.575669
CAPE TOWN,Taxi_code,Taxi,-33.934091,18.417883
MITCHELLS PLAIN 3RD/7TH AVENUE,Taxi_code,Taxi,0,0
HANOVER PARK,Taxi_code,Taxi,-34.021253,18.61284
CAPE TOWN,Taxi_code,Taxi,-33.934091,18.417883
MFULENI,Taxi_code,Taxi,-34.021253,18.61284
BLACKHEATH,Taxi_code,Taxi,-33.934091,18.417883
HANOVER PARK,Taxi_code,Taxi,-34.021253,18.61284
MAKHAZA KHAYELITSHA,Taxi_code,Taxi,0,0
WALLACEDENE,Taxi_code,Taxi,-33.836008,18.675937
LWANDLE,Taxi_code,Taxi,-34.122222,18.868889
SOMERSET WEST,Taxi_code,Taxi,-34.08222,18.848934
THE HAGUE DELFT,Taxi_code,Taxi,-33.905439,18.630432
MITCHELLS PLAIN,Taxi_code,Taxi,-34.021253,18.61284
VOORBRUG DELFT,Taxi_code,Taxi,-34.021253,18.61284
MITCHELLS PLAIN,Taxi_code,Taxi,-34.021253,18.61284
THE HAGUE DELFT,Taxi_code,Taxi,-33.905439,18.630432
UITSIG,Taxi_code,Taxi,-34.024529,18.362226
VOORBRUG DELFT,Taxi_code,Taxi,-34.021253,18.61284
THE HAGUE DELFT,Taxi_code,Taxi,-33.905439,18.630432
EINDHOVEN DELFT,Taxi_code,Taxi,-34.021253,18.61284
CAPE TOWN,Taxi_code,Taxi,-33.934091,18.417883
EINDHOVEN DELFT,Taxi_code,Taxi,-34.021253,18.61284
EINDHOVEN DELFT,Taxi_code,Taxi,-34.021253,18.61284
ELSIES RIVER,Taxi_code,Taxi,-33.876143,18.575669
VOORBRUG,Taxi_code,Taxi,-34.021253,18.61284
ELSIES RIVER,Taxi_code,Taxi,-33.876143,18.575669
UNIBELL,Taxi_code,Taxi,-33.905439,18.630432
