LONGITUD_1,Latitude,StationNAm,OID_,Rank,Name,LATITUDE_1,PLACENAM_3,Station__1,StationOwn,Total,StationID,RegionID,OBJECTID,ENTITY_1,SubRegion,StationI_1,REMARKS_1,Station,STATIONCAT,Longitude,PLACENAM_2,Address
18.5016223,-33.96088999971471,ATHLONE,49,91,ATHLONE,-33.96089032,ATHLONE,ATL,PRASA STATION,33231379.6,ATL,WC,1,PRASA,Western Cape,ATL, ,ATHLONE,Intermediate,18.501622000069496,ATHLONE,"Garlandale Crescent, Gleemoor, Cape Town Ward 60, Cape Town, City of Cape Town, Western Cape, 7770, South Africa"
18.59307193,-33.89777599984819,AVONDALE,51,324,AVONDALE,-33.89777625,AVONDALE,AVD,TRANSNET STATION BUT USED ONLY BY METRORAIL,28781715,AVD,WC,2,PRASA,Western Cape,AVD, ,AVONDALE,Small,18.59307199927605,AVONDALE,"Avondale, Powell Street, Cape Town Ward 2, Parow, City of Cape Town, Western Cape, 7499, South Africa"
18.60905681,-33.93944100014724,BELHAR,9,151,BELHAR,-33.93944056,BELHAR,BOH,PRASA STATION,28075343.9,BOH,WC,3,PRASA,Western Cape,BOH, ,BELHAR,Intermediate,18.60905700055709,BELHAR,"Belhar, Amandel Road, Cape Town Ward 22, Elsiesriver, City of Cape Town, Western Cape, 7493, South Africa"
18.6274906,-33.90629799949659,BELLVILLE,6,5,BELLVILLE,-33.90629829,BELLVILLE,BLE,PRASA STATION/SMEYL (USED BY TRANSNET),24754902.8,BLE,WC,4,PRASA,Western Cape,BLE, ,BELLVILLE,Supercore,18.627491000381113,BELLVILLE,"Bellville, Tienie Meyer Bypass, Cape Town Ward 10, Bellville, City of Cape Town, Western Cape, 7505, South Africa"
18.70126312,-33.964265999730735,BLACKHEATH,4,59,BLACKHEATH,-33.96426596,BLACKHEATH,BKH,PRASA STATION,23851954.9,BKH,WC,5,PRASA,Western Cape,BKH, ,BLACKHEATH,Core,18.701263000788497,BLACKHEATH,"Blackheath, Vygie Avenue, Blackheath, Cape Town Ward 14, City of Cape Town, Western Cape, 7580, South Africa"
18.68833584,-33.88112299990002,BRACKENFELL,5,74,BRACKENFELL,-33.88112333,BRACKENFELL,BKL,TRANSNET STATION BUT USED ONLY BY METRORAIL,19016322.1,BKL,WC,7,PRASA,Western Cape,BKL, ,BRACKENFELL,Intermediate,18.688335999994028,BRACKENFELL,"William Dabbs Road, Bracken Heights, Cape Town Ward 102, City of Cape Town, Western Cape, 7560, South Africa"
18.46718394,-33.98148099949826,CLAREMONT,18,81,CLAREMONT,-33.98148079,CLAREMONT,CMC,PRASA STATION,15286513.8,CMC,WC,8,PRASA,Western Cape,CMC, ,CLAREMONT,Intermediate,18.467184000514084,CLAREMONT,"Claremont, Claremont Boulevard, Cape Town Ward 59, Cape Town, City of Cape Town, Western Cape, 7708, South Africa"
18.50135904,-33.97642200023041,CRAWFORD,23,203,CRAWFORD,-33.97642247,CRAWFORD,CRF,PRASA STATION,13579972.3,CRF,WC,9,PRASA,Western Cape,CRF, ,CRAWFORD,Small,18.50135899998073,CRAWFORD,"Crawford, Clive Road, Cape Town Ward 60, Cape Town, City of Cape Town, Western Cape, 7780, South Africa"
18.57873219,-33.893500999962754,DE GRENDEL,60,292,DE GRENDEL,-33.89350112,DE GRENDEL,DEG,TRANSNET STATION BUT USED ONLY BY METRORAIL,12260424.8,DEG,WC,10,PRASA,Western Cape,DEG, ,DE GRENDEL,Small,18.578732000537112,DE GRENDEL,"De Grendel, Barry Hertzog Road, Cape Town Ward 2, Parow, City of Cape Town, Western Cape, 7500, South Africa"
18.46695327,-34.035454000463055,DIEPRIVIER,28,236,DIEPRIVIER,-34.03545355,DIEPRIVIER,DPE,PRASA STATION,10972389.6,DPE,WC,11,PRASA,Western Cape,DPE, ,DIEPRIVIER,Small,18.466953000346297,DIEPRIVIER,"Diep River, Paddington Road, Dieprivier, Cape Town Ward 73, City of Cape Town, Western Cape, 7800, South Africa"
18.71126966,-33.85713400086617,EIKENFONTEIN,43,75,EIKENFONTEIN,-33.85713439,EIKENFONTEIN,EIK,TRANSNET STATION BUT USED ONLY BY METRORAIL,8384044.3,EIK,WC,13,PRASA,Western Cape,EIK, ,EIKENFONTEIN,Core,18.711270000306996,EIKENFONTEIN,"Eikenfontein, 11th Avenue, Scottsville, Cape Town Ward 111, Kraaifontein, City of Cape Town, Western Cape, 7561, South Africa"
18.74718957,-34.02623600005741,FAURE,78,320,FAURE,-34.02623636,FAURE,FAU,PRASA STATION,7801527,FAU,WC,15,PRASA,Western Cape,FAU, ,FAURE,Small,18.747190000104258,FAURE,"Faure, Old Main Road, Croydon, Cape Town Ward 109, City of Cape Town, Western Cape, 7131, South Africa"
18.79293459,-34.0556289996935,FIRGROVE,79,176,FIRGROVE,-34.05562948,FIRGROVE,FGV,PRASA STATION,7683127.6,FGV,WC,16,PRASA,Western Cape,FGV, ,FIRGROVE,Small,18.792935000528956,FIRGROVE,"Firgrove, Melvins Transport Road, Firgrove, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7110, South Africa"
18.43202968,-34.16412300046284,GLENCAIRN,85,319,GLENCAIRN,-34.16412299,GLENCAIRN,GCR,PRASA STATION,6992572.5,GCR,WC,17,PRASA,Western Cape,GCR, ,GLENCAIRN,Small,18.432029999581296,GLENCAIRN,"Main Road, Glencairn, Cape Town Ward 61, Simon's Town, City of Cape Town, Western Cape, 7975, South Africa"
18.50253701,-33.95331200010377,HAZENDAL,93,279,HAZENDAL,-33.95331212,HAZENDAL,HAZ,PRASA STATION,6428336.2,HAZ,WC,19,PRASA,Western Cape,HAZ, ,HAZENDAL,Small,18.502536999585473,HAZENDAL,"Hazendal, Buckner Road, Cape Town Ward 49, Cape Town, City of Cape Town, Western Cape, 7450, South Africa"
18.46559417,-34.046077000208314,HEATHFIELD,95,124,HEATHFIELD,-34.04607657,HEATHFIELD,HEH,PRASA STATION,6339431,HEH,WC,20,PRASA,Western Cape,HEH, ,HEATHFIELD,Intermediate,18.465593999412068,HEATHFIELD,"Heathfield, Station Road, Cape Town Ward 72, City of Cape Town, Western Cape, 7945, South Africa"
18.5617971,-33.96967800013085,HEIDEVELD,94,23,HEIDEVELD,-33.96967764,HEIDEVELD,HED,PRASA STATION,6252144.6,HED,WC,21,PRASA,Western Cape,HED, ,HEIDEVELD,Core,18.561797000332326,HEIDEVELD,"Heideveld, Jonkershoek Road, Cape Town Ward 44, City of Cape Town, Western Cape, 7764, South Africa"
18.6206837,-34.067222000105524,KAPTEINSKLIP,134,142,KAPTEINSKLIP,-34.06722222,KAPTEINSKLIP,KTE,PRASA STATION,4861634,KTE,WC,23,PRASA,Western Cape,KTE, ,KAPTEINSKLIP,Intermediate,18.62068399986858,KAPTEINSKLIP,"Kapteinsklip, Yellowwood Road, Cape Town Ward 82, Mitchells Plain, City of Cape Town, Western Cape, 7456, South Africa"
