stop_name,Latitude,Longitude,Address
ATHLONE,-33.9621447,18.501715,"Athlone, Birdwood Street, Gleemoor, Athlone, Cape Town, City of Cape Town, Western Cape, 7770, South Africa"
AVONDALE,-33.897776,18.593072,"Avondale, Powell Street, Cape Town Ward 2, Parow, City of Cape Town, Western Cape, 7499, South Africa"
BELHAR,-33.939441,18.609057,"Belhar, Amandel Road, Cape Town Ward 22, Elsiesriver, City of Cape Town, Western Cape, 7493, South Africa"
BELLVILLE,-33.906298,18.627491,"Bellville, Tienie Meyer Bypass, Cape Town Ward 10, Bellville, City of Cape Town, Western Cape, 7505, South Africa"
BLACKHEATH,-33.964266,18.701263,"Blackheath, Vygie Avenue, Blackheath, Cape Town Ward 14, City of Cape Town, Western Cape, 7580, South Africa"
BONTEHEUWEL,-33.942095,18.550369,"Bonteheuwel, Assegaai Avenue, Bonteheuwel, Cape Town Ward 50, City of Cape Town, Western Cape, 7535, South Africa"
BRACKENFELL,MISSING,MISSING,MISSING
CLAREMONT,-33.981481,18.467184,"Claremont, Claremont Boulevard, Cape Town Ward 59, Cape Town, City of Cape Town, Western Cape, 7708, South Africa"
CRAWFORD,-33.976422,18.501359,"Crawford, Clive Road, Cape Town Ward 60, Cape Town, City of Cape Town, Western Cape, 7780, South Africa"
DE GRENDEL,-33.893501,18.578732,"De Grendel, Barry Hertzog Road, Cape Town Ward 2, Parow, City of Cape Town, Western Cape, 7500, South Africa"
DIEPRIVIER,-34.035454,18.466953,"Diep River, Paddington Road, Dieprivier, Cape Town Ward 73, City of Cape Town, Western Cape, 7800, South Africa"
EERSTE RIVER,-34.000743,18.730914,"Eerste River, Station Road, Penhill, Cape Town Ward 14, Eersterivier, City of Cape Town, Western Cape, 7129, South Africa"
EIKENFONTEIN,-33.857134,18.71127,"Eikenfontein, 11th Avenue, Scottsville, Cape Town Ward 111, Kraaifontein, City of Cape Town, Western Cape, 7561, South Africa"
ELSIES RIVER,-33.91054,18.569083,"Elsies River, 1st Avenue, Vrijzee, Cape Town Ward 26, Parow, City of Cape Town, Western Cape, 7940, South Africa"
FAURE,-34.026236,18.74719,"Faure, Old Main Road, Croydon, Cape Town Ward 109, City of Cape Town, Western Cape, 7131, South Africa"
FIRGROVE,-34.055629,18.792935,"Firgrove, Melvins Transport Road, Firgrove, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7110, South Africa"
GLENCAIRN,-34.164123,18.43203,"Main Road, Glencairn, Cape Town Ward 61, Simon's Town, City of Cape Town, Western Cape, 7975, South Africa"
HARFIELD RD,MISSING,MISSING,MISSING
HAZENDAL,-33.953312,18.502537,"Hazendal, Buckner Road, Cape Town Ward 49, Cape Town, City of Cape Town, Western Cape, 7450, South Africa"
HEATHFIELD,-34.046077,18.465594,"Heathfield, Station Road, Cape Town Ward 72, City of Cape Town, Western Cape, 7945, South Africa"
HEIDEVELD,-33.969678,18.561797,"Heideveld, Jonkershoek Road, Cape Town Ward 44, City of Cape Town, Western Cape, 7764, South Africa"
KALK BAY,-34.126299,18.449956,"Kalk Bay, Main Road, Cape Town Ward 64, City of Cape Town, Western Cape, 7997, South Africa"
KAPTEINSKLIP,-34.067222,18.620684,"Kapteinsklip, Yellowwood Road, Cape Town Ward 82, Mitchells Plain, City of Cape Town, Western Cape, 7456, South Africa"
KENILWORTH,-33.995285,18.473,"Kenilworth, Thomas Road, Cape Town Ward 59, Cape Town, City of Cape Town, Western Cape, 7708, South Africa"
KHAYELITSHA,-34.047985,18.670772,"Khayelitsha, Nomzamo Mongolo Street, Ekuphumuleni, Cape Town Ward 94, Khayelitsha, City of Cape Town, Western Cape, 7784, South Africa"
KOEBERG RD,MISSING,MISSING,MISSING
KRAAIFONTEIN,-33.847178,18.723839,"Kraaifontein, Wapnick Street, Peerless Park, Cape Town Ward 111, Kraaifontein, City of Cape Town, Western Cape, 7569, South Africa"
LAKESIDE,-34.088484,18.462489,"Lakeside, Orient Road, Cape Town Ward 64, City of Cape Town, Western Cape, 7945, South Africa"
LANGA,-33.9392,18.52966,"Langa, Sandile Road, Langa, Cape Town Ward 51, Cape Town, City of Cape Town, Western Cape, 7455, South Africa"
LANSDOWNE,-33.987594,18.50394,"Lansdowne, Clive Road, Lansdowne, Cape Town, City of Cape Town, Western Cape, 7780, South Africa"
LAVISTOWN,-33.943277,18.584198,"Lavistown, Maitland Road, Bishop Lavis, Cape Town Ward 24, Elsiesriver, City of Cape Town, Western Cape, 7490, South Africa"
LENTEGEUR,-34.034437,18.611373,"Lentegeur, Crocus Street, Lentegeur, Cape Town Ward 76, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
MAITLAND,-33.924712,18.487822,"Maitland, De Villiers Street, Cape Town Ward 53, Cape Town, City of Cape Town, Western Cape, 7295, South Africa"
MANDALAY,-34.018928,18.624421,"Mandalay, Montclair Drive, Montclair, Cape Town Ward 76, City of Cape Town, Western Cape, 7785, South Africa"
MONTE VISTA,-33.891647,18.548935,"Monte Vista, N1, Goodwood, City of Cape Town, Western Cape, 7459, South Africa"
MOWBRAY,-33.946733,18.473885,"Mowbray, Long Street, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
MUIZENBERG,-34.109571,18.467916,"Muizenberg, Main Road, Cape Town Ward 64, City of Cape Town, Western Cape, 7945, South Africa"
MUTUAL,-33.921749,18.513696,"Mutual Way, Cape Town Ward 53, Cape Town, City of Cape Town, Western Cape, 7405, South Africa"
NDABENI,-33.928238,18.49542,"Inyoni Street, Ndabeni, Cape Town Ward 53, Cape Town, City of Cape Town, Western Cape, 7405, South Africa"
NETREG,-33.952749,18.563571,"Netreg, Ranunculus Street, Kalksteenfontein, Cape Town Ward 31, Elsiesriver, City of Cape Town, Western Cape, 7490, South Africa"
NEWLANDS,-33.974194,18.46761,"Newlands, Sport Pienaar Road, South African Breweries, Newlands, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
NOLUNGILE,-34.016939,18.648924,"Nolungile, Japhta K. Masemola Road, Cape Town Ward 90, Khayelitsha, City of Cape Town, Western Cape, 7783, South Africa"
NONKQUBELA,-34.026783,18.663078,"Nonkqubela, Aliam Drive, Victoria Mxenge (Site B), Cape Town Ward 91, Khayelitsha, City of Cape Town, Western Cape, 7783, South Africa"
NYANGA,-33.993111,18.559914,"Nyanga, Duinefontein Road, Cape Town Ward 42, City of Cape Town, Western Cape, 7579, South Africa"
OBSERVATORY,-33.937882,18.471405,"Observatory, Herman Road, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
OOSTERZEE,-33.899941,18.607073,"Oosterzee, Oxford Crescent, Bremerhof, Cape Town Ward 10, Parow, City of Cape Town, Western Cape, 7499, South Africa"
OTTERY,-34.013462,18.495211,"Ottery, Panton Road, Fairways, Ottery, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
PAROW,-33.909575,18.586203,"Parow, Cloete Road, Cape Town Ward 26, Parow, City of Cape Town, Western Cape, 7501, South Africa"
PENTECH,-33.934832,18.645965,"Pentech, Armstrong Road, Cape Town Ward 12, City of Cape Town, Western Cape, 7532, South Africa"
PHILIPPI,-34.013361,18.585385,"Philippi, Zongothi Street, Cape Town Ward 34, City of Cape Town, Western Cape, 7750, South Africa"
PINELANDS,-33.940121,18.490662,"Pinelands, Alexandra Road, Pinelands, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
PLUMSTEAD,-34.022033,18.469739,"Plumstead, Kenneth Road, Deurdrif, Cape Town Ward 73, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
RETREAT,-34.059839,18.462936,"Retreat, Retreat East Rank, Square Hill, Cape Town Ward 72, City of Cape Town, Western Cape, 7945, South Africa"
RONDEBOSCH,-33.962161,18.472369,"Rondebosch, Station Road, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
ROSEBANK,-33.954724,18.473143,"Rosebank, Guildford Road, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
SAREPTA,-33.926513,18.661384,"Sarepta, Sacks Circle, Glenhaven, Cape Town Ward 9, Bellville, City of Cape Town, Western Cape, 7532, South Africa"
SOMERSET WEST,-34.084224,18.841436,"Somerset West, De Beers Avenue, Silvertas, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7136, South Africa"
SOUTHFIELD,-34.032969,18.481599,"Southfield, Alduwa Road, Cape Town Ward 72, City of Cape Town, Western Cape, 7800, South Africa"
ST JAMES,-34.119311,18.45842,"St James, Main Road, Cape Town Ward 64, City of Cape Town, Western Cape, 7990, South Africa"
STEENBERG,-34.0773214,18.4636427,"Steenberg, Henley Road, Cape Town Ward 68, City of Cape Town, Western Cape, 7945, South Africa"
STEURHOF,-34.028836,18.468908,"Steurhof, Prince Avenue, Dieprivier, Cape Town Ward 73, City of Cape Town, Western Cape, 7800, South Africa"
STIKLAND,-33.9038231,18.658098,"Stikland, Francis Road, Shirley Park, Cape Town Ward 3, Bellville, City of Cape Town, Western Cape, 7532, South Africa"
STRAND,-34.115026,18.832457,"Strand, Main Road, Park Estates, Cape Town Ward 83, Strand, City of Cape Town, Western Cape, 7140, South Africa"
THORNTON,-33.918905,18.532447,"Thornton, Forest Drive, Cape Town Ward 53, City of Cape Town, Western Cape, 7535, South Africa"
TYGERBERG,-33.907388,18.601514,"Tygerberg, Parow Centre Parking, Cape Town Ward 10, Parow, City of Cape Town, Western Cape, 7501, South Africa"
UNIBELL,-33.937044,18.62858,"Unibell, University Avenue, Cape Town Ward 9, Bellville, City of Cape Town, Western Cape, 7493, South Africa"
VAN DER STEL,MISSING,MISSING,MISSING
