Station,Status,CSV_Lat,CSV_Lon,GeoJSON_Lat,GeoJSON_Lon
ATHLONE,Coordinates mismatch,-33.96214,18.50172,-33.96089,18.50162
BONTEHEUWEL,Missing in GeoJSON,-33.942095,18.550369,,
EERSTE RIVER,Missing in GeoJSON,-34.000743,18.730914,,
ELSIES RIVER,Missing in GeoJSON,-33.91054,18.569083,,
HARFIELD RD,Missing in GeoJSON,MISSING,MISSING,,
KALK BAY,Missing in GeoJSON,-34.126299,18.449956,,
KOEBERG RD,Missing in GeoJSON,MISSING,MISSING,,
NEWLANDS,Missing in GeoJSON,-33.974194,18.46761,,
STEENBERG,Coordinates mismatch,-34.07732,18.46364,-34.07641,18.46369
STIKLAND,Coordinates mismatch,-33.90382,18.6581,-33.90477,18.65637
AKASIA PARK,Missing in GeoJSON,MISSING,MISSING,,
CAPE TOWN,Missing in GeoJSON,-33.922422,18.426352,,
CENTURY CITY,Missing in GeoJSON,-33.9008749,18.5123408,,
CHRIS HANI,Missing in GeoJSON,-34.047143,18.705806,,
DAL JOSAFAT,Missing in GeoJSON,-33.703437,19.001629,,
DU TOIT,Missing in GeoJSON,-33.925189,18.697828,,
ESPLANADE,Missing in GeoJSON,-33.923843,18.445332,,
FALSE BAY,Missing in GeoJSON,-34.1031394,18.4689498,,
FISH HOEK,Missing in GeoJSON,-34.137645,18.424672,,
GOODWOOD,Missing in GeoJSON,-33.910911,18.552361,,
HUGUENOT,Missing in GeoJSON,-33.943231,18.414671,,
KENTEMADE,Missing in GeoJSON,-33.913007,18.497762,,
KLAPMUTS,Missing in GeoJSON,-33.806312,18.869738,,
KOELENHOF,Missing in GeoJSON,-34.050027,18.602795,,
KUILS RIVER,Missing in GeoJSON,-33.9336442,18.6775659,,
KUYASA,Missing in GeoJSON,-34.0603,18.688695,,
LYNEDOCH,Missing in GeoJSON,-34.049179,18.603072,,
MBEKWENI,Missing in GeoJSON,-34.012505,18.638541,,
MELTON ROSE,Missing in GeoJSON,-33.989556,18.720553,,
MITCHELLS PL,Missing in GeoJSON,-34.050556,18.618056,,
MULDERSVLEI,Missing in GeoJSON,-33.831116,18.828006,,
PAARL,Missing in GeoJSON,MISSING,MISSING,,
SALT RIVER,Missing in GeoJSON,-33.931701,18.461006,,
SIMONS TOWN,Missing in GeoJSON,-34.193181,18.433266,,
STELLENBOSCH,Missing in GeoJSON,-33.884268,18.6273,,
STOCK ROAD,Missing in GeoJSON,-34.009218,18.606137,,
SUNNY COVE,Missing in GeoJSON,-34.144301,18.437119,,
VLOTTENBURG,Missing in GeoJSON,-33.962044,18.799883,,
WELLINGTON,Missing in GeoJSON,-34.012101,18.465959,,
WOLTEMADE,Missing in GeoJSON,-33.922281,18.507538,,
BONTHEUWEL,Missing in CSV,,,-33.942095,18.550369
EERSTERIVIER,Missing in CSV,,,-34.000743,18.730914
ELSIESRIVIER,Missing in CSV,,,-33.91054,18.569083
HARFIELD ROAD,Missing in CSV,,,-33.988286,18.471187
KALKBAAI,Missing in CSV,,,-34.126299,18.449956
KOEBERGWEG,Missing in CSV,,,-33.925787,18.47792
NEWLANDS (NUWELAND),Missing in CSV,,,-33.974194,18.46761
