Name,StopCode,Type,Latitude,Longitude
ATHLONE,ATL,Train,-33.96089,18.501622
AVONDALE,AVD,Train,-33.897776,18.593072
BELHAR,BOH,Train,-33.939441,18.609057
BELLVILLE,BLE,Train,-33.906298,18.627491
BLACKHEATH,BKH,Train,-33.964266,18.701263
BONTEHEUWEL,BTL,Train,-33.942095,18.550369
BRACKENFELL,BKL,Train,-33.881123,18.688336
CLAREMONT,CMC,Train,-33.981481,18.467184
CRAWFORD,CRF,Train,-33.976422,18.501359
DE GRENDEL,DEG,Train,-33.893501,18.578732
DIEPRIVIER,DPE,Train,-34.035454,18.466953
EERSTE RIVER,EER,Train,-34.000743,18.730914
EIKENFONTEIN,EIK,Train,-33.857134,18.71127
ELSIES RIVER,ERH,Train,-33.91054,18.569083
FAURE,FAU,Train,-34.026236,18.74719
FIRGROVE,FGV,Train,-34.055629,18.792935
GLENCAIRN,GCR,Train,-34.164123,18.43203
HARFIELD RD,HRD,Train,-33.988286,18.471187
HAZENDAL,HAZ,Train,-33.953312,18.502537
HEATHFIELD,HEH,Train,-34.046077,18.465594
HEIDEVELD,HED,Train,-33.969678,18.561797
KALK BAY,KAB,Train,-34.126299,18.449956
KAPTEINSKLIP,KTE,Train,-34.067222,18.620684
KENILWORTH,KLW,Train,-33.995285,18.473
KHAYELITSHA,KYA,Train,-34.047985,18.670772
KOEBERG RD,KOB,Train,-33.925787,18.47792
KRAAIFONTEIN,KAI,Train,-33.847178,18.723839
LAKESIDE,LSD,Train,-34.088484,18.462489
LANGA,LAG,Train,-33.9392,18.52966
LANSDOWNE,LNE,Train,-33.987594,18.50394
LAVISTOWN,LSN,Train,-33.943277,18.584198
LENTEGEUR,LEN,Train,-34.034437,18.611373
MAITLAND,MLD,Train,-33.924712,18.487822
MANDALAY,MCF,Train,-34.018928,18.624421
MONTE VISTA,MNV,Train,-33.891647,18.548935
MOWBRAY,MWY,Train,-33.946733,18.473885
MUIZENBERG,MZR,Train,-34.109571,18.467916
MUTUAL,MTX,Train,-33.921749,18.513696
NDABENI,NBI,Train,-33.928238,18.49542
NETREG,NTG,Train,-33.952749,18.563571
NEWLANDS,NDL,Train,-33.974194,18.46761
NOLUNGILE,NOL,Train,-34.016939,18.648924
NONKQUBELA,NNK,Train,-34.026783,18.663078
NYANGA,NAG,Train,-33.993111,18.559914
OBSERVATORY,OVY,Train,-33.937882,18.471405
OOSTERZEE,OOZ,Train,-33.899941,18.607073
OTTERY,OTY,Train,-34.013462,18.495211
PAROW,POW,Train,-33.909575,18.586203
PENTECH,PEI,Train,-33.934832,18.645965
PHILIPPI,PPI,Train,-34.013361,18.585385
PINELANDS,PND,Train,-33.940121,18.490662
PLUMSTEAD,PMS,Train,-34.022033,18.469739
RETREAT,RET,Train,-34.059839,18.462936
RONDEBOSCH,RCH,Train,-33.962161,18.472369
ROSEBANK,RSN,Train,-33.954724,18.473143
SAREPTA,SRP,Train,-33.926513,18.661384
SOMERSET WEST,SSW,Train,-34.084224,18.841436
SOUTHFIELD,SFS,Train,-34.032969,18.481599
ST JAMES,STJ,Train,-34.119311,18.45842
STEENBERG,STX,Train,-34.076405,18.463689
STEURHOF,STH,Train,-34.028836,18.468908
STIKLAND,SKD,Train,-33.904768,18.656366
STRAND,STD,Train,-34.115026,18.832457
THORNTON,THO,Train,-33.918905,18.532447
TYGERBERG,TYG,Train,-33.907388,18.601514
UNIBELL,UBL,Train,-33.937044,18.62858
VAN DER STEL,VSL,Train,-34.09504,18.852837
VASCO,VSO,Train,-33.911215,18.558429
WETTON,WTN,Train,-34.001906,18.501037
WITTEBOME,WTE,Train,-34.014044,18.470709
WOODSTOCK,WDC,Train,-33.925483,18.445608
WYNBERG,WYB,Train,-34.004856,18.471217
YSTERPLAAT,YPT,Train,-33.919921,18.476845
AKASIA PARK,AKS,Train,-33.8718,18.678854
CAPE TOWN,CP ,Train,-33.922422,18.426352
CENTURY CITY,CNT,Train,-33.88905,18.51196
CHRIS HANI,CHR,Train,-34.047143,18.705806
DAL JOSAFAT,DL ,Train,-33.703437,19.001629
DU TOIT,D T,Train,-33.925189,18.697828
ESPLANADE,ESP,Train,-33.923843,18.445332
FALSE BAY,FLS,Train,-34.227027,18.655491
FISH HOEK,FSH,Train,-34.137645,18.424672
GOODWOOD,GDW,Train,-33.910911,18.552361
HUGUENOT,HGN,Train,-33.943231,18.414671
KENTEMADE,KNT,Train,-33.913007,18.497762
Klapmuts,KLP,Train,-33.806312,18.869738
KOELENHOF,KLN,Train,-34.050027,18.602795
KUILS RIVER,KLS,Train,-34.044635,18.724857
KUYASA,KYS,Train,-34.0603,18.688695
LYNEDOCH,LYN,Train,-34.049179,18.603072
MBEKWENI,MBK,Train,-34.012505,18.638541
Melton Rose,MLT,Train,-33.989556,18.720553
MITCHELLS PL.,MTC,Train,-34.050556,18.618056
Muldersvlei,MLD,Train,-33.831116,18.828006
PAARL,PRL,Train,-33.922715,18.523306
SALT RIVER,SLT,Train,-33.931701,18.461006
SIMON`S TOWN,SMN,Train,-34.193181,18.433266
STELLENBOSCH,STL,Train,-33.884268,18.6273
STOCK ROAD,STC,Train,-34.009218,18.606137
SUNNY COVE,SNN,Train,-34.144301,18.437119
Vlottenburg,VLT,Train,-33.962044,18.799883
WELLINGTON,WLL,Train,-34.012101,18.465959
WOLTEMADE,WLT,Train,-33.922281,18.507538
