schedule_number,direction,destination_1,destination_2,destination_3,destination_4
1,01,BELLVILLE,ELSIES RIVER,CAPE TOWN,
1,02,CAPE TOWN,ELSIES RIVER,BELLVILLE,
2,01,CAPE TOWN,KOEBERG RD,KILLARNEY,BLAAUWBERG
2,02,BLAAUWBERG,KILLARNEY,KOEBERG RD,CAPE TOWN
3,01,STELLENBOSCH,CAPE TOWN,,
3,02,CAPE TOWN,STELLENBOSCH,,
4,01,ATLANTIS,KILLARNEY,CAPE TOWN,
4,02,CAPE TOWN,KILLARNEY,ATLANTIS,
5,01,RICHWOOD,EDGEMEAD,SUMMER GREENS,CAPE TOWN
5,02,CAPE TOWN,SUMMER GREENS,EDGEMEAD,RICHWOOD
6,01,CAPE TOWN,SEA POINT,,
6,02,SEA POINT,CAPE TOWN,,
7,01,WELLINGTON,PAARL,BELLVILLE,CAPE TOWN
7,02,CAPE TOWN,BELLVILLE,PAARL,WELLINGTON
8,01,OCEAN VIEW,STEENBERG,RETREAT,CAPE TOWN
8,02,CAPE TOWN,RETREAT,STEENBERG,OCEAN VIEW
9,01,CAPE TOWN,MAITLAND,METRO,
10,01,CAPE TOWN,MAITLAND,,
10,02,MAITLAND,CAPE TOWN,,
11,01,DARLING,KILLARNEY,CAPE TOWN,
11,02,CAPE TOWN,KILLARNEY,DARLING,
12,01,MAMRE,PELLA,KILLARNEY,CAPE TOWN
12,02,CAPE TOWN,KILLARNEY,PELLA,MAMRE
15,01,FISANTEKRAAL,DURBANVILLE,CAPE TOWN,
15,02,CAPE TOWN,DURBANVILLE,FISANTEKRAAL,
15A,01,KRAAIFONTEIN,NORTHPINE,CAPE TOWN,
15A,02,CAPE TOWN,NORTHPINE,KRAAIFONTEIN,
16,01,CAPE TOWN,BLOUBERG,MELKBOS,KOEBERG
16,02,KOEBERG,MELKBOS,BLOUBERG,CAPE TOWN
18,01,KHAYELITSHA,NYANGA,SIMONSTOWN,
18,02,SIMONSTOWN,NYANGA,KHAYELITSHA,
19,01,TOWN CENTRE,CAPE GATE,,
19,02,CAPE GATE,TOWN CENTRE,,
21,01,NETREG,ELSIES RIVER,KILLARNEY,
21,02,KILLARNEY,ELSIES RIVER,NETREG,
22,01,BONTEHEUWEL,ELSIES RIVER,TYGERBERG STN,
22,02,TYGERBERG STN,ELSIES RIVER,BONTEHEUWEL,
23,01,BELLVILLE,MOWBRAY,,
23,02,MOWBRAY,BELLVILLE,,
24,01,BELLVILLE,SCOTTSDENE,DURBANVILLE,
24,02,DURBANVILLE,SCOTTSDENE,BELLVILLE,
25,01,BELLVILLE,TYGER VALLEY,EVERSDAL,DURBANVILLE
25,02,DURBANVILLE,EVERSDAL,TYGER VALLEY,BELLVILLE
26,01,MOWBRAY,EPPING IND,,
26,02,EPPING IND,MOWBRAY,,
27,01,CAPE TOWN,MOWBRAY,BONTEHEUWEL,
27,02,BONTEHEUWEL,MOWBRAY,CAPE TOWN,
28,02,CLAREMONT,BISHOPSCOURT,CONSTANTIA,WYNBERG
29,01,CAPE TOWN,MOWBRAY,BRIDGETOWN,HEIDEVELD
29,02,HEIDEVELD,BRIDGETOWN,MOWBRAY,CAPE TOWN
30,01,CAPE TOWN,MOWBRAY,BELHAR,DELFT
30,02,DELFT,BELHAR,MOWBRAY,CAPE TOWN
31,01,CAPE TOWN,MOWBRAY,MANENBERG,
31,02,MANENBERG,MOWBRAY,CAPE TOWN,
32,01,KHAYELITSHA,WYNBERG,HOUT BAY,
32,02,HOUT BAY,WYNBERG,KHAYELITSHA,
33,01,CAPE TOWN,MOWBRAY,HANOVER PARK,
33,02,HANOVER PARK,MOWBRAY,CAPE TOWN,
34,01,RETREAT,HANOVER PARK,ELSIES RIVER,
34,02,ELSIES RIVER,HANOVER PARK,RETREAT,
35,02,PHILIPPI,BOYSTOWN,NYANGA,
36,01,HANOVER PARK,BELLVILLE,DURBANVILLE,
36,02,DURBANVILLE,BELLVILLE,HANOVER PARK,
37,01,MANENBERG,HANOVER PARK,CLAREMONT,
37,02,CLAREMONT,HANOVER PARK,MANENBERG,
38,01,MANENBERG,HANOVER PARK,WYNBERG,
38,02,WYNBERG,HANOVER PARK,MANENBERG,
39,01,HANOVER PARK,KILLARNEY,ATLANTIS,
39,02,ATLANTIS,KILLARNEY,HANOVER PARK,
40,01,MANENBERG,KILLARNEY,,
40,02,KILLARNEY,MANENBERG,,
41,01,MANENBERG,HANOVER PARK,MAITLAND,
41,02,MAITLAND,HANOVER PARK,MANENBERG,
43,01,NYANGA,MOWBRAY,CAPE TOWN,
43,02,CAPE TOWN,MOWBRAY,NYANGA,
44,01,NYANGA,AIRPORT IND,BELLVILLE,
44,02,BELLVILLE,AIRPORT IND,NYANGA,
45,01,KHAYELITSHA,PANORAMA,,
45,02,PANORAMA,KHAYELITSHA,,
45A,01,PHILIPPI EAST,NYANGA,PANORAMA,
45A,02,PANORAMA,NYANGA,PHILIPPI EAST,
46,01,KHAYELITSHA,TYGERBERG,,
46,02,TYGERBERG,KHAYELITSHA,,
47,01,NYANGA,KHAYELITSHA,MFULENI,KUILS RIVER
47,02,KUILS RIVER,MFULENI,KHAYELITSHA,NYANGA
48,01,TOWN CENTRE,MANDALAY,ALEXANDRA HOSP,
48,02,ALEXANDRA HOSP,MANDALAY,TOWN CENTRE,
49,01,TAFELSIG,TOWN CENTRE,,
50,01,BELLVILLE,KENRIDGE,,
50,02,KENRIDGE,BELLVILLE,,
52,01,BUSY CORNER,CLAREMONT,,
52,02,CLAREMONT,BUSY CORNER,,
53,01,OCEAN VIEW,FISH HOEK,SIMONSTOWN,
53,02,SIMONSTOWN,FISH HOEK,OCEAN VIEW,
54,01,OCEAN VIEW,NOORD HOEK,FISH HOEK,SIMONSTOWN
54,02,SIMONSTOWN,FISH HOEK,NOORD HOEK,OCEAN VIEW
55,01,SOMERSET WEST,TYGERBERG,KARL BREMER HOSP,
55,02,KARL BREMER HOSP,TYGERBERG,SOMERSET WEST,
56,01,MACASSAR,SOMERSET WEST,STRAND,LWANDLE
56,02,LWANDLE,STRAND,SOMERSET WEST,MACASSAR
57,02,LEAGUES,westgate mall,TOWN CENTRE,
58,01,NYANGA,KHAYELITSHA,SOMERSET WEST,
58,02,SOMERSET WEST,KHAYELITSHA,NYANGA,
59,01,NYANGA,CLAREMONT,RONDEBOSCH,
59,02,RONDEBOSCH,CLAREMONT,NYANGA,
60,01,NYANGA,WYNBERG,,
60,02,WYNBERG,NYANGA,,
61,01,PHILIPPI,TOWN CENTRE,,
61,02,TOWN CENTRE,PHILIPPI,,
62,01,KHAYELITSHA,HARARE,BELLVILLE,
62,02,BELLVILLE,HARARE,KHAYELITSHA,
63,01,KHAYELITSHA,MAKHAZA,BELLVILLE,
63,02,BELLVILLE,MAKHAZA,KHAYELITSHA,
64,01,TAFELSIG,BEACON VALLEY,CLAREMONT,
64,02,CLAREMONT,BEACON VALLEY,TAFELSIG,
65,01,KHAYELITSHA,NYANGA,LANGA,
65,02,LANGA,NYANGA,KHAYELITSHA,
66,01,KHAYELITSHA,ENKANINI,KILLARNEY,
66,02,BLAAUWBERG RIDGE,KILLARNEY,HARARE,
66A,01,KHAYELITSHA,CENTURY CITY,,
66A,02,CENTURY CITY,KHAYELITSHA,,
67,01,KHAYELITSHA,CLAREMONT,RONDEBOSCH,
67,02,RONDEBOSCH,CLAREMONT,KHAYELITSHA,
68,01,KHAYELITSHA,WYNBERG,,
68,02,WYNBERG,KHAYELITSHA,,
69,01,MAKHAZA,HARARE,KHAYELITSHA S A P,
69,02,KHAYELITSHA S A P,HARARE,MAKHAZA,
70,01,BLUEDOWNS,DELFT,ELSIES RIVER,PANORAMA
70,02,PANORAMA,ELSIES RIVER,DELFT,BLUEDOWNS
71,01,BLUEDOWNS,TYGERBERG,,
71,02,TYGERBERG,BLUEDOWNS,,
72,01,BLUEDOWNS,TOWN CENTRE,,
72,02,TOWN CENTRE,BLUEDOWNS,,
73,01,BLUEDOWNS,DELFT,KOEBERG STN,
73,02,KOEBERG STN,DELFT,BLUEDOWNS,
74,01,DELFT,CLAREMONT,,
74,02,CLAREMONT,DELFT,,
75,01,BLUEDOWNS,BELLVILLE,DURBANVILLE,
75,02,DURBANVILLE,BELLVILLE,BLUEDOWNS,
76,01,BLUEDOWNS,KILLARNEY,,
76,02,KILLARNEY,BLUEDOWNS,,
77,01,TOWN CENTRE,ROCKLANDS,MOWbray,CAPE TOWN
77,02,CAPE TOWN,MOWBRAY,ROCKLANDS,TOWN CENTRE
78,01,TOWN CENTRE,MERRYDALE,MOWBRAY,CAPE TOWN
78,02,CAPE TOWN,MOWBRAY,MERRYDALE,TOWN CENTRE
