route_codes,schedule_no,endpoint_1,endpoint_2,via_locations
ADA1;ADD0;ADD1;ADA0;FPA9;ADA3,1,BELLVILLE,CAPE TOWN,
BRA0;BRA1;BRB2;BRB3;BRB8,1,CAPE TOWN,MAITLAND,
ADB3;ADB2;ADD2;ADA6;ADA5;ADD3;ADA2;ADA7,1,CAPE TOWN,ELSIES RIVER,
DAA0;DAA1;DAA8;DAA9;DAI5;DAL2;DAL6;DAC2,2,CAPE TOWN,KILLARNEY,
DAA2;DAA3;DAB9;DAB8,2,CAMBRIDGE,CAPE TOWN,
DAA5,2,KILLARNEY,SALT RIVER MARKET,
DAB2;DAB3,2,CAPE TOWN,MONTAGUE GARDENS,
DAD1,2,CAPE TOWN,MILNERTON,
DAK1;DAK0,2,BLAAUWBERG RIDGE,CAPE TOWN,
DAK6,2,CAPE TOWN,DU NOON,
DAK8;DAL0,2,CAPE TOWN,KILLARNEY GARDENS,
DAL9;DAB1;DAG2;DAG3;DAI3,2,BLAAUWBERG RIDGE,KILLARNEY,
MXF0;MXF1,2,KILLARNEY,KILLARNEY GARDENS,
BMD5;BMD7,3,CAPE TOWN,STELLENBOSCH,
KSL5;KSL6,3,STELLENBOSCH,STRAND STR,
DAA0;DAA1;DAA8;DAA9;DAI5;DAL2;DAL6;DAC2,4,CAPE TOWN,KILLARNEY,
DAB2;DAB3,4,CAPE TOWN,MONTAGUE GARDENS,
DAK8;DAL0,4,CAPE TOWN,KILLARNEY GARDENS,
MXF0;MXF1,4,KILLARNEY,KILLARNEY GARDENS,
PAE5;PAE6,4,CAPE TOWN,SAXONSEA,
PAF2;PAB4;PAY3,4,ATLANTIS,MONTAGUE GARDENS,
PAK7;PAR7;PAA5,4,ATLANTIS,KILLARNEY,
AOB2,5,BOTHASIG,SALT RIVER MARKET,
AOB4;AOC1;AOA8;AOB3;AOB7;AOE0,5,CAPE TOWN,EDGEMEAD,
AOB6;AOB9,5,CAPE TOWN,CENTURY CITY,
AOC3;AOD8,5,BOTHASIG,CAPE TOWN,
AUA0;AUA3;AUA7,5,CAPE TOWN,RICHWOOD,
DAA2;DAA3;DAB9;DAB8,5,CAMBRIDGE,CAPE TOWN,
DAG8,5,CAPE TOWN,SUMMER GREENS,
DAH0;DAH4,5,CAPE TOWN,SUMMER GREENS (7/11),
AAA6;AAA7,6,CAPE TOWN,SEA POINT,
ADB3;ADB2;ADD2;ADA6;ADA5;ADD3;ADA2;ADA7,7,CAPE TOWN,ELSIES RIVER,
BTB4,8,MOWBRAY,TOLLGATE STOP,
FTA1,8,CLAREMONT,MOWBRAY,
DXA0;DXA1,8,CAPE TOWN,MOWBRAY,
LBA2;LBA4;LBE8;LBE9;LBA5;LBC5;LBE6,8,MURDOCH VALLEY,OCEAN VIEW,
YEG0,8,RETREAT,WYNBERG,
YEH2;YEH4,8,RETREAT,WYNBERG,
FTD4,8,PLUMSTEAD,WYNBERG,
DXC2;DXC6;DXC0;DXC4;DXC5;DXC1;DXC7;DXC3,8,CAPE TOWN,RETREAT,
DXE0;DXA3;DXE1,8,CAPE TOWN,STEENBERG,
DXA8,8,RETREAT,WYNBERG,
FRB1,8,STEENBERG,WYNBERG,
DXA5;DXB2,8,CAPE TOWN,OCEAN VIEW,
CXA0;FTB7;CXA1,8,CLAREMONT,WYNBERG,
DXC9;DXB7,8,RETREAT,TOLLGATE STOP,
DXB3,8,CAPE TOWN,WYNBERG,
FTA5,8,CAPE TOWN,CLAREMONT,
DXA2,8,STEENBERG,V&A WATERFRONT,
ESA0;ESA1,9,MAITLAND,METRO,
BRA0;BRA1;BRB2;BRB3;BRB8,10,CAPE TOWN,MAITLAND,
BRA3,10,CAPE TOWN,NDABENI,
DTA4;DTH2;DTF9;DTF8;DTG0;DTF0;DTF3,10,CAPE TOWN,KOEBERG STN,
DAA0;DAA1;DAA8;DAA9;DAI5;DAL2;DAL6;DAC2,11,CAPE TOWN,KILLARNEY,
DAB2;DAB3,11,CAPE TOWN,MONTAGUE GARDENS,
DAK8;DAL0,11,CAPE TOWN,KILLARNEY,
MXF0;MXF1,11,KILLARNEY,KILLARNEY,
QTJ6,11,A.D.E.,MAMRE,
QTJ7,11,A.D.E.,MAMRE,
DYA0;DYE6;DYH4;DYI2;DYF8;DYI6;DYE7,11,CAPE TOWN,MAMRE,
PAF2;PAB4;PAY3,11,ATLANTIS,MONTAGUE GARDENS,
DYA6,11,MAMRE,MONTAGUE GARDENS,
PAK7;PAR7;PAA5,11,ATLANTIS,KILLARNEY,
DZB8;DZD0;DZB7;DZB5;DZD1;DZB9,11,CAPE TOWN,MALMESBURY,
PAF7;PAF6,11,KOEBERG STN,MAMRE,
PAF3;PBC2;PBA0,11,ATLANTIS,KOEBERG STN,
DTA4;DTH2;DTF9;DTF8;DTG0;DTF0;DTF3,11,CAPE TOWN,KOEBERG STN,
PAQ9;PAD3;PAQ8;PAE1,11,CAPE TOWN,DARLING,
QTB3,11,KOEBERG STN,MELKBOS,
QTB9;QTB8,11,DARLING,MELKBOS,
DYF4,11,KILLARNEY,MAMRE,
BPB4,12,CAMBRIDGE,NDABENI,
BRA3,12,CAPE TOWN,NDABENI,
DAA0;DAA1;DAA8;DAA9;DAI5;DAL2;DAL6;DAC2,12,CAPE TOWN,KILLARNEY,
DAA2;DAA3;DAB9;DAB8,12,CAMBRIDGE,CAPE TOWN,
DAA5,12,KILLARNEY,SALT RIVER MARKET,
DAB2;DAB3,12,CAPE TOWN,MONTAGUE GARDENS,
DAK8;DAL0,12,CAPE TOWN,KILLARNEY GARDENS,
MXF0;MXF1,12,KILLARNEY,KILLARNEY GARDENS,
DYA0;DYE6;DYH4;DYI2;DYF8;DYI6;DYE7,12,CAPE TOWN,MAMRE (PARADISE RD),
QTA8,12,KOEBERG STN,PELLA,
DYH5,12,MAMRE (PARADISE RD),NDABENI,
PAF2;PAB4;PAY3,12,ATLANTIS,MONTAGUE GARDENS,
DYA2;DYD4,12,CAPE TOWN,PELLA,
DYA6,12,MAMRE (PARADISE RD),MONTAGUE GARDENS,
DYC2,12,MAMRE,NDABENI,
PAK7;PAR7;PAA5,12,ATLANTIS,KILLARNEY,
PAF7;PAF6,12,KOEBERG STN,MAMRE,
PAF3;PBC2;PBA0,12,ATLANTIS,KOEBERG STN,
DTA4;DTH2;DTF9;DTF8;DTG0;DTF0;DTF3,12,CAPE TOWN,KOEBERG STN,
DTC5,12,KOEBERG STN,SALT RIVER MARKET,
DYB7,12,CAMBRIDGE,MAMRE (PARADISE RD),
DYI1;DYI3,12,MAMRE (PARADISE RD),TOLLGATE STOP,
DYF4,12,KILLARNEY,MAMRE (PARADISE RD),
BAA7;BAA6,15,CAPE TOWN,DURBANVILLE,
DAA0;DAA1;DAA8;DAA9;DAI5;DAL2;DAL6;DAC2,16,CAPE TOWN,KILLARNEY,
DAG1,16,CAPE TOWN,PARKLANDS,
DAK1;DAK0,16,BLAAUWBERG RIDGE,CAPE TOWN,
DAK8;DAL0,16,CAPE TOWN,KILLARNEY,
DAL9;DAB1;DAG2;DAG3;DAI3,16,BLAAUWBERG RIDGE,KILLARNEY,
MXF0;MXF1,16,KILLARNEY,KILLARNEY,
DTA4;DTH2;DTF9;DTF8;DTG0;DTF0;DTF3,16,CAPE TOWN,KOEBERG STN,
QTB3,16,KOEBERG STN,MELKBOS,
APD7;APD6,18,NYANGA TERM,PHILIPPI EAST SAP,
LCA0;LCA1,18,MURDOCH VALLEY,SIMONSTOWN,
KSI3;KSH0;KSH1;KSB7;KSJ6;KSK5,18,MAKHAZA,MURDOCH VALLEY,
KSG8;KSA3;KSG9,18,HARARE,MURDOCH VALLEY,
APB5;APB4,18,MURDOCH VALLEY,PHILIPPI EAST SAP,
KSK0,18,MURDOCH VALLEY,SITE C,
MBL7;MBM3;MBL6,19,CAPE GATE,TOWN CENTRE,
MIA4;MIB5;MIH4;MIH6,19,TAFELSIG,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,19,LOST CITY;TAFELSIG,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,19,BEACON VALLEY,TOWN CENTRE,
MID5;MID8,19,ROCKLANDS,TOWN CENTRE,
DAL9;DAB1;DAG2;DAG3;DAI3,21,BLAAUWBERG RIDGE,KILLARNEY,
CKB6,21,ELSIES RIVER,MONTAGUE GARDENS,
MXF0;MXF1,21,KILLARNEY,KILLARNEY GARDENS,
CKA5,21,KILLARNEY,MONTANA,
CKA0;CKC6,21,ELSIES RIVER,KILLARNEY,
CKA9;CKC4,21,KILLARNEY,NETREG,
CKA8,21,KILLARNEY GARDENS,NETREG,
FHC0,22,BONTEHEUWEL,TYGERBERG HOSP,
FHC4,22,BISHOP LAVIS,TYGERBERG STN,
FHA8;FHA9;AMC7;FHA3;AMC0,22,BISHOP LAVIS,TYGERBERG HOSP,
FHC2,22,BONTEHEUWEL,TYGERBERG STN,
AEA0;AEA1,23,BELLVILLE,MOWBRAY,
BAA0,24,BELLVILLE,DURBANVILLE,
BAA4;BAA5,24,BELLVILLE,ESCOM (BRACKENFELL),
BBA2;BBA3,24,BELLVILLE,SCOTTSDENE,
