route_number,day_type,Civic Centre,Adderley,Lower Plein,Lower Buitenkant,Roeland,Roodehek,Gardens,Upper Buitenkant,Highlands,Herzlia,Exner,Wexford
101,Mondays to Fridays,05:50,05:53,05:57,06:00,06:02,06:03,06:05,06:08,06:09,06:10,06:11,06:12
101,Mondays to Fridays,06:50,06:53,06:57,07:00,07:02,07:03,07:05,07:08,07:09,07:10,07:11,07:12
101,Mondays to Fridays,07:50,07:53,07:57,08:00,08:02,08:03,08:05,08:08,08:09,08:10,08:11,08:12
101,Mondays to Fridays,08:50,08:53,08:57,09:00,09:02,09:03,09:05,09:08,09:09,09:10,09:11,09:12
101,Mondays to Fridays,09:50,09:53,09:57,10:00,10:02,10:03,10:05,10:08,10:09,10:10,10:11,10:12
101,Mondays to Fridays,10:50,10:53,10:57,11:00,11:02,11:03,11:05,11:08,11:09,11:10,11:11,11:12
101,Mondays to Fridays,11:50,11:53,11:57,12:00,12:02,12:03,12:05,12:08,12:09,12:10,12:11,12:12
101,Mondays to Fridays,12:50,12:53,12:57,13:00,13:02,13:03,13:05,13:08,13:09,13:10,13:11,13:12
101,Mondays to Fridays,13:50,13:53,13:57,14:00,14:02,14:03,14:05,14:08,14:09,14:10,14:11,14:12
101,Mondays to Fridays,14:50,14:53,14:57,15:00,15:02,15:03,15:05,15:08,15:09,15:10,15:11,15:12
101,Mondays to Fridays,15:50,15:53,15:57,16:00,16:02,16:03,16:05,16:08,16:09,16:10,16:11,16:12
101,Mondays to Fridays,16:50,16:53,16:57,17:00,17:02,17:03,17:05,17:08,17:09,17:10,17:11,17:12
101,Mondays to Fridays,17:50,17:53,17:57,18:00,18:02,18:03,18:05,18:08,18:09,18:10,18:11,18:12
101,Mondays to Fridays,18:50,18:53,18:57,19:00,19:02,19:03,19:05,19:08,19:09,19:10,19:11,19:12
101,Saturdays,05:50,05:53,05:57,06:00,06:02,06:03,06:05,06:08,06:09,06:10,06:11,06:12
101,Saturdays,06:50,06:53,06:57,07:00,07:02,07:03,07:05,07:08,07:09,07:10,07:11,07:12
101,Saturdays,07:50,07:53,07:57,08:00,08:02,08:03,08:05,08:08,08:09,08:10,08:11,08:12
101,Saturdays,08:50,08:53,08:57,09:00,09:02,09:03,09:05,09:08,09:09,09:10,09:11,09:12
101,Saturdays,09:50,09:53,09:57,10:00,10:02,10:03,10:05,10:08,10:09,10:10,10:11,10:12
101,Saturdays,10:50,10:53,10:57,11:00,11:02,11:03,11:05,11:08,11:09,11:10,11:11,11:12
101,Saturdays,11:50,11:53,11:57,12:00,12:02,12:03,12:05,12:08,12:09,12:10,12:11,12:12
101,Saturdays,12:50,12:53,12:57,13:00,13:02,13:03,13:05,13:08,13:09,13:10,13:11,13:12
101,Saturdays,13:50,13:53,13:57,14:00,14:02,14:03,14:05,14:08,14:09,14:10,14:11,14:12
101,Saturdays,14:50,14:53,14:57,15:00,15:02,15:03,15:05,15:08,15:09,15:10,15:11,15:12
101,Saturdays,15:50,15:53,15:57,16:00,16:02,16:03,16:05,16:08,16:09,16:10,16:11,16:12
101,Saturdays,16:50,16:53,16:57,17:00,17:02,17:03,17:05,17:08,17:09,17:10,17:11,17:12
101,Saturdays,17:50,17:53,17:57,18:00,18:02,18:03,18:05,18:08,18:09,18:10,18:11,18:12
101,Saturdays,18:50,18:53,18:57,19:00,19:02,19:03,19:05,19:08,19:09,19:10,19:11,19:12
101,Sundays and Public Holidays,05:50,05:53,05:57,06:00,06:02,06:03,06:05,06:08,06:09,06:10,06:11,06:12
101,Sundays and Public Holidays,06:50,06:53,06:57,07:00,07:02,07:03,07:05,07:08,07:09,07:10,07:11,07:12
101,Sundays and Public Holidays,07:50,07:53,07:57,08:00,08:02,08:03,08:05,08:08,08:09,08:10,08:11,08:12
101,Sundays and Public Holidays,08:50,08:53,08:57,09:00,09:02,09:03,09:05,09:08,09:09,09:10,09:11,09:12
101,Sundays and Public Holidays,09:50,09:53,09:57,10:00,10:02,10:03,10:05,10:08,10:09,10:10,10:11,10:12
101,Sundays and Public Holidays,10:50,10:53,10:57,11:00,11:02,11:03,11:05,11:08,11:09,11:10,11:11,11:12
101,Sundays and Public Holidays,11:50,11:53,11:57,12:00,12:02,12:03,12:05,12:08,12:09,12:10,12:11,12:12
101,Sundays and Public Holidays,12:50,12:53,12:57,13:00,13:02,13:03,13:05,13:08,13:09,13:10,13:11,13:12
101,Sundays and Public Holidays,13:50,13:53,13:57,14:00,14:02,14:03,14:05,14:08,14:09,14:10,14:11,14:12
101,Sundays and Public Holidays,14:50,14:53,14:57,15:00,15:02,15:03,15:05,15:08,15:09,15:10,15:11,15:12
101,Sundays and Public Holidays,15:50,15:53,15:57,16:00,16:02,16:03,16:05,16:08,16:09,16:10,16:11,16:12
101,Sundays and Public Holidays,16:50,16:53,16:57,17:00,17:02,17:03,17:05,17:08,17:09,17:10,17:11,17:12
101,Sundays and Public Holidays,17:50,17:53,17:57,18:00,18:02,18:03,18:05,18:08,18:09,18:10,18:11,18:12
101,Sundays and Public Holidays,18:50,18:53,18:57,19:00,19:02,19:03,19:05,19:08,19:09,19:10,19:11,19:12
