route_number,day_type,Wexford,St James,Gardenia,Nazareth,Gardens,Annandale,Government Ave,Michaelis,Upper Loop,Leeuwen,Church,Mid Loop,Riebeeck,Adderley,Civic Centre
101,Mondays to Fridays,06:12,06:13,06:15,06:16,06:19,06:27,06:29,06:30,06:32,06:33,06:34,06:36,06:37,06:39,06:44
101,Mondays to Fridays,07:12,07:13,07:15,07:16,07:19,07:27,07:29,07:30,07:32,07:33,07:34,07:36,07:37,07:39,07:44
101,Mondays to Fridays,08:12,08:13,08:15,08:16,08:19,08:27,08:29,08:30,08:32,08:33,08:34,08:36,08:37,08:39,08:44
101,Mondays to Fridays,09:12,09:13,09:15,09:16,09:19,09:27,09:29,09:30,09:32,09:33,09:34,09:36,09:37,09:39,09:44
101,Mondays to Fridays,10:12,10:13,10:15,10:16,10:19,10:27,10:29,10:30,10:32,10:33,10:34,10:36,10:37,10:39,10:44
101,Mondays to Fridays,11:12,11:13,11:15,11:16,11:19,11:27,11:29,11:30,11:32,11:33,11:34,11:36,11:37,11:39,11:44
101,Mondays to Fridays,12:12,12:13,12:15,12:16,12:19,12:27,12:29,12:30,12:32,12:33,12:34,12:36,12:37,12:39,12:44
101,Mondays to Fridays,13:12,13:13,13:15,13:16,13:19,13:27,13:29,13:30,13:32,13:33,13:34,13:36,13:37,13:39,13:44
101,Mondays to Fridays,14:12,14:13,14:15,14:16,14:19,14:27,14:29,14:30,14:32,14:33,14:34,14:36,14:37,14:39,14:44
101,Mondays to Fridays,15:12,15:13,15:15,15:16,15:19,15:27,15:29,15:30,15:32,15:33,15:34,15:36,15:37,15:39,15:44
101,Mondays to Fridays,16:12,16:13,16:15,16:16,16:19,16:27,16:29,16:30,16:32,16:33,16:34,16:36,16:37,16:39,16:44
101,Mondays to Fridays,17:12,17:13,17:15,17:16,17:19,17:27,17:29,17:30,17:32,17:33,17:34,17:36,17:37,17:39,17:44
101,Mondays to Fridays,18:12,18:13,18:15,18:16,18:19,18:27,18:29,18:30,18:32,18:33,18:34,18:36,18:37,18:39,18:44
101,Mondays to Fridays,19:12,19:13,19:15,19:16,19:19,19:27,19:29,19:30,19:32,19:33,19:34,19:36,19:37,19:39,19:44
101,Saturdays,06:12,06:13,06:15,06:16,06:19,06:27,06:29,06:30,06:32,06:33,06:34,06:36,06:37,06:39,06:44
101,Saturdays,07:12,07:13,07:15,07:16,07:19,07:27,07:29,07:30,07:32,07:33,07:34,07:36,07:37,07:39,07:44
101,Saturdays,08:12,08:13,08:15,08:16,08:19,08:27,08:29,08:30,08:32,08:33,08:34,08:36,08:37,08:39,08:44
101,Saturdays,09:12,09:13,09:15,09:16,09:19,09:27,09:29,09:30,09:32,09:33,09:34,09:36,09:37,09:39,09:44
101,Saturdays,10:12,10:13,10:15,10:16,10:19,10:27,10:29,10:30,10:32,10:33,10:34,10:36,10:37,10:39,10:44
101,Saturdays,11:12,11:13,11:15,11:16,11:19,11:27,11:29,11:30,11:32,11:33,11:34,11:36,11:37,11:39,11:44
101,Saturdays,12:12,12:13,12:15,12:16,12:19,12:27,12:29,12:30,12:32,12:33,12:34,12:36,12:37,12:39,12:44
101,Saturdays,13:12,13:13,13:15,13:16,13:19,13:27,13:29,13:30,13:32,13:33,13:34,13:36,13:37,13:39,13:44
101,Saturdays,14:12,14:13,14:15,14:16,14:19,14:27,14:29,14:30,14:32,14:33,14:34,14:36,14:37,14:39,14:44
101,Saturdays,15:12,15:13,15:15,15:16,15:19,15:27,15:29,15:30,15:32,15:33,15:34,15:36,15:37,15:39,15:44
101,Saturdays,16:12,16:13,16:15,16:16,16:19,16:27,16:29,16:30,16:32,16:33,16:34,16:36,16:37,16:39,16:44
101,Saturdays,17:12,17:13,17:15,17:16,17:19,17:27,17:29,17:30,17:32,17:33,17:34,17:36,17:37,17:39,17:44
101,Saturdays,18:12,18:13,18:15,18:16,18:19,18:27,18:29,18:30,18:32,18:33,18:34,18:36,18:37,18:39,18:44
101,Saturdays,19:12,19:13,19:15,19:16,19:19,19:27,19:29,19:30,19:32,19:33,19:34,19:36,19:37,19:39,19:44
101,Sundays and Public Holidays,06:12,06:13,06:15,06:16,06:19,06:27,06:29,06:30,06:32,06:33,06:34,06:36,06:37,06:39,06:44
101,Sundays and Public Holidays,07:12,07:13,07:15,07:16,07:19,07:27,07:29,07:30,07:32,07:33,07:34,07:36,07:37,07:39,07:44
101,Sundays and Public Holidays,08:12,08:13,08:15,08:16,08:19,08:27,08:29,08:30,08:32,08:33,08:34,08:36,08:37,08:39,08:44
101,Sundays and Public Holidays,09:12,09:13,09:15,09:16,09:19,09:27,09:29,09:30,09:32,09:33,09:34,09:36,09:37,09:39,09:44
101,Sundays and Public Holidays,10:12,10:13,10:15,10:16,10:19,10:27,10:29,10:30,10:32,10:33,10:34,10:36,10:37,10:39,10:44
101,Sundays and Public Holidays,11:12,11:13,11:15,11:16,11:19,11:27,11:29,11:30,11:32,11:33,11:34,11:36,11:37,11:39,11:44
101,Sundays and Public Holidays,12:12,12:13,12:15,12:16,12:19,12:27,12:29,12:30,12:32,12:33,12:34,12:36,12:37,12:39,12:44
101,Sundays and Public Holidays,13:12,13:13,13:15,13:16,13:19,13:27,13:29,13:30,13:32,13:33,13:34,13:36,13:37,13:39,13:44
101,Sundays and Public Holidays,14:12,14:13,14:15,14:16,14:19,14:27,14:29,14:30,14:32,14:33,14:34,14:36,14:37,14:39,14:44
101,Sundays and Public Holidays,15:12,15:13,15:15,15:16,15:19,15:27,15:29,15:30,15:32,15:33,15:34,15:36,15:37,15:39,15:44
101,Sundays and Public Holidays,16:12,16:13,16:15,16:16,16:19,16:27,16:29,16:30,16:32,16:33,16:34,16:36,16:37,16:39,16:44
101,Sundays and Public Holidays,17:12,17:13,17:15,17:16,17:19,17:27,17:29,17:30,17:32,17:33,17:34,17:36,17:37,17:39,17:44
101,Sundays and Public Holidays,18:12,18:13,18:15,18:16,18:19,18:27,18:29,18:30,18:32,18:33,18:34,18:36,18:37,18:39,18:44
101,Sundays and Public Holidays,19:12,19:13,19:15,19:16,19:19,19:27,19:29,19:30,19:32,19:33,19:34,19:36,19:37,19:39,19:44
