route_number,day_type,Chesterfield,Invermark,Molteno,Rayden,Lower Reservoir,Annandale,Gardens,Roodehek,Roeland,Lower Buitenkant,Lower Plein,Adderley,Civic Centre
103,Mondays to Fridays,06:15,06:16,06:17,06:18,06:20,06:22,06:24,06:31,06:32,06:34,06:38,06:43,06:48
103,Mondays to Fridays,06:50,06:51,06:52,06:53,06:55,06:57,06:59,07:06,07:07,07:09,07:13,07:18,07:23
103,Mondays to Fridays,07:25,07:26,07:27,07:28,07:30,07:32,07:34,07:41,07:42,07:44,07:48,07:53,07:58
103,Mondays to Fridays,08:00,08:01,08:02,08:03,08:05,08:07,08:09,08:16,08:17,08:19,08:23,08:28,08:33
103,Mondays to Fridays,08:35,08:36,08:37,08:38,08:40,08:42,08:44,08:51,08:52,08:54,08:58,09:03,09:08
103,Mondays to Fridays,09:10,09:11,09:12,09:13,09:15,09:17,09:19,09:26,09:27,09:29,09:33,09:38,09:43
103,Mondays to Fridays,09:45,09:46,09:47,09:48,09:50,09:52,09:54,10:01,10:02,10:04,10:08,10:13,10:18
103,Mondays to Fridays,10:20,10:21,10:22,10:23,10:25,10:27,10:29,10:36,10:37,10:39,10:43,10:48,10:53
103,Mondays to Fridays,10:55,10:56,10:57,10:58,11:00,11:02,11:04,11:11,11:12,11:14,11:18,11:23,11:28
103,Mondays to Fridays,11:30,11:31,11:32,11:33,11:35,11:37,11:39,11:46,11:47,11:49,11:53,11:58,12:03
103,Mondays to Fridays,12:05,12:06,12:07,12:08,12:10,12:12,12:14,12:21,12:22,12:24,12:28,12:33,12:38
103,Mondays to Fridays,12:40,12:41,12:42,12:43,12:45,12:47,12:49,12:56,12:57,12:59,13:03,13:08,13:13
103,Mondays to Fridays,13:15,13:16,13:17,13:18,13:20,13:22,13:24,13:31,13:32,13:34,13:38,13:43,13:48
103,Mondays to Fridays,13:50,13:51,13:52,13:53,13:55,13:57,13:59,14:06,14:07,14:09,14:13,14:18,14:23
103,Mondays to Fridays,14:25,14:26,14:27,14:28,14:30,14:32,14:34,14:41,14:42,14:44,14:48,14:53,14:58
103,Mondays to Fridays,15:00,15:01,15:02,15:03,15:05,15:07,15:09,15:16,15:17,15:19,15:23,15:28,15:33
103,Mondays to Fridays,15:35,15:36,15:37,15:38,15:40,15:42,15:44,15:51,15:52,15:54,15:58,16:03,16:08
103,Mondays to Fridays,16:10,16:11,16:12,16:13,16:15,16:17,16:19,16:26,16:27,16:29,16:33,16:38,16:43
103,Mondays to Fridays,16:45,16:46,16:47,16:48,16:50,16:52,16:54,17:01,17:02,17:04,17:08,17:13,17:18
103,Mondays to Fridays,17:20,17:21,17:22,17:23,17:25,17:27,17:29,17:36,17:37,17:39,17:43,17:48,17:53
103,Mondays to Fridays,17:55,17:56,17:57,17:58,18:00,18:02,18:04,18:11,18:12,18:14,18:18,18:23,18:28
103,Mondays to Fridays,18:30,18:31,18:32,18:33,18:35,18:37,18:39,18:46,18:47,18:49,18:53,18:58,19:03
103,Mondays to Fridays,19:05,19:06,19:07,19:08,19:10,19:12,19:14,19:21,19:22,19:24,19:28,19:33,19:38
103,Saturdays,06:15,06:16,06:17,06:18,06:20,06:22,06:24,06:31,06:32,06:34,06:38,06:43,06:48
103,Saturdays,06:50,06:51,06:52,06:53,06:55,06:57,06:59,07:06,07:07,07:09,07:13,07:18,07:23
