route_number,day_type,Civic Centre,Adderley,Groote Kerk,Dorp,Upper Long,Lower Kloof,Ludwigs Garden,Belle Ombre,St Michaels,Cotswold,Higgo,Kloof Nek,Comrie,Atholl,Woodford,Quebec,Camps Bay
107,Mondays to Fridays,05:45,05:49,05:53,05:57,05:58,06:00,06:02,06:04,06:06,06:07,06:09,06:10,06:13,06:14,06:15,06:16,06:20
107,Mondays to Fridays,05:54,05:58,06:02,06:06,06:07,06:09,06:11,06:13,06:15,06:16,06:18,06:19,06:22,06:23,06:24,06:25,06:29
107,Mondays to Fridays,06:03,06:07,06:11,06:15,06:16,06:18,06:20,06:22,06:24,06:25,06:27,06:28,06:31,06:32,06:33,06:34,06:38
107,Mondays to Fridays,06:12,06:16,06:20,06:24,06:25,06:27,06:29,06:31,06:33,06:34,06:36,06:37,06:40,06:41,06:42,06:43,06:47
107,Mondays to Fridays,06:21,06:25,06:29,06:33,06:34,06:36,06:38,06:40,06:42,06:43,06:45,06:46,06:49,06:50,06:51,06:52,06:56
107,Mondays to Fridays,06:30,06:34,06:38,06:42,06:43,06:45,06:47,06:49,06:51,06:52,06:54,06:55,06:58,06:59,07:00,07:01,07:05
107,Mondays to Fridays,06:39,06:43,06:47,06:51,06:52,06:54,06:56,06:58,07:00,07:01,07:03,07:04,07:07,07:08,07:09,07:10,07:14
107,Mondays to Fridays,06:48,06:52,06:56,07:00,07:01,07:03,07:05,07:07,07:09,07:10,07:12,07:13,07:16,07:17,07:18,07:19,07:23
107,Mondays to Fridays,06:57,07:01,07:05,07:09,07:10,07:12,07:14,07:16,07:18,07:19,07:21,07:22,07:25,07:26,07:27,07:28,07:32
107,Mondays to Fridays,07:06,07:10,07:14,07:18,07:19,07:21,07:23,07:25,07:27,07:28,07:30,07:31,07:34,07:35,07:36,07:37,07:41
107,Mondays to Fridays,07:15,07:19,07:23,07:27,07:28,07:30,07:32,07:34,07:36,07:37,07:39,07:40,07:43,07:44,07:45,07:46,07:50
107,Mondays to Fridays,07:24,07:28,07:32,07:36,07:37,07:39,07:41,07:43,07:45,07:46,07:48,07:49,07:52,07:53,07:54,07:55,07:59
107,Mondays to Fridays,07:33,07:37,07:41,07:45,07:46,07:48,07:50,07:52,07:54,07:55,07:57,07:58,08:01,08:02,08:03,08:04,08:08
107,Mondays to Fridays,07:42,07:46,07:50,07:54,07:55,07:57,07:59,08:01,08:03,08:04,08:06,08:07,08:10,08:11,08:12,08:13,08:17
107,Mondays to Fridays,07:51,07:55,07:59,08:03,08:04,08:06,08:08,08:10,08:12,08:13,08:15,08:16,08:19,08:20,08:21,08:22,08:26
107,Mondays to Fridays,08:00,08:04,08:08,08:12,08:13,08:15,08:17,08:19,08:21,08:22,08:24,08:25,08:28,08:29,08:30,08:31,08:35
107,Mondays to Fridays,08:09,08:13,08:17,08:21,08:22,08:24,08:26,08:28,08:30,08:31,08:33,08:34,08:37,08:38,08:39,08:40,08:44
107,Mondays to Fridays,08:18,08:22,08:26,08:30,08:31,08:33,08:35,08:37,08:39,08:40,08:42,08:43,08:46,08:47,08:48,08:49,08:53
107,Mondays to Fridays,08:27,08:31,08:35,08:38,08:39,08:42,08:44,08:46,08:48,08:49,08:51,08:52,08:55,08:56,08:57,08:58,09:02
107,Mondays to Fridays,08:36,08:40,08:44,08:47,08:48,08:51,08:53,08:55,08:57,08:58,09:00,09:01,09:04,09:05,09:06,09:07,09:11
107,Mondays to Fridays,08:45,08:49,08:53,08:56,08:57,09:00,09:02,09:04,09:06,09:07,09:09,09:10,09:13,09:14,09:15,09:16,09:20
107,Mondays to Fridays,08:54,08:58,09:02,09:05,09:06,09:09,09:11,09:13,09:15,09:16,09:18,09:19,09:22,09:23,09:24,09:25,09:29
107,Mondays to Fridays,09:03,09:07,09:11,09:14,09:15,09:18,09:20,09:22,09:24,09:25,09:27,09:28,09:31,09:32,09:33,09:34,09:38
107,Mondays to Fridays,09:21,09:25,09:29,09:32,09:33,09:36,09:38,09:40,09:42,09:43,09:45,09:46,09:49,09:50,09:51,09:52,09:56
