route_number,day_type,Adderley Holding,Adderley,Riebeeck,Alfred,Gallows Hill,Upper Portswood,Wigtown,Hill,Ellerton,Camberwell,Sea Point High,Firmount,Sea Point,Arthurs,Clarens,Kei Apple,Tramway,Koosani,Bantry Bay,Clifton,Clifton 2nd,Clifton 3rd,Clifton 4th,Maidens Cove,Glen Beach,Camps Bay,Whale Rock,Barley Bay,Bakoven,Koel Bay,Oudekraal,Llandudno,Ruyterplaats,Mount Rhodes,Helgarda,Daphne,Lancaster,Oxford Earl,Lower Victoria,Northshore,Fishmarket,Atlantic Skipper,Oceana,Bayview,Marlin,Hangberg
108,Mondays to Fridays,,05:47,05:50,05:52,05:53,05:54,05:56,05:57,05:59,06:01,06:02,06:04,06:05,06:06,06:08,06:09,06:10,06:11,06:12,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:22,06:23,06:24,06:27,06:31,06:34,06:36,06:37,06:38,06:39,06:40,06:42,06:43,06:45,06:46,06:48,06:49,06:50,,
108,Mondays to Fridays,,06:05,06:08,06:10,06:11,06:12,06:14,06:15,06:17,06:19,06:20,06:22,06:23,06:24,06:26,06:27,06:28,06:29,06:30,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:40,06:41,06:42,06:45,06:49,06:52,06:54,06:55,06:56,06:57,06:58,07:00,07:01,07:03,07:04,07:06,07:07,07:08,,
108,Mondays to Fridays,,06:23,06:26,06:28,06:29,06:30,06:32,06:33,06:35,06:37,06:38,06:40,06:41,06:42,06:44,06:45,06:46,06:47,06:48,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:58,06:59,07:00,07:03,07:07,07:10,07:12,07:13,07:14,07:15,07:16,07:18,07:19,07:21,07:22,07:24,07:25,07:26,,
108,Mondays to Fridays,,06:37,06:40,06:42,06:43,06:44,06:46,06:47,06:49,06:51,06:52,06:54,06:55,06:56,06:58,06:59,07:00,07:01,07:02,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:12,07:13,07:14,07:17,07:21,07:24,07:26,07:27,07:28,07:29,07:30,07:32,07:33,07:35,07:36,07:38,07:39,07:40,,
108,Mondays to Fridays,06:49,06:53,06:56,06:58,06:59,07:00,07:02,07:03,07:05,07:07,07:08,07:10,07:11,07:12,07:14,07:15,07:16,07:17,07:18,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:28,07:29,07:30,07:33,07:37,07:40,07:42,07:43,07:44,07:45,07:46,07:48,07:49,07:51,07:52,07:54,07:55,07:56,,
108,Mondays to Fridays,07:07,07:11,07:14,07:16,07:17,07:18,07:20,07:21,07:23,07:25,07:26,07:28,07:29,07:30,07:32,07:33,07:34,07:35,07:36,07:38,07:39,07:40,07:41,07:42,07:43,07:44,07:46,07:47,07:48,07:51,07:55,07:58,08:00,08:01,08:02,08:03,08:04,08:06,08:07,08:09,08:10,08:12,08:13,08:14,,
108,Mondays to Fridays,07:25,07:29,07:32,07:34,07:35,07:36,07:38,07:39,07:41,07:43,07:44,07:46,07:47,07:48,07:50,07:51,07:52,07:53,07:54,07:56,07:57,07:58,07:59,08:00,08:01,08:02,08:04,08:05,08:06,08:09,08:13,08:16,08:18,08:19,08:20,08:21,08:22,08:24,08:25,08:27,08:28,08:30,08:31,08:32,,
108,Mondays to Fridays,07:43,07:47,07:50,07:52,07:53,07:54,07:56,07:57,07:59,08:01,08:02,08:04,08:05,08:06,08:08,08:09,08:10,08:11,08:12,08:14,08:15,08:16,08:17,08:18,08:19,08:20,08:22,08:23,08:24,08:27,08:31,08:34,08:36,08:37,08:38,08:39,08:40,08:42,08:43,08:45,08:46,08:48,08:49,08:50,,
108,Mondays to Fridays,08:01,08:05,08:08,08:10,08:11,08:12,08:14,08:15,08:17,08:19,08:20,08:22,08:23,08:24,08:26,08:27,08:28,08:29,08:30,08:32,08:33,08:34,08:35,08:36,08:37,08:38,08:40,08:41,08:42,08:45,08:49,08:52,08:54,08:55,08:56,08:57,08:58,09:00,09:01,09:03,09:04,09:06,09:07,09:08,,
108,Mondays to Fridays,08:19,08:23,08:26,08:28,08:29,08:30,08:32,08:33,08:35,08:37,08:38,08:40,08:41,08:42,08:44,08:45,08:46,08:47,08:48,08:50,08:51,08:52,08:53,08:54,08:55,08:56,08:58,08:59,09:00,09:03,09:07,09:10,09:12,09:13,09:14,09:15,09:16,09:18,09:19,09:21,09:22,09:24,09:25,09:26,,
108,Mondays to Fridays,08:37,08:41,08:44,08:46,08:47,08:48,08:50,08:51,08:53,08:55,08:56,08:58,08:59,09:00,09:02,09:03,09:04,09:05,09:06,09:08,09:09,09:10,09:11,09:12,09:13,09:14,09:16,09:17,09:18,09:21,09:25,09:28,09:30,09:31,09:32,09:33,09:34,09:36,09:37,09:39,09:40,09:42,09:43,09:44,,
108,Mondays to Fridays,08:55,08:59,09:02,09:04,09:05,09:06,09:08,09:09,09:11,09:13,09:14,09:16,09:17,09:18,09:20,09:21,09:22,09:23,09:24,09:26,09:27,09:28,09:29,09:30,09:31,09:32,09:34,09:35,09:36,09:39,09:43,09:46,09:48,09:49,09:50,09:51,09:52,09:54,09:55,09:57,09:58,10:00,10:01,10:02,,
108,Mondays to Fridays,,14:27,14:30,14:32,14:33,14:34,14:36,14:37,14:39,14:41,14:42,14:44,14:45,14:46,14:48,14:49,14:50,14:51,14:52,14:54,14:55,14:56,14:57,14:58,14:59,15:00,15:02,15:03,15:04,15:07,15:11,15:14,15:16,15:17,15:18,15:19,15:20,15:22,15:23,15:25,15:26,15:28,15:29,15:30,,
108,Mondays to Fridays,14:41,14:45,14:48,14:50,14:51,14:52,14:54,14:55,14:57,14:59,15:00,15:02,15:03,15:04,15:06,15:07,15:08,15:09,15:10,15:12,15:13,15:14,15:15,15:16,15:17,15:18,15:20,15:21,15:22,15:25,15:29,15:32,15:34,15:35,15:36,15:37,15:38,15:40,15:41,15:43,15:44,15:46,15:47,15:48,,
108,Mondays to Fridays,,15:03,15:06,15:08,15:09,15:10,15:12,15:13,15:15,15:17,15:18,15:20,15:21,15:22,15:24,15:25,15:26,15:27,15:28,15:30,15:31,15:32,15:33,15:34,15:35,15:36,15:38,15:39,15:40,15:43,15:47,15:50,15:52,15:53,15:54,15:55,15:56,15:58,15:59,16:01,16:02,16:04,16:05,16:06,,
108,Mondays to Fridays,15:17,15:21,15:24,15:26,15:27,15:28,15:30,15:31,15:33,15:35,15:36,15:38,15:39,15:40,15:42,15:43,15:44,15:45,15:46,15:48,15:49,15:50,15:51,15:52,15:53,15:54,15:56,15:57,15:58,16:01,16:05,16:08,16:10,16:11,16:12,16:13,16:14,16:16,16:17,16:19,16:20,16:22,16:23,16:24,,
108,Mondays to Fridays,,15:39,15:42,15:44,15:45,15:46,15:48,15:49,15:51,15:53,15:54,15:56,15:57,15:58,16:00,16:01,16:02,16:03,16:04,16:06,16:07,16:08,16:09,16:10,16:11,16:12,16:14,16:15,16:16,16:19,16:23,16:26,16:28,16:29,16:30,16:31,16:32,16:34,16:35,16:37,16:38,16:40,16:41,16:42,,
108,Mondays to Fridays,15:53,15:57,16:00,16:02,16:03,16:04,16:06,16:07,16:09,16:11,16:12,16:14,16:15,16:16,16:18,16:19,16:20,16:21,16:22,16:24,16:25,16:26,16:27,16:28,16:29,16:30,16:32,16:33,16:34,16:37,16:41,16:44,16:46,16:47,16:48,16:49,16:50,16:52,16:53,16:55,16:56,16:58,16:59,17:00,,
108,Mondays to Fridays,,16:15,16:18,16:20,16:21,16:22,16:24,16:25,16:27,16:29,16:30,16:32,16:33,16:34,16:36,16:37,16:38,16:39,16:40,16:42,16:43,16:44,16:45,16:46,16:47,16:48,16:50,16:51,16:52,16:55,16:59,17:02,17:04,17:05,17:06,17:07,17:08,17:10,17:11,17:13,17:14,17:16,17:17,17:18,,
108,Mondays to Fridays,16:29,16:33,16:36,16:38,16:39,16:40,16:42,16:43,16:45,16:47,16:48,16:50,16:51,16:52,16:54,16:55,16:56,16:57,16:58,17:00,17:01,17:02,17:03,17:04,17:05,17:06,17:08,17:09,17:10,17:13,17:17,17:20,17:22,17:23,17:24,17:25,17:26,17:28,17:29,17:31,17:32,17:34,17:35,17:36,,
108,Mondays to Fridays,16:51,16:55,16:58,17:00,17:01,17:02,17:04,17:05,17:07,17:09,17:10,17:12,17:13,17:14,17:16,17:17,17:18,17:19,17:20,17:22,17:23,17:24,17:25,17:26,17:27,17:28,17:30,17:31,17:32,17:35,17:39,17:42,17:44,17:45,17:46,17:47,17:48,17:50,17:51,17:53,17:54,17:56,17:57,17:58,,
108,Mondays to Fridays,17:08,17:12,17:15,17:17,17:18,17:19,17:21,17:22,17:24,17:26,17:27,17:29,17:30,17:31,17:33,17:34,17:35,17:36,17:37,17:39,17:40,17:41,17:42,17:43,17:44,17:45,17:47,17:48,17:49,17:52,17:56,17:59,18:01,18:02,18:03,18:04,18:05,18:07,18:08,18:10,18:11,18:13,18:14,18:15,,
108,Mondays to Fridays,17:26,17:30,17:33,17:35,17:36,17:37,17:39,17:40,17:42,17:44,17:45,17:47,17:48,17:49,17:51,17:52,17:53,17:54,17:55,17:57,17:58,17:59,18:00,18:01,18:02,18:03,18:05,18:06,18:07,18:10,18:14,18:17,18:19,18:20,18:21,18:22,18:23,18:25,18:26,18:28,18:29,18:31,18:32,18:33,,
108,Mondays to Fridays,17:45,17:49,17:52,17:54,17:55,17:56,17:58,17:59,18:01,18:03,18:04,18:06,18:07,18:08,18:10,18:11,18:12,18:13,18:14,18:16,18:17,18:18,18:19,18:20,18:21,18:22,18:24,18:25,18:26,18:29,18:33,18:36,18:38,18:39,18:40,18:41,18:42,18:44,18:45,18:47,18:48,18:50,18:51,18:52,,
108,Mondays to Fridays,18:03,18:07,18:10,18:12,18:13,18:14,18:16,18:17,18:19,18:21,18:22,18:24,18:25,18:26,18:28,18:29,18:30,18:31,18:32,18:34,18:35,18:36,18:37,18:38,18:39,18:40,18:42,18:43,18:44,18:47,18:51,18:54,18:56,18:57,18:58,18:59,19:00,19:02,19:03,19:05,19:06,19:08,19:09,19:10,,
108,Mondays to Fridays,18:21,18:25,18:28,18:30,18:31,18:32,18:34,18:35,18:37,18:39,18:40,18:42,18:43,18:44,18:46,18:47,18:48,18:49,18:50,18:52,18:53,18:54,18:55,18:56,18:57,18:58,19:00,19:01,19:02,19:05,19:09,19:12,19:14,19:15,19:16,19:17,19:18,19:20,19:21,19:23,19:24,19:26,19:27,19:28,,
108,Mondays to Fridays,18:39,18:43,18:46,18:48,18:49,18:50,18:52,18:53,18:55,18:57,18:58,19:00,19:01,19:02,19:04,19:05,19:06,19:07,19:08,19:10,19:11,19:12,19:13,19:14,19:15,19:16,19:18,19:19,19:20,19:23,19:27,19:30,19:32,19:33,19:34,19:35,19:36,19:38,19:39,19:41,19:42,19:44,19:45,19:46,,
