route_number,day_type,Wexford,St James,Gardenia,Nazareth,Gardens,Roodehek,Roeland,Lower Buitenkant,Lower Plein,Adderley,Civic Centre
111,Mondays to Fridays,06:44,06:45,06:47,06:48,06:51,06:58,06:59,07:01,07:05,07:10,07:15
111,Mondays to Fridays,07:44,07:45,07:47,07:48,07:51,07:58,07:59,08:01,08:05,08:10,08:15
111,Mondays to Fridays,08:44,08:45,08:47,08:48,08:51,08:58,08:59,09:01,09:05,09:10,09:15
111,Mondays to Fridays,09:44,09:45,09:47,09:48,09:51,09:58,09:59,10:01,10:05,10:10,10:15
111,Mondays to Fridays,10:44,10:45,10:47,10:48,10:51,10:58,10:59,11:01,11:05,11:10,11:15
111,Mondays to Fridays,11:44,11:45,11:47,11:48,11:51,11:58,11:59,12:01,12:05,12:10,12:15
111,Mondays to Fridays,12:44,12:45,12:47,12:48,12:51,12:58,12:59,13:01,13:05,13:10,13:15
111,Mondays to Fridays,13:44,13:45,13:47,13:48,13:51,13:58,13:59,14:01,14:05,14:10,14:15
111,Mondays to Fridays,14:44,14:45,14:47,14:48,14:51,14:58,14:59,15:01,15:05,15:10,15:15
111,Mondays to Fridays,15:44,15:45,15:47,15:48,15:51,15:58,15:59,16:01,16:05,16:10,16:15
111,Mondays to Fridays,16:44,16:45,16:47,16:48,16:51,16:58,16:59,17:01,17:05,17:10,17:15
111,Mondays to Fridays,17:44,17:45,17:47,17:48,17:51,17:58,17:59,18:01,18:05,18:10,18:15
111,Mondays to Fridays,18:44,18:45,18:47,18:48,18:51,18:58,18:59,19:01,19:05,19:10,19:15
111,Mondays to Fridays,19:44,19:45,19:47,19:48,19:51,19:58,19:59,20:01,20:05,20:10,20:15
111,Saturdays,06:44,06:45,06:47,06:48,06:51,06:58,06:59,07:01,07:05,07:10,07:15
111,Saturdays,07:44,07:45,07:47,07:48,07:51,07:58,07:59,08:01,08:05,08:10,08:15
111,Saturdays,08:44,08:45,08:47,08:48,08:51,08:58,08:59,09:01,09:05,09:10,09:15
111,Saturdays,09:44,09:45,09:47,09:48,09:51,09:58,09:59,10:01,10:05,10:10,10:15
111,Saturdays,10:44,10:45,10:47,10:48,10:51,10:58,10:59,11:01,11:05,11:10,11:15
111,Saturdays,11:44,11:45,11:47,11:48,11:51,11:58,11:59,12:01,12:05,12:10,12:15
111,Saturdays,12:44,12:45,12:47,12:48,12:51,12:58,12:59,13:01,13:05,13:10,13:15
111,Saturdays,13:44,13:45,13:47,13:48,13:51,13:58,13:59,14:01,14:05,14:10,14:15
111,Saturdays,14:44,14:45,14:47,14:48,14:51,14:58,14:59,15:01,15:05,15:10,15:15
111,Saturdays,15:44,15:45,15:47,15:48,15:51,15:58,15:59,16:01,16:05,16:10,16:15
111,Saturdays,16:44,16:45,16:47,16:48,16:51,16:58,16:59,17:01,17:05,17:10,17:15
111,Saturdays,17:44,17:45,17:47,17:48,17:51,17:58,17:59,18:01,18:05,18:10,18:15
111,Saturdays,18:44,18:45,18:47,18:48,18:51,18:58,18:59,19:01,19:05,19:10,19:15
111,Saturdays,19:44,19:45,19:47,19:48,19:51,19:58,19:59,20:01,20:05,20:10,20:15
111,Sundays and Public Holidays,06:44,06:45,06:47,06:48,06:51,06:58,06:59,07:01,07:05,07:10,07:15
111,Sundays and Public Holidays,07:44,07:45,07:47,07:48,07:51,07:58,07:59,08:01,08:05,08:10,08:15
111,Sundays and Public Holidays,08:44,08:45,08:47,08:48,08:51,08:58,08:59,09:01,09:05,09:10,09:15
111,Sundays and Public Holidays,09:44,09:45,09:47,09:48,09:51,09:58,09:59,10:01,10:05,10:10,10:15
111,Sundays and Public Holidays,10:44,10:45,10:47,10:48,10:51,10:58,10:59,11:01,11:05,11:10,11:15
111,Sundays and Public Holidays,11:44,11:45,11:47,11:48,11:51,11:58,11:59,12:01,12:05,12:10,12:15
111,Sundays and Public Holidays,12:44,12:45,12:47,12:48,12:51,12:58,12:59,13:01,13:05,13:10,13:15
111,Sundays and Public Holidays,13:44,13:45,13:47,13:48,13:51,13:58,13:59,14:01,14:05,14:10,14:15
111,Sundays and Public Holidays,14:44,14:45,14:47,14:48,14:51,14:58,14:59,15:01,15:05,15:10,15:15
111,Sundays and Public Holidays,15:44,15:45,15:47,15:48,15:51,15:58,15:59,16:01,16:05,16:10,16:15
111,Sundays and Public Holidays,16:44,16:45,16:47,16:48,16:51,16:58,16:59,17:01,17:05,17:10,17:15
111,Sundays and Public Holidays,17:44,17:45,17:47,17:48,17:51,17:58,17:59,18:01,18:05,18:10,18:15
111,Sundays and Public Holidays,18:44,18:45,18:47,18:48,18:51,18:58,18:59,19:01,19:05,19:10,19:15
111,Sundays and Public Holidays,19:44,19:45,19:47,19:48,19:51,19:58,19:59,20:01,20:05,20:10,20:15
