route_number,day_type,Kew,Upper Kloof,Welgemeend,Union,Lower Kloof,Upper Loop,Leeuwen,Groote Kerk,Darling,Lower Plein,Adderley,Old Breakwater Prison,Portswood,Breakwater,Waterfront
113,Mondays to Fridays,06:49,06:51,06:52,06:54,06:56,06:58,06:59,07:03,07:05,07:06,07:09,07:16,07:17,07:19,07:21
113,Mondays to Fridays,07:59,08:01,08:02,08:04,08:06,08:08,08:09,08:13,08:15,08:16,08:19,08:26,08:27,08:29,08:31
113,Mondays to Fridays,09:09,09:11,09:12,09:14,09:16,09:18,09:19,09:23,09:25,09:26,09:29,09:36,09:37,09:39,09:41
113,Mondays to Fridays,10:19,10:21,10:22,10:24,10:26,10:28,10:29,10:33,10:35,10:36,10:39,10:46,10:47,10:49,10:51
113,Mondays to Fridays,11:29,11:31,11:32,11:34,11:36,11:38,11:39,11:43,11:45,11:46,11:49,11:56,11:57,11:59,12:01
113,Mondays to Fridays,12:39,12:41,12:42,12:44,12:46,12:48,12:49,12:53,12:55,12:56,12:59,13:06,13:07,13:09,13:11
113,Mondays to Fridays,13:49,13:51,13:52,13:54,13:56,13:58,13:59,14:03,14:05,14:06,14:09,14:16,14:17,14:19,14:21
113,Mondays to Fridays,14:59,15:01,15:02,15:04,15:06,15:08,15:09,15:13,15:15,15:16,15:19,15:26,15:27,15:29,15:31
113,Mondays to Fridays,16:09,16:11,16:12,16:14,16:16,16:18,16:19,16:23,16:25,16:26,16:29,16:36,16:37,16:39,16:41
113,Mondays to Fridays,17:19,17:21,17:22,17:24,17:26,17:28,17:29,17:33,17:35,17:36,17:39,17:46,17:47,17:49,17:51
113,Mondays to Fridays,18:29,18:31,18:32,18:34,18:36,18:38,18:39,18:43,18:45,18:46,18:49,18:56,18:57,18:59,19:01
113,Mondays to Fridays,19:39,19:41,19:42,19:44,19:46,19:48,19:49,19:53,19:55,19:56,19:59,20:06,20:07,20:09,20:11
113,Mondays to Fridays,20:49,20:51,20:52,20:54,20:56,20:58,20:59,21:03,21:05,21:06,21:09,,,,
113,Saturdays,06:49,06:51,06:52,06:54,06:56,06:58,06:59,07:03,07:05,07:06,07:09,07:16,07:17,07:19,07:21
113,Saturdays,07:59,08:01,08:02,08:04,08:06,08:08,08:09,08:13,08:15,08:16,08:19,08:26,08:27,08:29,08:31
113,Saturdays,09:09,09:11,09:12,09:14,09:16,09:18,09:19,09:23,09:25,09:26,09:29,09:36,09:37,09:39,09:41
113,Saturdays,10:19,10:21,10:22,10:24,10:26,10:28,10:29,10:33,10:35,10:36,10:39,10:46,10:47,10:49,10:51
113,Saturdays,11:29,11:31,11:32,11:34,11:36,11:38,11:39,11:43,11:45,11:46,11:49,11:56,11:57,11:59,12:01
113,Saturdays,12:39,12:41,12:42,12:44,12:46,12:48,12:49,12:53,12:55,12:56,12:59,13:06,13:07,13:09,13:11
113,Saturdays,13:49,13:51,13:52,13:54,13:56,13:58,13:59,14:03,14:05,14:06,14:09,14:16,14:17,14:19,14:21
113,Saturdays,14:59,15:01,15:02,15:04,15:06,15:08,15:09,15:13,15:15,15:16,15:19,15:26,15:27,15:29,15:31
113,Saturdays,16:09,16:11,16:12,16:14,16:16,16:18,16:19,16:23,16:25,16:26,16:29,16:36,16:37,16:39,16:41
113,Saturdays,17:19,17:21,17:22,17:24,17:26,17:28,17:29,17:33,17:35,17:36,17:39,17:46,17:47,17:49,17:51
113,Saturdays,18:29,18:31,18:32,18:34,18:36,18:38,18:39,18:43,18:45,18:46,18:49,18:56,18:57,18:59,19:01
113,Saturdays,19:39,19:41,19:42,19:44,19:46,19:48,19:49,19:53,19:55,19:56,19:59,20:06,20:07,20:09,20:11
113,Saturdays,20:49,20:51,20:52,20:54,20:56,20:58,20:59,21:03,21:05,21:06,21:09,,,,
113,Sundays and Public Holidays,06:49,06:51,06:52,06:54,06:56,06:58,06:59,07:03,07:05,07:06,07:09,07:16,07:17,07:19,07:21
113,Sundays and Public Holidays,07:59,08:01,08:02,08:04,08:06,08:08,08:09,08:13,08:15,08:16,08:19,08:26,08:27,08:29,08:31
113,Sundays and Public Holidays,09:09,09:11,09:12,09:14,09:16,09:18,09:19,09:23,09:25,09:26,09:29,09:36,09:37,09:39,09:41
113,Sundays and Public Holidays,10:19,10:21,10:22,10:24,10:26,10:28,10:29,10:33,10:35,10:36,10:39,10:46,10:47,10:49,10:51
113,Sundays and Public Holidays,11:29,11:31,11:32,11:34,11:36,11:38,11:39,11:43,11:45,11:46,11:49,11:56,11:57,11:59,12:01
113,Sundays and Public Holidays,12:39,12:41,12:42,12:44,12:46,12:48,12:49,12:53,12:55,12:56,12:59,13:06,13:07,13:09,13:11
113,Sundays and Public Holidays,13:49,13:51,13:52,13:54,13:56,13:58,13:59,14:03,14:05,14:06,14:09,14:16,14:17,14:19,14:21
113,Sundays and Public Holidays,14:59,15:01,15:02,15:04,15:06,15:08,15:09,15:13,15:15,15:16,15:19,15:26,15:27,15:29,15:31
113,Sundays and Public Holidays,16:09,16:11,16:12,16:14,16:16,16:18,16:19,16:23,16:25,16:26,16:29,16:36,16:37,16:39,16:41
