route_number,day_type,Adderley Holding,Adderley,Riebeeck,Alfred,Gallows Hill,Upper Portswood,Wigtown,Hill,Ellerton,Camberwell,Sea Point High,Firmount,Sea Point,Arthurs,Clarens,Kei Apple,Tramway,Koosani,Bantry Bay,Clifton,Clifton 2nd,Clifton 3rd,Clifton 4th,Maidens Cove,Glen Beach,Camps Bay,Whale Rock,Barley Bay,Bakoven,Koel Bay,Oudekraal,Llandudno,Ruyterplaats,Mount Rhodes,Helgarda,Valley,Imizamo Yethu,Valley,Daphne,Lancaster,Oxford Earl,Lower Victoria,Northshore,Fishmarket,Atlantic Skipper,Oceana,Bayview
118,Mondays to Fridays,09:13,09:17,09:20,09:22,09:23,09:24,09:26,09:27,09:29,09:31,09:32,09:34,09:35,09:36,09:38,09:39,09:40,09:41,09:42,09:44,09:45,09:46,09:47,09:48,09:49,09:50,09:52,09:53,09:54,09:57,10:01,10:04,10:06,10:07,10:08,10:09,10:11,10:09,10:14,10:16,10:18,10:19,10:21,10:22,10:23,10:24,10:25
118,Mondays to Fridays,09:49,09:53,09:56,09:58,09:59,10:00,10:02,10:03,10:05,10:07,10:08,10:10,10:11,10:12,10:14,10:15,10:16,10:17,10:18,10:20,10:21,10:22,10:23,10:24,10:25,10:26,10:28,10:29,10:30,10:33,10:37,10:40,10:42,10:43,10:44,10:45,10:47,10:45,10:50,10:52,10:54,10:55,10:57,10:58,10:59,11:00,11:01
118,Mondays to Fridays,10:25,10:29,10:32,10:34,10:35,10:36,10:38,10:39,10:41,10:43,10:44,10:46,10:47,10:48,10:50,10:51,10:52,10:53,10:54,10:56,10:57,10:58,10:59,11:00,11:01,11:02,11:04,11:05,11:06,11:09,11:13,11:16,11:18,11:19,11:20,11:21,11:23,11:21,11:26,11:28,11:30,11:31,11:33,11:34,11:35,11:36,11:37
118,Mondays to Fridays,11:01,11:05,11:08,11:10,11:11,11:12,11:14,11:15,11:17,11:19,11:20,11:22,11:23,11:24,11:26,11:27,11:28,11:29,11:30,11:32,11:33,11:34,11:35,11:36,11:37,11:38,11:40,11:41,11:42,11:45,11:49,11:52,11:54,11:55,11:56,11:57,11:59,11:57,12:02,12:04,12:06,12:07,12:09,12:10,12:11,12:12,12:13
118,Mondays to Fridays,11:37,11:41,11:44,11:46,11:47,11:48,11:50,11:51,11:53,11:55,11:56,11:58,11:59,12:00,12:02,12:03,12:04,12:05,12:06,12:08,12:09,12:10,12:11,12:12,12:13,12:14,12:16,12:17,12:18,12:21,12:25,12:28,12:30,12:31,12:32,12:33,12:35,12:33,12:38,12:40,12:42,12:43,12:45,12:46,12:47,12:48,12:49
118,Mondays to Fridays,12:13,12:17,12:20,12:22,12:23,12:24,12:26,12:27,12:29,12:31,12:32,12:34,12:35,12:36,12:38,12:39,12:40,12:41,12:42,12:44,12:45,12:46,12:47,12:48,12:49,12:50,12:52,12:53,12:54,12:57,13:01,13:04,13:06,13:07,13:08,13:09,13:11,13:09,13:14,13:16,13:18,13:19,13:21,13:22,13:23,13:24,13:25
118,Mondays to Fridays,12:49,12:53,12:56,12:58,12:59,13:00,13:02,13:03,13:05,13:07,13:08,13:10,13:11,13:12,13:14,13:15,13:16,13:17,13:18,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:28,13:29,13:30,13:33,13:37,13:40,13:42,13:43,13:44,13:45,13:47,13:45,13:50,13:52,13:54,13:55,13:57,13:58,13:59,14:00,14:01
118,Mondays to Fridays,13:25,13:29,13:32,13:34,13:35,13:36,13:38,13:39,13:41,13:43,13:44,13:46,13:47,13:48,13:50,13:51,13:52,13:53,13:54,13:56,13:57,13:58,13:59,14:00,14:01,14:02,14:04,14:05,14:06,14:09,14:13,14:16,14:18,14:19,14:20,14:21,14:23,14:21,14:26,14:28,14:30,14:31,14:33,14:34,14:35,14:36,14:37
118,Mondays to Fridays,14:01,14:05,14:08,14:10,14:11,14:12,14:14,14:15,14:17,14:19,14:20,14:22,14:23,14:24,14:26,14:27,14:28,14:29,14:30,14:32,14:33,14:34,14:35,14:36,14:37,14:38,14:40,14:41,14:42,14:45,14:49,14:52,14:54,14:55,14:56,14:57,14:59,14:57,15:02,15:04,15:06,15:07,15:09,15:10,15:11,15:12,15:13
118,Saturdays,,05:42,05:45,05:47,05:48,05:49,05:51,05:52,05:54,05:56,05:57,05:59,06:01,06:02,06:04,06:05,06:07,06:08,06:09,06:11,06:13,06:14,06:16,06:17,06:18,06:19,06:21,06:22,06:23,06:26,06:30,06:33,06:35,06:36,06:37,06:38,06:40,06:38,06:43,06:45,06:47,06:48,06:50,06:51,06:52,06:53,06:54
118,Saturdays,,06:20,06:23,06:25,06:26,06:27,06:29,06:30,06:32,06:34,06:35,06:37,06:39,06:40,06:42,06:43,06:45,06:46,06:47,06:49,06:51,06:52,06:54,06:55,06:56,06:57,06:59,07:00,07:01,07:04,07:08,07:11,07:13,07:14,07:15,07:16,07:18,07:16,07:21,07:23,07:25,07:26,07:28,07:29,07:30,07:31,07:32
118,Saturdays,06:54,06:58,07:01,07:03,07:04,07:05,07:07,07:08,07:10,07:12,07:13,07:15,07:17,07:18,07:20,07:21,07:23,07:24,07:25,07:27,07:29,07:30,07:32,07:33,07:34,07:35,07:37,07:38,07:39,07:42,07:46,07:49,07:51,07:52,07:53,07:54,07:56,07:54,07:59,08:01,08:03,08:04,08:06,08:07,08:08,08:09,08:10
118,Saturdays,07:32,07:36,07:39,07:41,07:42,07:43,07:45,07:46,07:48,07:50,07:51,07:53,07:55,07:56,07:58,07:59,08:01,08:02,08:03,08:05,08:07,08:08,08:10,08:11,08:12,08:13,08:15,08:16,08:17,08:20,08:24,08:27,08:29,08:30,08:31,08:32,08:34,08:32,08:37,08:39,08:41,08:42,08:44,08:45,08:46,08:47,08:48
118,Saturdays,08:10,08:14,08:17,08:19,08:20,08:21,08:23,08:24,08:26,08:28,08:29,08:31,08:33,08:34,08:36,08:37,08:39,08:40,08:41,08:43,08:45,08:46,08:48,08:49,08:50,08:51,08:53,08:54,08:55,08:58,09:02,09:05,09:07,09:08,09:09,09:10,09:12,09:10,09:15,09:17,09:19,09:20,09:22,09:23,09:24,09:25,09:26
118,Saturdays,08:48,08:52,08:55,08:57,08:58,08:59,09:01,09:02,09:04,09:06,09:07,09:09,09:11,09:12,09:14,09:15,09:17,09:18,09:19,09:21,09:23,09:24,09:26,09:27,09:28,09:29,09:31,09:32,09:33,09:36,09:40,09:43,09:45,09:46,09:47,09:48,09:50,09:48,09:53,09:55,09:57,09:58,10:00,10:01,10:02,10:03,10:04
118,Saturdays,09:26,09:30,09:33,09:35,09:36,09:37,09:39,09:40,09:42,09:44,09:45,09:47,09:49,09:50,09:52,09:53,09:55,09:56,09:57,09:59,10:01,10:02,10:04,10:05,10:06,10:07,10:09,10:10,10:11,10:14,10:18,10:21,10:23,10:24,10:25,10:26,10:28,10:26,10:31,10:33,10:35,10:36,10:38,10:39,10:40,10:41,10:42
118,Saturdays,10:04,10:08,10:11,10:13,10:14,10:15,10:17,10:18,10:20,10:22,10:23,10:25,10:27,10:28,10:30,10:31,10:33,10:34,10:35,10:37,10:39,10:40,10:42,10:43,10:44,10:45,10:47,10:48,10:49,10:52,10:56,10:59,11:01,11:02,11:03,11:04,11:06,11:04,11:09,11:11,11:13,11:14,11:16,11:17,11:18,11:19,11:20
118,Saturdays,10:42,10:46,10:49,10:51,10:52,10:53,10:55,10:56,10:58,11:00,11:01,11:03,11:05,11:06,11:08,11:09,11:11,11:12,11:13,11:15,11:17,11:18,11:20,11:21,11:22,11:23,11:25,11:26,11:27,11:30,11:34,11:37,11:39,11:40,11:41,11:42,11:44,11:42,11:47,11:49,11:51,11:52,11:54,11:55,11:56,11:57,11:58
118,Saturdays,11:20,11:24,11:27,11:29,11:30,11:31,11:33,11:34,11:36,11:38,11:39,11:41,11:43,11:44,11:46,11:47,11:49,11:50,11:51,11:53,11:55,11:56,11:58,11:59,12:00,12:01,12:03,12:04,12:05,12:08,12:12,12:15,12:17,12:18,12:19,12:20,12:22,12:20,12:25,12:27,12:29,12:30,12:32,12:33,12:34,12:35,12:36
118,Saturdays,11:58,12:02,12:05,12:07,12:08,12:09,12:11,12:12,12:14,12:16,12:17,12:19,12:21,12:22,12:24,12:25,12:27,12:28,12:29,12:31,12:33,12:34,12:36,12:37,12:38,12:39,12:41,12:42,12:43,12:46,12:50,12:53,12:55,12:56,12:57,12:58,13:00,12:58,13:03,13:05,13:07,13:08,13:10,13:11,13:12,13:13,13:14
118,Saturdays,12:36,12:40,12:43,12:45,12:46,12:47,12:49,12:50,12:52,12:54,12:55,12:57,12:59,13:00,13:02,13:03,13:05,13:06,13:07,13:09,13:11,13:12,13:14,13:15,13:16,13:17,13:19,13:20,13:21,13:24,13:28,13:31,13:33,13:34,13:35,13:36,13:38,13:36,13:41,13:43,13:45,13:46,13:48,13:49,13:50,13:51,13:52
118,Saturdays,13:14,13:18,13:21,13:23,13:24,13:25,13:27,13:28,13:30,13:32,13:33,13:35,13:37,13:38,13:40,13:41,13:43,13:44,13:45,13:47,13:49,13:50,13:52,13:53,13:54,13:55,13:57,13:58,13:59,14:02,14:06,14:09,14:11,14:12,14:13,14:14,14:16,14:14,14:19,14:21,14:23,14:24,14:26,14:27,14:28,14:29,14:30
118,Saturdays,13:52,13:56,13:59,14:01,14:02,14:03,14:05,14:06,14:08,14:10,14:11,14:13,14:15,14:16,14:18,14:19,14:21,14:22,14:23,14:25,14:27,14:28,14:30,14:31,14:32,14:33,14:35,14:36,14:37,14:40,14:44,14:47,14:49,14:50,14:51,14:52,14:54,14:52,14:57,14:59,15:01,15:02,15:04,15:05,15:06,15:07,15:08
118,Saturdays,14:30,14:34,14:37,14:39,14:40,14:41,14:43,14:44,14:46,14:48,14:49,14:51,14:53,14:54,14:56,14:57,14:59,15:00,15:01,15:03,15:05,15:06,15:08,15:09,15:10,15:11,15:13,15:14,15:15,15:18,15:22,15:25,15:27,15:28,15:29,15:30,15:32,15:30,15:35,15:37,15:39,15:40,15:42,15:43,15:44,15:45,15:46
118,Saturdays,15:08,15:12,15:15,15:17,15:18,15:19,15:21,15:22,15:24,15:26,15:27,15:29,15:31,15:32,15:34,15:35,15:37,15:38,15:39,15:41,15:43,15:44,15:46,15:47,15:48,15:49,15:51,15:52,15:53,15:56,16:00,16:03,16:05,16:06,16:07,16:08,16:10,16:08,16:13,16:15,16:17,16:18,16:20,16:21,16:22,16:23,16:24
118,Saturdays,15:46,15:50,15:53,15:55,15:56,15:57,15:59,16:00,16:02,16:04,16:05,16:07,16:09,16:10,16:12,16:13,16:15,16:16,16:17,16:19,16:21,16:22,16:24,16:25,16:26,16:27,16:29,16:30,16:31,16:34,16:38,16:41,16:43,16:44,16:45,16:46,16:48,16:46,16:51,16:53,16:55,16:56,16:58,16:59,17:00,17:01,17:02
118,Saturdays,16:24,16:28,16:31,16:33,16:34,16:35,16:37,16:38,16:40,16:42,16:43,16:45,16:47,16:48,16:50,16:51,16:53,16:54,16:55,16:57,16:59,17:00,17:02,17:03,17:04,17:05,17:07,17:08,17:09,17:12,17:16,17:19,17:21,17:22,17:23,17:24,17:26,17:24,17:29,17:31,17:33,17:34,17:36,17:37,17:38,17:39,17:40
