route_number,day_type,Blaauwberg Hospital_,Waterville,Nantucket,Valderrama,Garden,St Johns Wood,Parklands Main South,Echium,Briza,Table View,Popham,Tritonia,Viola,Blouberg Rise,Stirling,West Beach,Cabin,Blouberg Sands,Radar,Tryall,Oakland Hills,Blaauwberg Hospital
213,Mondays to Fridays,06:25,06:26,06:27,06:28,06:29,06:31,06:32,06:33,06:34,06:38,06:40,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:51,06:52,06:55
213,Mondays to Fridays,07:00,07:01,07:02,07:03,07:04,07:06,07:07,07:08,07:09,07:13,07:15,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:26,07:27,07:30
213,Mondays to Fridays,07:35,07:36,07:37,07:38,07:39,07:41,07:42,07:43,07:44,07:48,07:50,07:52,07:53,07:54,07:55,07:56,07:57,07:58,07:59,08:01,08:02,08:05
213,Mondays to Fridays,08:10,08:11,08:12,08:13,08:14,08:16,08:17,08:18,08:19,08:23,08:25,08:27,08:28,08:29,08:30,08:31,08:32,08:33,08:34,08:36,08:37,08:40
213,Mondays to Fridays,08:45,08:46,08:47,08:48,08:49,08:51,08:52,08:53,08:54,08:58,09:00,09:02,09:03,09:04,09:05,09:06,09:07,09:08,09:09,09:11,09:12,09:15
213,Mondays to Fridays,09:20,09:21,09:22,09:23,09:24,09:26,09:27,09:28,09:29,09:33,09:35,09:40,09:41,09:42,09:43,09:44,09:45,09:47,09:49,09:50,09:51,09:54
213,Mondays to Fridays,09:55,09:56,09:57,09:58,09:59,10:01,10:02,10:03,10:04,10:08,10:10,10:15,10:16,10:17,10:18,10:19,10:20,10:22,10:24,10:25,10:26,10:29
213,Mondays to Fridays,10:30,10:31,10:32,10:33,10:34,10:36,10:37,10:38,10:39,10:43,10:45,10:50,10:51,10:52,10:53,10:54,10:55,10:57,10:59,11:00,11:01,11:04
213,Mondays to Fridays,11:05,11:06,11:07,11:08,11:09,11:11,11:12,11:13,11:14,11:18,11:20,11:25,11:26,11:27,11:28,11:29,11:30,11:32,11:34,11:35,11:36,11:39
213,Mondays to Fridays,11:40,11:41,11:42,11:43,11:44,11:46,11:47,11:48,11:49,11:53,11:55,12:00,12:01,12:02,12:03,12:04,12:05,12:07,12:09,12:10,12:11,12:14
213,Mondays to Fridays,12:15,12:16,12:17,12:18,12:19,12:21,12:22,12:23,12:24,12:28,12:30,12:35,12:36,12:37,12:38,12:39,12:40,12:42,12:44,12:45,12:46,12:49
213,Mondays to Fridays,12:50,12:51,12:52,12:53,12:54,12:56,12:57,12:58,12:59,13:03,13:05,13:10,13:11,13:12,13:13,13:14,13:15,13:17,13:19,13:20,13:21,13:24
213,Mondays to Fridays,13:25,13:26,13:27,13:28,13:29,13:31,13:32,13:33,13:34,13:38,13:40,13:45,13:46,13:47,13:48,13:49,13:50,13:52,13:54,13:55,13:56,13:59
213,Mondays to Fridays,14:00,14:03,14:04,14:05,14:06,14:08,14:08,14:09,14:10,14:16,14:18,14:20,14:21,14:22,14:23,14:24,14:25,14:26,14:28,14:30,14:31,14:34
213,Mondays to Fridays,14:35,14:38,14:39,14:40,14:41,14:43,14:43,14:44,14:45,14:51,14:53,14:55,14:56,14:57,14:58,14:59,15:00,15:01,15:03,15:05,15:06,15:09
213,Mondays to Fridays,15:10,15:12,15:14,15:15,15:16,15:18,15:19,15:20,15:21,15:25,15:26,15:28,15:29,15:30,15:31,15:32,15:33,15:34,15:36,15:37,15:38,15:39
213,Mondays to Fridays,15:45,15:47,15:49,15:50,15:51,15:53,15:54,15:55,15:56,16:00,16:01,16:03,16:04,16:05,16:06,16:07,16:08,16:09,16:11,16:12,16:13,16:14
213,Mondays to Fridays,16:20,16:22,16:24,16:25,16:26,16:28,16:29,16:30,16:31,16:35,16:36,16:38,16:39,16:40,16:41,16:42,16:43,16:44,16:46,16:47,16:48,16:49
213,Mondays to Fridays,16:55,16:57,16:59,17:00,17:01,17:03,17:04,17:05,17:06,17:10,17:11,17:13,17:14,17:15,17:16,17:17,17:18,17:19,17:21,17:22,17:23,17:24
213,Mondays to Fridays,17:30,17:32,17:34,17:35,17:36,17:38,17:39,17:40,17:41,17:45,17:46,17:48,17:49,17:50,17:51,17:52,17:53,17:54,17:56,17:57,17:58,17:59
213,Mondays to Fridays,18:05,18:07,18:08,18:09,18:10,18:12,18:13,18:14,18:15,18:20,18:22,18:24,18:25,18:26,18:27,18:28,18:29,18:30,18:32,18:33,18:34,18:35
213,Mondays to Fridays,18:40,18:42,18:43,18:44,18:45,18:47,18:48,18:49,18:50,18:55,18:57,18:59,19:00,19:01,19:02,19:03,19:04,19:05,19:07,19:08,19:09,19:10
213,Mondays to Fridays,19:12,19:13,19:14,19:15,19:16,19:18,19:18,19:19,19:20,19:24,19:26,19:28,19:29,19:30,19:31,19:32,19:33,19:34,19:35,19:36,19:37,19:38
213,Saturdays,06:25,06:26,06:27,06:28,06:29,06:31,06:32,06:33,06:34,06:38,06:40,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:51,06:52,06:55
213,Saturdays,07:00,07:01,07:02,07:03,07:04,07:06,07:07,07:08,07:09,07:13,07:15,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:26,07:27,07:30
213,Saturdays,07:35,07:36,07:37,07:38,07:39,07:41,07:42,07:43,07:44,07:48,07:50,07:52,07:53,07:54,07:55,07:56,07:57,07:58,07:59,08:01,08:02,08:05
213,Saturdays,08:10,08:11,08:12,08:13,08:14,08:16,08:17,08:18,08:19,08:23,08:25,08:27,08:28,08:29,08:30,08:31,08:32,08:33,08:34,08:36,08:37,08:40
213,Saturdays,08:45,08:46,08:47,08:48,08:49,08:51,08:52,08:53,08:54,08:58,09:00,09:02,09:03,09:04,09:05,09:06,09:07,09:08,09:09,09:11,09:12,09:15
213,Saturdays,09:20,09:21,09:22,09:23,09:24,09:26,09:27,09:28,09:29,09:33,09:35,09:40,09:41,09:42,09:43,09:44,09:45,09:47,09:49,09:50,09:51,09:54
213,Saturdays,09:55,09:56,09:57,09:58,09:59,10:01,10:02,10:03,10:04,10:08,10:10,10:15,10:16,10:17,10:18,10:19,10:20,10:22,10:24,10:25,10:26,10:29
213,Saturdays,10:30,10:31,10:32,10:33,10:34,10:36,10:37,10:38,10:39,10:43,10:45,10:50,10:51,10:52,10:53,10:54,10:55,10:57,10:59,11:00,11:01,11:04
213,Saturdays,11:05,11:06,11:07,11:08,11:09,11:11,11:12,11:13,11:14,11:18,11:20,11:25,11:26,11:27,11:28,11:29,11:30,11:32,11:34,11:35,11:36,11:39
213,Saturdays,11:40,11:41,11:42,11:43,11:44,11:46,11:47,11:48,11:49,11:53,11:55,12:00,12:01,12:02,12:03,12:04,12:05,12:07,12:09,12:10,12:11,12:14
213,Saturdays,12:15,12:16,12:17,12:18,12:19,12:21,12:22,12:23,12:24,12:28,12:30,12:35,12:36,12:37,12:38,12:39,12:40,12:42,12:44,12:45,12:46,12:49
213,Saturdays,12:50,12:51,12:52,12:53,12:54,12:56,12:57,12:58,12:59,13:03,13:05,13:10,13:11,13:12,13:13,13:14,13:15,13:17,13:19,13:20,13:21,13:24
213,Saturdays,13:25,13:26,13:27,13:28,13:29,13:31,13:32,13:33,13:34,13:38,13:40,13:45,13:46,13:47,13:48,13:49,13:50,13:52,13:54,13:55,13:56,13:59
213,Saturdays,14:00,14:03,14:04,14:05,14:06,14:08,14:08,14:09,14:10,14:16,14:18,14:20,14:21,14:22,14:23,14:24,14:25,14:26,14:28,14:30,14:31,14:34
213,Saturdays,14:35,14:38,14:39,14:40,14:41,14:43,14:43,14:44,14:45,14:51,14:53,14:55,14:56,14:57,14:58,14:59,15:00,15:01,15:03,15:05,15:06,15:09
213,Saturdays,15:10,15:12,15:14,15:15,15:16,15:18,15:19,15:20,15:21,15:25,15:26,15:28,15:29,15:30,15:31,15:32,15:33,15:34,15:36,15:37,15:38,15:39
213,Saturdays,15:45,15:47,15:49,15:50,15:51,15:53,15:54,15:55,15:56,16:00,16:01,16:03,16:04,16:05,16:06,16:07,16:08,16:09,16:11,16:12,16:13,16:14
213,Saturdays,16:20,16:22,16:24,16:25,16:26,16:28,16:29,16:30,16:31,16:35,16:36,16:38,16:39,16:40,16:41,16:42,16:43,16:44,16:46,16:47,16:48,16:49
213,Saturdays,16:55,16:57,16:59,17:00,17:01,17:03,17:04,17:05,17:06,17:10,17:11,17:13,17:14,17:15,17:16,17:17,17:18,17:19,17:21,17:22,17:23,17:24
213,Saturdays,17:30,17:32,17:34,17:35,17:36,17:38,17:39,17:40,17:41,17:45,17:46,17:48,17:49,17:50,17:51,17:52,17:53,17:54,17:56,17:57,17:58,17:59
213,Saturdays,18:05,18:07,18:08,18:09,18:10,18:12,18:13,18:14,18:15,18:20,18:22,18:24,18:25,18:26,18:27,18:28,18:29,18:30,18:32,18:33,18:34,18:35
213,Saturdays,18:40,18:42,18:43,18:44,18:45,18:47,18:48,18:49,18:50,18:55,18:57,18:59,19:00,19:01,19:02,19:03,19:04,19:05,19:07,19:08,19:09,19:10
213,Saturdays,19:12,19:13,19:14,19:15,19:16,19:18,19:18,19:19,19:20,19:24,19:26,19:28,19:29,19:30,19:31,19:32,19:33,19:34,19:35,19:36,19:37,19:38
213,Sundays and Public Holidays,06:25,06:26,06:27,06:28,06:29,06:31,06:32,06:33,06:34,06:38,06:40,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:51,06:52,06:55
213,Sundays and Public Holidays,07:00,07:01,07:02,07:03,07:04,07:06,07:07,07:08,07:09,07:13,07:15,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:26,07:27,07:30
213,Sundays and Public Holidays,07:35,07:36,07:37,07:38,07:39,07:41,07:42,07:43,07:44,07:48,07:50,07:52,07:53,07:54,07:55,07:56,07:57,07:58,07:59,08:01,08:02,08:05
213,Sundays and Public Holidays,08:10,08:11,08:12,08:13,08:14,08:16,08:17,08:18,08:19,08:23,08:25,08:27,08:28,08:29,08:30,08:31,08:32,08:33,08:34,08:36,08:37,08:40
213,Sundays and Public Holidays,08:45,08:46,08:47,08:48,08:49,08:51,08:52,08:53,08:54,08:58,09:00,09:02,09:03,09:04,09:05,09:06,09:07,09:08,09:09,09:11,09:12,09:15
213,Sundays and Public Holidays,09:20,09:21,09:22,09:23,09:24,09:26,09:27,09:28,09:29,09:33,09:35,09:40,09:41,09:42,09:43,09:44,09:45,09:47,09:49,09:50,09:51,09:54
213,Sundays and Public Holidays,09:55,09:56,09:57,09:58,09:59,10:01,10:02,10:03,10:04,10:08,10:10,10:15,10:16,10:17,10:18,10:19,10:20,10:22,10:24,10:25,10:26,10:29
213,Sundays and Public Holidays,10:30,10:31,10:32,10:33,10:34,10:36,10:37,10:38,10:39,10:43,10:45,10:50,10:51,10:52,10:53,10:54,10:55,10:57,10:59,11:00,11:01,11:04
213,Sundays and Public Holidays,11:05,11:06,11:07,11:08,11:09,11:11,11:12,11:13,11:14,11:18,11:20,11:25,11:26,11:27,11:28,11:29,11:30,11:32,11:34,11:35,11:36,11:39
