route_number,day_type,Table View,Popham,Marine Circle,Seal,Shell,Perlemoen,Bokkombaai,Kleinbaai,De Mist,Big Bay,Marine,Waters Edge,La Paloma,Hol Bay,Melkbosstrand,Melkbosch Village
214B,Mondays to Fridays,05:14,05:17,05:18,05:19,05:22,05:23,05:23,05:25,05:26,05:26,05:28,05:29,05:30,05:31,05:36,05:38
214B,Mondays to Fridays,05:42,05:45,05:46,05:47,05:50,05:51,05:51,05:53,05:54,05:54,05:56,05:57,05:58,05:59,06:04,06:06
214B,Mondays to Fridays,06:10,06:13,06:14,06:15,06:18,06:19,06:19,06:21,06:22,06:22,06:24,06:25,06:26,06:27,06:32,06:34
214B,Mondays to Fridays,06:38,06:41,06:42,06:43,06:46,06:47,06:47,06:49,06:50,06:50,06:52,06:53,06:54,06:55,07:00,07:02
214B,Mondays to Fridays,07:34,07:37,07:38,07:39,07:42,07:43,07:43,07:45,07:46,07:46,07:48,07:49,07:50,07:51,07:56,07:58
214B,Mondays to Fridays,08:30,08:33,08:34,08:35,08:38,08:39,08:39,08:41,08:42,08:42,08:44,08:45,08:46,08:47,08:52,08:54
214B,Mondays to Fridays,15:58,16:01,16:02,16:03,16:06,16:07,16:07,16:09,16:10,16:10,16:12,16:13,16:14,16:15,16:20,16:22
214B,Mondays to Fridays,16:26,16:29,16:30,16:31,16:34,16:35,16:35,16:37,16:38,16:38,16:40,16:41,16:42,16:43,16:48,16:50
214B,Mondays to Fridays,16:54,16:57,16:58,16:59,17:02,17:03,17:03,17:05,17:06,17:06,17:08,17:09,17:10,17:11,17:16,17:18
214B,Mondays to Fridays,17:22,17:25,17:26,17:27,17:30,17:31,17:31,17:33,17:34,17:34,17:36,17:37,17:38,17:39,17:44,17:46
214B,Mondays to Fridays,17:50,17:53,17:54,17:55,17:58,17:59,17:59,18:01,18:02,18:02,18:04,18:05,18:06,18:07,18:12,18:14
214B,Mondays to Fridays,18:18,18:21,18:22,18:23,18:26,18:27,18:27,18:29,18:30,18:30,18:32,18:33,18:34,18:35,18:40,18:42
214B,Mondays to Fridays,18:46,18:49,18:50,18:51,18:54,18:55,18:55,18:57,18:58,18:58,19:00,19:01,19:02,19:03,19:08,19:10
