route_number,day_type,Melkbosstrand,Hol Bay,La Paloma,Waters Edge,Marine,Big Bay,De Mist,Kleinbaai,Bokkombaai,Perlemoen,Shell,Seal,Marine Circle,Popham,Table View
214C,Mondays to Fridays,05:57,06:00,06:04,06:05,06:06,06:07,06:09,06:10,06:11,06:12,06:13,06:14,06:16,06:17,06:19
214C,Mondays to Fridays,06:25,06:28,06:32,06:33,06:34,06:35,06:37,06:38,06:39,06:40,06:41,06:42,06:44,06:45,06:47
214C,Mondays to Fridays,06:53,06:56,07:00,07:01,07:02,07:03,07:05,07:06,07:07,07:08,07:09,07:10,07:12,07:13,07:15
214C,Mondays to Fridays,07:21,07:24,07:28,07:29,07:30,07:31,07:33,07:34,07:35,07:36,07:37,07:38,07:40,07:41,07:43
214C,Mondays to Fridays,07:49,07:52,07:56,07:57,07:58,07:59,08:01,08:02,08:03,08:04,08:05,08:06,08:08,08:09,08:11
214C,Mondays to Fridays,08:10,08:13,08:17,08:18,08:19,08:20,08:22,08:23,08:24,08:25,08:26,08:27,08:29,08:30,08:32
214C,Mondays to Fridays,08:17,08:20,08:24,08:25,08:26,08:27,08:29,08:30,08:31,08:32,08:33,08:34,08:36,08:37,08:39
214C,Mondays to Fridays,08:45,08:48,08:52,08:53,08:54,08:55,08:57,08:58,08:59,09:00,09:01,09:02,09:04,09:05,09:07
214C,Mondays to Fridays,09:13,09:16,09:20,09:21,09:22,09:23,09:25,09:26,09:27,09:28,09:29,09:30,09:32,09:33,09:35
214C,Mondays to Fridays,09:41,09:44,09:48,09:49,09:50,09:51,09:53,09:54,09:55,09:56,09:57,09:58,10:00,10:01,10:03
214C,Mondays to Fridays,10:09,10:12,10:16,10:17,10:18,10:19,10:21,10:22,10:23,10:24,10:25,10:26,10:28,10:29,10:31
214C,Mondays to Fridays,10:37,10:40,10:44,10:45,10:46,10:47,10:49,10:50,10:51,10:52,10:53,10:54,10:56,10:57,10:59
214C,Mondays to Fridays,11:05,11:08,11:12,11:13,11:14,11:15,11:17,11:18,11:19,11:20,11:21,11:22,11:24,11:25,11:27
214C,Mondays to Fridays,11:33,11:36,11:40,11:41,11:42,11:43,11:45,11:46,11:47,11:48,11:49,11:50,11:52,11:53,11:55
