route_number,day_type,Johan Heyns North,Charles Matthews,Neil Hare,John Van Niekerk,Tom Henshilwood,Charles Duminy,Starke,Berzelia,Bottlebrush,Marigold,Disa,Alberto,Bengal,Colebrook,Gothenburg,Avondale,Parkview,Nicobar,Atlantis Station
232,Mondays to Fridays,04:43,04:44,04:46,04:48,04:50,04:52,04:53,04:55,04:57,04:59,05:00,05:01,05:02,05:03,05:04,05:05,05:06,05:07,05:08
232,Mondays to Fridays,05:09,05:10,05:12,05:14,05:16,05:18,05:19,05:21,05:23,05:25,05:26,05:27,05:28,05:29,05:30,05:31,05:32,05:33,05:34
232,Mondays to Fridays,05:35,05:36,05:38,05:40,05:42,05:44,05:45,05:47,05:49,05:51,05:52,05:53,05:54,05:55,05:56,05:57,05:58,05:59,06:00
232,Mondays to Fridays,06:01,06:02,06:04,06:06,06:08,06:10,06:11,06:13,06:15,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26
232,Mondays to Fridays,06:27,06:28,06:30,06:32,06:34,06:36,06:37,06:39,06:41,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52
232,Mondays to Fridays,06:53,06:54,06:56,06:58,07:00,07:02,07:03,07:05,07:07,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18
232,Mondays to Fridays,07:19,07:20,07:22,07:24,07:26,07:28,07:29,07:31,07:33,07:35,07:36,07:37,07:38,07:39,07:40,07:41,07:42,07:43,07:44
232,Mondays to Fridays,07:45,07:46,07:48,07:50,07:52,07:54,07:55,07:57,07:59,08:01,08:02,08:03,08:04,08:05,08:06,08:07,08:08,08:09,08:10
232,Mondays to Fridays,08:22,08:23,08:25,08:27,08:29,08:31,08:32,08:34,08:36,08:38,08:39,08:40,08:41,08:42,08:43,08:44,08:45,08:46,08:47
232,Mondays to Fridays,09:04,09:05,09:07,09:09,09:11,09:13,09:14,09:16,09:18,09:19,09:20,09:21,09:22,09:23,09:24,09:25,09:26,09:27,09:29
232,Mondays to Fridays,10:04,10:05,10:07,10:09,10:11,10:13,10:14,10:16,10:18,10:19,10:20,10:21,10:22,10:23,10:24,10:25,10:26,10:27,10:29
232,Mondays to Fridays,11:06,11:07,11:09,11:11,11:13,11:15,11:16,11:18,11:20,11:21,11:22,11:23,11:24,11:25,11:26,11:27,11:28,11:29,11:31
232,Mondays to Fridays,12:04,12:05,12:07,12:09,12:11,12:13,12:14,12:16,12:18,12:19,12:20,12:21,12:22,12:23,12:24,12:25,12:26,12:27,12:29
232,Mondays to Fridays,13:06,13:07,13:09,13:11,13:13,13:15,13:16,13:18,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:28,13:29,13:31
232,Mondays to Fridays,14:04,14:05,14:07,14:09,14:11,14:13,14:14,14:16,14:18,14:19,14:20,14:21,14:22,14:23,14:24,14:25,14:26,14:27,14:29
232,Mondays to Fridays,15:06,15:07,15:09,15:11,15:13,15:15,15:16,15:18,15:20,15:21,15:22,15:23,15:24,15:25,15:26,15:27,15:28,15:29,15:31
232,Mondays to Fridays,16:06,16:07,16:09,16:11,16:13,16:15,16:16,16:18,16:20,16:21,16:22,16:23,16:24,16:25,16:26,16:27,16:28,16:29,16:31
232,Mondays to Fridays,17:00,17:01,17:03,17:05,17:07,17:09,17:10,17:12,17:14,17:15,17:16,17:17,17:18,17:19,17:20,17:21,17:22,17:23,17:25
232,Mondays to Fridays,17:26,17:27,17:29,17:31,17:33,17:35,17:36,17:38,17:40,17:41,17:42,17:43,17:44,17:45,17:46,17:47,17:48,17:49,17:51
