route_number,day_type,Lisboa,Mauritius,Magnet,Kehrweider,Saxonsea Clinic,Grosvenor North,Saxonsea Primary,Wesfleur Park,Atlantis Station
233,Mondays to Fridays,04:59,05:01,05:03,05:05,05:07,05:08,05:09,05:11,05:13
233,Mondays to Fridays,05:23,05:25,05:27,05:29,05:31,05:32,05:33,05:35,05:37
233,Mondays to Fridays,05:47,05:49,05:51,05:53,05:55,05:56,05:57,05:59,06:01
233,Mondays to Fridays,06:11,06:13,06:15,06:17,06:19,06:20,06:21,06:23,06:25
233,Mondays to Fridays,06:35,06:37,06:39,06:41,06:43,06:44,06:45,06:47,06:49
233,Mondays to Fridays,06:59,07:01,07:03,07:05,07:07,07:08,07:09,07:11,07:13
233,Mondays to Fridays,07:23,07:25,07:27,07:29,07:31,07:32,07:33,07:35,07:37
233,Mondays to Fridays,07:47,07:49,07:51,07:53,07:55,07:56,07:57,07:59,08:01
233,Mondays to Fridays,16:25,16:27,16:29,16:31,16:33,16:34,16:35,16:37,16:39
233,Mondays to Fridays,16:49,16:51,16:53,16:55,16:57,16:58,16:59,17:01,17:03
233,Mondays to Fridays,17:13,17:15,17:17,17:19,17:21,17:22,17:23,17:25,17:27
233,Mondays to Fridays,17:37,17:39,17:41,17:43,17:45,17:46,17:47,17:49,17:51
233,Mondays to Fridays,18:01,18:03,18:05,18:07,18:09,18:10,18:11,18:13,18:15
233,Mondays to Fridays,18:25,18:27,18:29,18:31,18:33,18:34,18:35,18:37,18:39
233,Mondays to Fridays,18:49,18:51,18:53,18:55,18:57,18:58,18:59,19:01,19:03
233,Mondays to Fridays,19:13,19:15,19:17,19:19,19:21,19:22,19:23,19:25,19:27
