route_number,day_type,Atlantis Station,Arion,Charel Uys North,Montreal,Tsitsikamma,Atlantis Cemetery,Pella South,Pella Central,Pella North
235,Mondays to Fridays,06:52,06:53,06:54,06:54,06:55,06:56,06:57,06:57,06:58
235,Mondays to Fridays,07:15,07:17,07:18,07:19,07:20,07:21,07:24,07:25,07:26
235,Mondays to Fridays,07:50,07:52,07:53,07:54,07:55,07:56,07:59,08:00,08:01
235,Mondays to Fridays,08:19,08:21,08:22,08:23,08:24,08:25,08:28,08:29,08:30
235,Mondays to Fridays,09:28,09:30,09:31,09:32,09:33,09:34,09:37,09:38,09:39
235,Mondays to Fridays,10:35,10:37,10:38,10:39,10:40,10:41,10:44,10:45,10:46
235,Mondays to Fridays,11:42,11:44,11:45,11:46,11:47,11:48,11:51,11:52,11:53
235,Mondays to Fridays,12:49,12:51,12:52,12:53,12:54,12:55,12:58,12:59,13:00
235,Mondays to Fridays,13:56,13:58,13:59,14:00,14:01,14:02,14:05,14:06,14:07
235,Mondays to Fridays,15:03,15:05,15:06,15:07,15:08,15:09,15:12,15:13,15:14
235,Mondays to Fridays,15:31,15:33,15:34,15:35,15:36,15:37,15:40,15:41,15:42
235,Mondays to Fridays,15:59,16:01,16:02,16:03,16:04,16:05,16:08,16:09,16:10
235,Mondays to Fridays,16:27,16:29,16:30,16:31,16:32,16:33,16:36,16:37,16:38
235,Mondays to Fridays,16:55,16:57,16:58,16:59,17:00,17:01,17:04,17:05,17:06
235,Mondays to Fridays,17:10,17:11,17:12,17:12,17:13,17:14,17:15,17:15,17:16
235,Mondays to Fridays,17:31,17:32,17:33,17:33,17:34,17:35,17:36,17:36,17:37
235,Mondays to Fridays,17:45,17:46,17:47,17:47,17:48,17:49,17:50,17:50,17:51
235,Mondays to Fridays,18:06,18:07,18:08,18:08,18:09,18:10,18:11,18:11,18:12
235,Mondays to Fridays,18:29,18:30,18:31,18:31,18:32,18:33,18:34,18:34,18:35
235,Mondays to Fridays,18:50,18:51,18:52,18:52,18:53,18:54,18:55,18:55,18:56
235,Mondays to Fridays,18:57,18:58,18:59,18:59,19:00,19:01,19:02,19:02,19:03
235,Mondays to Fridays,19:11,19:12,19:13,19:13,19:14,19:15,19:16,19:16,19:17
235,Mondays to Fridays,19:18,19:19,19:20,19:20,19:21,19:22,19:23,19:23,19:24
235,Mondays to Fridays,19:39,19:40,19:41,19:41,19:42,19:43,19:44,19:44,19:45
235,Mondays to Fridays,20:00,20:01,20:02,20:02,20:03,20:04,20:05,20:05,20:06
235,Mondays to Fridays,21:45,21:46,21:47,21:47,21:48,21:49,21:50,21:50,21:51
235,Saturdays,05:43,05:45,05:46,05:47,05:48,05:49,05:52,05:53,05:54
235,Saturdays,06:13,06:15,06:16,06:17,06:18,06:19,06:22,06:23,06:24
235,Saturdays,06:43,06:45,06:46,06:47,06:48,06:49,06:52,06:53,06:54
235,Saturdays,07:13,07:15,07:16,07:17,07:18,07:19,07:22,07:23,07:24
235,Saturdays,07:43,07:45,07:46,07:47,07:48,07:49,07:52,07:53,07:54
235,Saturdays,08:13,08:15,08:16,08:17,08:18,08:19,08:22,08:23,08:24
235,Saturdays,08:43,08:45,08:46,08:47,08:48,08:49,08:52,08:53,08:54
235,Saturdays,09:13,09:15,09:16,09:17,09:18,09:19,09:22,09:23,09:24
235,Saturdays,09:43,09:45,09:46,09:47,09:48,09:49,09:52,09:53,09:54
235,Saturdays,10:13,10:15,10:16,10:17,10:18,10:19,10:22,10:23,10:24
235,Saturdays,10:43,10:45,10:46,10:47,10:48,10:49,10:52,10:53,10:54
235,Saturdays,11:13,11:15,11:16,11:17,11:18,11:19,11:22,11:23,11:24
235,Saturdays,11:43,11:45,11:46,11:47,11:48,11:49,11:52,11:53,11:54
235,Saturdays,12:13,12:15,12:16,12:17,12:18,12:19,12:22,12:23,12:24
235,Saturdays,12:43,12:45,12:46,12:47,12:48,12:49,12:52,12:53,12:54
235,Saturdays,13:13,13:15,13:16,13:17,13:18,13:19,13:22,13:23,13:24
235,Saturdays,13:43,13:45,13:46,13:47,13:48,13:49,13:52,13:53,13:54
235,Saturdays,14:13,14:15,14:16,14:17,14:18,14:19,14:22,14:23,14:24
235,Saturdays,14:43,14:45,14:46,14:47,14:48,14:49,14:52,14:53,14:54
235,Saturdays,15:13,15:15,15:16,15:17,15:18,15:19,15:22,15:23,15:24
235,Saturdays,15:43,15:45,15:46,15:47,15:48,15:49,15:52,15:53,15:54
235,Saturdays,16:13,16:15,16:16,16:17,16:18,16:19,16:22,16:23,16:24
235,Saturdays,16:43,16:45,16:46,16:47,16:48,16:49,16:52,16:53,16:54
235,Saturdays,17:13,17:15,17:16,17:17,17:18,17:19,17:22,17:23,17:24
235,Saturdays,17:43,17:45,17:46,17:47,17:48,17:49,17:52,17:53,17:54
235,Saturdays,18:13,18:15,18:16,18:17,18:18,18:19,18:22,18:23,18:24
235,Saturdays,18:43,18:45,18:46,18:47,18:48,18:49,18:52,18:53,18:54
