route_number,day_type,Atlantis Station,Brutus,Sherwood,Clearwater,Montezuma
236,Mondays to Fridays,05:03,05:06,05:07,05:08,05:09
236,Mondays to Fridays,05:15,05:18,05:19,05:20,05:21
236,Mondays to Fridays,05:27,05:30,05:31,05:32,05:33
236,Mondays to Fridays,05:39,05:42,05:43,05:44,05:45
236,Mondays to Fridays,05:51,05:54,05:55,05:56,05:57
236,Mondays to Fridays,06:03,06:06,06:07,06:08,06:09
236,Mondays to Fridays,06:15,06:18,06:19,06:20,06:21
236,Mondays to Fridays,06:27,06:30,06:31,06:32,06:33
236,Mondays to Fridays,06:39,06:42,06:43,06:44,06:45
236,Mondays to Fridays,06:51,06:54,06:55,06:56,06:57
236,Mondays to Fridays,07:03,07:06,07:07,07:08,07:09
236,Mondays to Fridays,07:15,07:18,07:19,07:20,07:21
236,Mondays to Fridays,07:27,07:30,07:31,07:32,07:33
236,Mondays to Fridays,07:39,07:42,07:43,07:44,07:45
236,Mondays to Fridays,07:51,07:54,07:55,07:56,07:57
236,Mondays to Fridays,08:03,08:06,08:07,08:08,08:09
236,Mondays to Fridays,08:15,08:18,08:19,08:20,08:21
236,Mondays to Fridays,08:27,08:30,08:31,08:32,08:33
236,Mondays to Fridays,08:51,08:54,08:55,08:56,08:57
236,Mondays to Fridays,09:15,09:18,09:19,09:20,09:21
236,Mondays to Fridays,09:39,09:42,09:43,09:44,09:45
236,Mondays to Fridays,10:03,10:06,10:07,10:08,10:09
236,Mondays to Fridays,10:27,10:30,10:31,10:32,10:33
236,Mondays to Fridays,10:51,10:54,10:55,10:56,10:57
236,Mondays to Fridays,11:15,11:18,11:19,11:20,11:21
236,Mondays to Fridays,11:39,11:42,11:43,11:44,11:45
236,Mondays to Fridays,12:03,12:06,12:07,12:08,12:09
236,Mondays to Fridays,12:27,12:30,12:31,12:32,12:33
236,Mondays to Fridays,12:51,12:54,12:55,12:56,12:57
236,Mondays to Fridays,13:15,13:18,13:19,13:20,13:21
236,Mondays to Fridays,13:39,13:42,13:43,13:44,13:45
236,Mondays to Fridays,14:03,14:06,14:07,14:08,14:09
236,Mondays to Fridays,14:27,14:30,14:31,14:32,14:33
236,Mondays to Fridays,14:51,14:54,14:55,14:56,14:57
236,Mondays to Fridays,15:15,15:18,15:19,15:20,15:21
236,Mondays to Fridays,15:27,15:30,15:31,15:32,15:33
236,Mondays to Fridays,15:39,15:42,15:43,15:44,15:45
236,Mondays to Fridays,15:51,15:54,15:55,15:56,15:57
236,Mondays to Fridays,16:03,16:06,16:07,16:08,16:09
236,Mondays to Fridays,16:15,16:18,16:19,16:20,16:21
236,Mondays to Fridays,16:27,16:30,16:31,16:32,16:33
236,Mondays to Fridays,16:39,16:42,16:43,16:44,16:45
236,Mondays to Fridays,16:51,16:54,16:55,16:56,16:57
236,Mondays to Fridays,17:03,17:06,17:07,17:08,17:09
236,Mondays to Fridays,17:15,17:18,17:19,17:20,17:21
236,Mondays to Fridays,17:27,17:30,17:31,17:32,17:33
236,Mondays to Fridays,17:39,17:42,17:43,17:44,17:45
236,Mondays to Fridays,17:51,17:54,17:55,17:56,17:57
236,Mondays to Fridays,18:03,18:06,18:07,18:08,18:09
236,Mondays to Fridays,18:15,18:18,18:19,18:20,18:21
236,Mondays to Fridays,18:27,18:30,18:31,18:32,18:33
236,Mondays to Fridays,18:51,18:54,18:55,18:56,18:57
236,Mondays to Fridays,19:15,19:18,19:19,19:20,19:21
236,Mondays to Fridays,19:39,19:42,19:43,19:44,19:45
236,Mondays to Fridays,20:03,20:06,20:07,20:08,20:09
236,Mondays to Fridays,20:27,20:30,20:31,20:32,20:33
236,Mondays to Fridays,20:51,20:54,20:55,20:56,20:57
236,Mondays to Fridays,21:15,21:18,21:19,21:20,21:21
236,Saturdays,05:03,05:06,05:07,05:08,05:09
236,Saturdays,05:27,05:30,05:31,05:32,05:33
236,Saturdays,05:51,05:54,05:55,05:56,05:57
236,Saturdays,06:15,06:18,06:19,06:20,06:21
236,Saturdays,06:39,06:42,06:43,06:44,06:45
236,Saturdays,07:03,07:06,07:07,07:08,07:09
236,Saturdays,07:27,07:30,07:31,07:32,07:33
236,Saturdays,07:51,07:54,07:55,07:56,07:57
236,Saturdays,08:15,08:18,08:19,08:20,08:21
236,Saturdays,08:39,08:42,08:43,08:44,08:45
236,Saturdays,09:03,09:06,09:07,09:08,09:09
236,Saturdays,09:27,09:30,09:31,09:32,09:33
236,Saturdays,09:51,09:54,09:55,09:56,09:57
236,Saturdays,10:15,10:18,10:19,10:20,10:21
236,Saturdays,10:39,10:42,10:43,10:44,10:45
236,Saturdays,11:03,11:06,11:07,11:08,11:09
236,Saturdays,11:27,11:30,11:31,11:32,11:33
236,Saturdays,11:51,11:54,11:55,11:56,11:57
236,Saturdays,12:15,12:18,12:19,12:20,12:21
236,Saturdays,12:39,12:42,12:43,12:44,12:45
236,Saturdays,13:03,13:06,13:07,13:08,13:09
236,Saturdays,13:27,13:30,13:31,13:32,13:33
236,Saturdays,13:51,13:54,13:55,13:56,13:57
236,Saturdays,14:15,14:18,14:19,14:20,14:21
236,Saturdays,14:39,14:42,14:43,14:44,14:45
236,Saturdays,15:03,15:06,15:07,15:08,15:09
236,Saturdays,15:27,15:30,15:31,15:32,15:33
