route_number,day_type,Lisboa,Mauritius,Magnet,Kehrweider,Saxonsea Clinic,Goede Hoop,Hoogergeest,Valleyfield,Saxonsea Primary,Wesfleur Park,Atlantis Station
245,Mondays to Fridays,04:47,04:49,04:51,04:53,04:54,04:55,04:56,04:57,04:58,05:00,05:02
245,Mondays to Fridays,05:11,05:13,05:15,05:17,05:18,05:19,05:20,05:21,05:22,05:24,05:26
245,Mondays to Fridays,05:35,05:37,05:39,05:41,05:42,05:43,05:44,05:45,05:46,05:48,05:50
245,Mondays to Fridays,05:59,06:01,06:03,06:05,06:06,06:07,06:08,06:09,06:10,06:12,06:14
245,Mondays to Fridays,06:23,06:25,06:27,06:29,06:30,06:31,06:32,06:33,06:34,06:36,06:38
245,Mondays to Fridays,06:47,06:49,06:51,06:53,06:54,06:55,06:56,06:57,06:58,07:00,07:02
245,Mondays to Fridays,07:11,07:13,07:15,07:17,07:18,07:19,07:20,07:21,07:22,07:24,07:26
245,Mondays to Fridays,07:35,07:37,07:39,07:41,07:42,07:43,07:44,07:45,07:46,07:48,07:50
245,Mondays to Fridays,07:59,08:01,08:03,08:05,08:06,08:07,08:08,08:09,08:10,08:12,08:14
245,Mondays to Fridays,08:11,08:13,08:15,08:16,08:17,08:18,08:19,08:20,08:21,08:22,08:23
245,Mondays to Fridays,08:37,08:39,08:41,08:42,08:43,08:44,08:45,08:46,08:47,08:48,08:49
245,Mondays to Fridays,09:07,09:09,09:11,09:12,09:13,09:14,09:15,09:16,09:17,09:18,09:19
245,Mondays to Fridays,09:41,09:43,09:45,09:46,09:47,09:48,09:49,09:50,09:51,09:52,09:53
245,Mondays to Fridays,10:07,10:09,10:11,10:12,10:13,10:14,10:15,10:16,10:17,10:18,10:19
245,Mondays to Fridays,10:37,10:39,10:41,10:42,10:43,10:44,10:45,10:46,10:47,10:48,10:49
245,Mondays to Fridays,11:05,11:07,11:09,11:10,11:11,11:12,11:13,11:14,11:15,11:16,11:17
245,Mondays to Fridays,11:41,11:43,11:45,11:46,11:47,11:48,11:49,11:50,11:51,11:52,11:53
245,Mondays to Fridays,12:07,12:09,12:11,12:12,12:13,12:14,12:15,12:16,12:17,12:18,12:19
245,Mondays to Fridays,12:37,12:39,12:41,12:42,12:43,12:44,12:45,12:46,12:47,12:48,12:49
245,Mondays to Fridays,13:05,13:07,13:09,13:10,13:11,13:12,13:13,13:14,13:15,13:16,13:17
245,Mondays to Fridays,13:41,13:43,13:45,13:46,13:47,13:48,13:49,13:50,13:51,13:52,13:53
245,Mondays to Fridays,14:07,14:09,14:11,14:12,14:13,14:14,14:15,14:16,14:17,14:18,14:19
245,Mondays to Fridays,14:32,14:34,14:36,14:37,14:38,14:39,14:40,14:41,14:42,14:43,14:44
245,Mondays to Fridays,14:37,14:39,14:41,14:42,14:43,14:44,14:45,14:46,14:47,14:48,14:49
245,Mondays to Fridays,15:07,15:09,15:11,15:12,15:13,15:14,15:15,15:16,15:17,15:18,15:19
245,Mondays to Fridays,15:37,15:39,15:41,15:42,15:43,15:44,15:45,15:46,15:47,15:48,15:49
245,Mondays to Fridays,16:14,16:16,16:18,16:20,16:21,16:22,16:23,16:24,16:25,16:27,16:29
245,Mondays to Fridays,16:37,16:39,16:41,16:43,16:44,16:45,16:46,16:47,16:48,16:50,16:52
245,Mondays to Fridays,17:01,17:03,17:05,17:07,17:08,17:09,17:10,17:11,17:12,17:14,17:16
245,Mondays to Fridays,17:25,17:27,17:29,17:31,17:32,17:33,17:34,17:35,17:36,17:38,17:40
