route_number,day_type,Atlantis Station,Wesfleur Hospital,Sampson,Carmel,Brecon,Caelian,Capitoline,Klipheuwel,Montreal South,Castlehill,Malvern,Deerlodge,Tsitsikamma,Atlantis Cemetery,Frans
246,Mondays to Fridays,05:07,05:08,05:09,05:10,05:11,05:12,05:13,05:14,05:15,05:16,05:17,05:18,05:19,05:20,05:22
246,Mondays to Fridays,05:45,05:46,05:47,05:48,05:49,05:50,05:51,05:52,05:53,05:54,05:55,05:56,05:57,05:58,06:00
246,Mondays to Fridays,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:43
246,Mondays to Fridays,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:05
246,Mondays to Fridays,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:26
246,Mondays to Fridays,08:10,08:11,08:12,08:13,08:14,08:15,08:16,08:17,08:18,08:19,08:20,08:21,08:22,08:23,08:25
246,Mondays to Fridays,08:55,08:56,08:57,08:58,08:59,09:00,09:01,09:02,09:03,09:04,09:05,09:06,09:07,09:08,09:10
246,Mondays to Fridays,09:40,09:41,09:42,09:43,09:44,09:45,09:46,09:47,09:48,09:49,09:50,09:51,09:52,09:53,09:55
246,Mondays to Fridays,10:25,10:26,10:27,10:28,10:29,10:30,10:31,10:32,10:33,10:34,10:35,10:36,10:37,10:38,10:40
246,Mondays to Fridays,11:10,11:11,11:12,11:13,11:14,11:15,11:16,11:17,11:18,11:19,11:20,11:21,11:22,11:23,11:25
246,Mondays to Fridays,11:55,11:56,11:57,11:58,11:59,12:00,12:01,12:02,12:03,12:04,12:05,12:06,12:07,12:08,12:10
246,Mondays to Fridays,12:40,12:41,12:42,12:43,12:44,12:45,12:46,12:47,12:48,12:49,12:50,12:51,12:52,12:53,12:55
