route_number,day_type,Victoria,Sailors Green,Soldier,Emerald,Century Gate,Estuaries,Studio,Waterstone,Central Park,Oasis,Century City,Sanddrift,Democracy South,Corsair,Quest,Loxton East,Loxton West,Milnerton Lighthouse
262,Mondays to Fridays,05:48,05:49,05:50,05:52,05:57,06:00,06:01,06:02,06:03,06:04,06:06,06:10,06:14,06:15,06:16,06:18,06:19,06:22
262,Mondays to Fridays,06:12,06:13,06:14,06:16,06:21,06:24,06:25,06:26,06:27,06:28,06:30,06:34,06:38,06:39,06:40,06:42,06:43,06:46
262,Mondays to Fridays,06:36,06:37,06:38,06:40,06:45,06:48,06:49,06:50,06:51,06:52,06:54,06:58,07:02,07:03,07:04,07:06,07:07,07:10
262,Mondays to Fridays,07:00,07:01,07:02,07:04,07:09,07:12,07:13,07:14,07:15,07:16,07:18,07:22,07:26,07:27,07:28,07:30,07:31,07:34
262,Mondays to Fridays,07:24,07:25,07:26,07:28,07:33,07:36,07:37,07:38,07:39,07:40,07:42,07:46,07:50,07:51,07:52,07:54,07:55,07:58
262,Mondays to Fridays,07:48,07:49,07:50,07:52,07:57,08:00,08:01,08:02,08:03,08:04,08:06,08:10,08:14,08:15,08:16,08:18,08:19,08:22
262,Mondays to Fridays,08:12,08:13,08:14,08:16,08:21,08:24,08:25,08:26,08:27,08:28,08:30,08:34,08:38,08:39,08:40,08:42,08:43,08:46
262,Mondays to Fridays,08:36,08:37,08:38,08:39,08:41,08:43,08:44,08:45,08:46,08:47,08:49,08:52,08:56,08:57,08:58,09:00,09:01,09:03
262,Mondays to Fridays,09:00,09:01,09:02,09:03,09:05,09:07,09:08,09:09,09:10,09:11,09:13,09:16,09:20,09:21,09:22,09:24,09:25,09:27
262,Mondays to Fridays,10:00,10:01,10:02,10:03,10:05,10:07,10:08,10:09,10:10,10:11,10:13,10:16,10:20,10:21,10:22,10:24,10:25,10:27
262,Mondays to Fridays,11:00,11:01,11:02,11:03,11:05,11:07,11:08,11:09,11:10,11:11,11:13,11:16,11:20,11:21,11:22,11:24,11:25,11:27
262,Mondays to Fridays,12:00,12:01,12:02,12:03,12:05,12:07,12:08,12:09,12:10,12:11,12:13,12:16,12:20,12:21,12:22,12:24,12:25,12:27
262,Mondays to Fridays,13:00,13:01,13:02,13:03,13:05,13:07,13:08,13:09,13:10,13:11,13:13,13:16,13:20,13:21,13:22,13:24,13:25,13:27
262,Mondays to Fridays,14:00,14:01,14:02,14:03,14:05,14:07,14:08,14:09,14:10,14:11,14:13,14:16,14:20,14:21,14:22,14:24,14:25,14:27
262,Mondays to Fridays,15:12,15:13,15:14,15:15,15:17,15:20,15:21,15:22,15:23,15:24,15:26,15:29,15:33,15:39,15:41,15:43,15:43,15:45
262,Mondays to Fridays,15:36,15:37,15:38,15:39,15:41,15:44,15:45,15:46,15:47,15:48,15:50,15:53,15:57,16:03,16:05,16:07,16:07,16:09
262,Mondays to Fridays,16:00,16:01,16:02,16:03,16:05,16:08,16:09,16:10,16:11,16:12,16:14,16:17,16:21,16:27,16:29,16:31,16:31,16:33
262,Mondays to Fridays,16:24,16:25,16:26,16:27,16:29,16:32,16:33,16:34,16:35,16:36,16:38,16:41,16:45,16:51,16:53,16:55,16:55,16:57
262,Mondays to Fridays,16:48,16:49,16:50,16:51,16:53,16:56,16:57,16:58,16:59,17:00,17:02,17:05,17:09,17:15,17:17,17:19,17:19,17:21
262,Mondays to Fridays,17:12,17:13,17:14,17:15,17:17,17:20,17:21,17:22,17:23,17:24,17:26,17:29,17:33,17:39,17:41,17:43,17:43,17:45
262,Mondays to Fridays,17:36,17:37,17:38,17:39,17:41,17:44,17:45,17:46,17:47,17:48,17:50,17:53,17:57,18:03,18:05,18:07,18:07,18:09
262,Mondays to Fridays,18:00,18:01,18:02,18:03,18:05,18:08,18:09,18:10,18:11,18:12,18:14,18:17,18:21,18:27,18:29,18:31,18:31,18:33
262,Mondays to Fridays,18:24,18:25,18:26,18:27,18:29,18:32,18:33,18:34,18:35,18:36,18:38,18:41,18:45,18:51,18:53,18:55,18:55,18:57
