route_number,day_type,Kuyasa,Lindela,Dibana,Tutu,D Nyembe,Steve Biko,Charles Mokoena,Vuyani,Civic Centre
D01,Mondays to Fridays,04:45,04:48,04:50,04:52,04:53,04:55,04:57,05:00,06:10
D01,Mondays to Fridays,05:02,05:05,05:07,05:09,05:10,05:12,05:14,05:17,06:27
D01,Mondays to Fridays,05:19,05:22,05:24,05:26,05:27,05:29,05:31,05:34,06:44
D01,Mondays to Fridays,05:36,05:39,05:41,05:43,05:44,05:46,05:48,05:51,07:01
D01,Mondays to Fridays,05:53,05:56,05:58,06:00,06:01,06:03,06:05,06:08,07:18
D01,Mondays to Fridays,06:10,06:13,06:15,06:17,06:18,06:20,06:22,06:25,07:35
D01,Mondays to Fridays,06:27,06:30,06:32,06:34,06:35,06:37,06:39,06:42,07:52
D01,Mondays to Fridays,06:44,06:47,06:49,06:51,06:52,06:54,06:56,06:59,08:09
D01,Mondays to Fridays,07:01,07:04,07:06,07:08,07:09,07:11,07:13,07:16,08:26
D01,Mondays to Fridays,07:18,07:21,07:23,07:25,07:26,07:28,07:30,07:33,08:43
D01,Mondays to Fridays,07:35,07:38,07:40,07:42,07:43,07:45,07:47,07:50,09:00
D01,Mondays to Fridays,07:52,07:55,07:57,07:59,08:00,08:02,08:04,08:07,09:17
D01,Mondays to Fridays,08:09,08:12,08:14,08:16,08:17,08:19,08:21,08:24,09:34
D01,Mondays to Fridays,08:26,08:29,08:31,08:33,08:34,08:36,08:38,08:41,09:51
D01,Mondays to Fridays,08:43,08:46,08:48,08:50,08:51,08:53,08:55,08:58,10:08
D01,Mondays to Fridays,09:00,09:03,09:05,09:07,09:08,09:10,09:12,09:15,10:25
D01,Mondays to Fridays,09:17,09:20,09:22,09:24,09:25,09:27,09:29,09:32,10:42
D01,Mondays to Fridays,09:34,09:37,09:39,09:41,09:42,09:44,09:46,09:49,10:59
D01,Mondays to Fridays,10:11,10:13,10:15,10:17,10:19,10:21,10:23,10:25,11:11
D01,Mondays to Fridays,10:48,10:50,10:52,10:54,10:56,10:58,11:00,11:02,11:48
D01,Mondays to Fridays,11:25,11:27,11:29,11:31,11:33,11:35,11:37,11:39,12:25
D01,Mondays to Fridays,12:02,12:04,12:06,12:08,12:10,12:12,12:14,12:16,13:02
D01,Mondays to Fridays,12:39,12:41,12:43,12:45,12:47,12:49,12:51,12:53,13:39
D01,Mondays to Fridays,13:16,13:18,13:20,13:22,13:24,13:26,13:28,13:30,14:16
D01,Mondays to Fridays,13:53,13:55,13:57,13:59,14:01,14:03,14:05,14:07,14:53
D01,Mondays to Fridays,14:30,14:32,14:34,14:36,14:38,14:40,14:42,14:44,15:30
D01,Mondays to Fridays,15:05,15:07,15:09,15:11,15:13,15:15,15:17,15:19,16:05
D01,Mondays to Fridays,15:37,15:39,15:41,15:43,15:45,15:47,15:49,15:51,16:37
D01,Mondays to Fridays,15:53,15:55,15:57,15:59,16:01,16:03,16:05,16:07,16:53
D01,Mondays to Fridays,16:09,16:11,16:13,16:15,16:17,16:19,16:21,16:23,17:09
D01,Mondays to Fridays,16:25,16:27,16:29,16:31,16:33,16:35,16:37,16:39,17:25
D01,Mondays to Fridays,16:41,16:43,16:45,16:47,16:49,16:51,16:53,16:55,17:41
D01,Mondays to Fridays,16:57,16:59,17:01,17:03,17:05,17:07,17:09,17:11,17:57
D01,Mondays to Fridays,17:13,17:15,17:17,17:19,17:21,17:23,17:25,17:27,18:13
D01,Mondays to Fridays,17:29,17:31,17:33,17:35,17:37,17:39,17:41,17:43,18:29
