route_number,day_type,Mitchells Plain,Pontiac,Kerrem,Morgenster,Marguerite,Highlands,Sesame,Civic Centre
D03,Mondays to Fridays,05:00,05:02,05:04,05:05,05:06,05:08,05:10,06:24
D03,Mondays to Fridays,05:33,05:35,05:37,05:38,05:39,05:41,05:43,06:57
D03,Mondays to Fridays,06:06,06:08,06:10,06:11,06:12,06:14,06:16,07:30
D03,Mondays to Fridays,06:39,06:41,06:43,06:44,06:45,06:47,06:49,08:03
D03,Mondays to Fridays,07:12,07:14,07:16,07:17,07:18,07:20,07:22,08:36
D03,Mondays to Fridays,07:45,07:47,07:49,07:50,07:51,07:53,07:55,09:09
D03,Mondays to Fridays,08:18,08:20,08:22,08:23,08:24,08:26,08:28,09:42
D03,Mondays to Fridays,08:51,08:53,08:55,08:56,08:57,08:59,09:01,10:15
D03,Mondays to Fridays,09:24,09:26,09:28,09:29,09:30,09:32,09:34,10:48
D03,Mondays to Fridays,15:34,15:36,15:38,15:39,15:40,15:42,15:44,16:25
D03,Mondays to Fridays,16:04,16:06,16:08,16:09,16:10,16:12,16:14,16:55
D03,Mondays to Fridays,16:34,16:36,16:38,16:39,16:40,16:42,16:44,17:25
D03,Mondays to Fridays,17:04,17:06,17:08,17:09,17:10,17:12,17:14,17:55
D03,Mondays to Fridays,17:34,17:36,17:38,17:39,17:40,17:42,17:44,18:25
D03,Mondays to Fridays,18:04,18:06,18:08,18:09,18:10,18:12,18:14,18:55
D03,Mondays to Fridays,18:34,18:36,18:38,18:39,18:40,18:42,18:44,19:25
