route_number,day_type,Kapteinsklip,Dolomites West,Snowdon,Dolomites East,Paulsberg,Ruwenzori,Langeberg,Tafelsig Primary,Spine,Bontebok,Figaro,Imperial,Mitchells Plain,Pontiac,Kerrem,Morgenster,Marguerite,Highlands,Sesame,Civic Centre
D04,Mondays to Fridays,04:40,04:41,04:41,04:42,04:43,04:44,04:44,04:45,04:47,04:49,04:50,04:51,04:55,04:57,04:59,05:01,05:02,05:04,05:05,06:17
D04,Mondays to Fridays,05:00,05:01,05:01,05:02,05:03,05:04,05:04,05:05,05:07,05:09,05:10,05:11,05:15,05:17,05:19,05:21,05:22,05:24,05:25,05:53
D04,Mondays to Fridays,05:22,05:23,05:23,05:24,05:25,05:26,05:26,05:27,05:29,05:31,05:32,05:33,05:37,05:39,05:41,05:43,05:44,05:46,05:47,06:59
D04,Mondays to Fridays,06:04,06:05,06:05,06:06,06:07,06:08,06:08,06:09,06:11,06:13,06:14,06:15,06:19,06:21,06:23,06:25,06:26,06:28,06:29,07:41
D04,Mondays to Fridays,06:46,06:47,06:47,06:48,06:49,06:50,06:50,06:51,06:53,06:55,06:56,06:57,07:01,07:03,07:05,07:07,07:08,07:10,07:11,08:23
D04,Mondays to Fridays,07:28,07:29,07:29,07:30,07:31,07:32,07:32,07:33,07:35,07:37,07:38,07:39,07:43,07:45,07:47,07:49,07:50,07:52,07:53,09:05
D04,Mondays to Fridays,08:10,08:11,08:11,08:12,08:13,08:14,08:14,08:15,08:17,08:19,08:20,08:21,08:25,08:27,08:29,08:31,08:32,08:34,08:35,09:47
D04,Mondays to Fridays,08:52,08:53,08:53,08:54,08:55,08:56,08:56,08:57,08:59,09:01,09:02,09:03,09:07,09:09,09:11,09:13,09:14,09:16,09:17,10:29
D04,Mondays to Fridays,09:34,09:35,09:35,09:36,09:37,09:38,09:38,09:39,09:41,09:43,09:44,09:45,09:49,09:51,09:53,09:55,09:56,09:58,09:59,10:27
D04,Mondays to Fridays,10:16,10:17,10:17,10:18,10:19,10:20,10:20,10:21,10:23,10:25,10:26,10:27,10:31,10:33,10:35,10:37,10:38,10:40,10:41,11:09
D04,Mondays to Fridays,10:58,10:59,10:59,11:00,11:01,11:02,11:02,11:03,11:05,11:07,11:08,11:09,11:13,11:15,11:17,11:19,11:20,11:22,11:23,11:51
D04,Mondays to Fridays,11:40,11:41,11:41,11:42,11:43,11:44,11:44,11:45,11:47,11:49,11:50,11:51,11:55,11:57,11:59,12:01,12:02,12:04,12:05,12:33
D04,Mondays to Fridays,12:22,12:23,12:23,12:24,12:25,12:26,12:26,12:27,12:29,12:31,12:32,12:33,12:37,12:39,12:41,12:43,12:44,12:46,12:47,13:15
D04,Mondays to Fridays,13:04,13:05,13:05,13:06,13:07,13:08,13:08,13:09,13:11,13:13,13:14,13:15,13:19,13:21,13:23,13:25,13:26,13:28,13:29,13:57
D04,Mondays to Fridays,13:46,13:47,13:47,13:48,13:49,13:50,13:50,13:51,13:53,13:55,13:56,13:57,14:01,14:03,14:05,14:07,14:08,14:10,14:11,14:39
D04,Mondays to Fridays,14:28,14:29,14:29,14:30,14:31,14:32,14:32,14:33,14:35,14:37,14:38,14:39,14:43,14:45,14:47,14:49,14:50,14:52,14:53,15:21
D04,Mondays to Fridays,15:10,15:11,15:11,15:12,15:13,15:14,15:14,15:15,15:17,15:19,15:20,15:21,15:25,15:27,15:29,15:31,15:32,15:34,15:35,16:03
