route_number,day_type,Waterfront,Granger Bay,Stadium,Thibault Square,Civic Centre,Woodstock,Woodbridge,Racecourse,Table View,Wood,Circle East,Potsdam,Stables Turnaround
T01X,Mondays to Fridays,,,,,06:44,06:48,06:58,07:02,07:09,07:15,,,
T01X,Mondays to Fridays,,,,,07:02,07:06,07:16,07:20,07:27,07:33,,,
T01X,Mondays to Fridays,,,,,07:20,07:24,07:34,07:38,07:45,07:51,,,
T01X,Mondays to Fridays,14:48,14:51,14:53,14:58,15:03,15:07,15:17,15:21,15:28,15:34,15:36,15:39,15:44
T01X,Mondays to Fridays,15:25,15:28,15:30,15:35,15:40,15:44,15:54,15:58,16:05,16:11,16:13,16:16,16:21
T01X,Mondays to Fridays,15:40,15:43,15:45,15:50,15:55,15:59,16:09,16:13,16:20,16:26,16:28,16:31,16:36
T01X,Mondays to Fridays,15:55,15:58,16:00,16:05,16:10,16:14,16:24,16:28,16:35,16:41,16:43,16:46,16:51
T01X,Mondays to Fridays,,,,,16:48,16:52,17:02,17:06,17:13,17:19,17:21,17:24,17:30
T01X,Mondays to Fridays,,,,,17:18,17:22,17:32,17:36,17:43,17:49,17:51,17:54,18:00
T01X,Mondays to Fridays,,,,,17:32,17:36,17:46,17:50,17:57,18:03,18:05,18:08,18:14
T01X,Mondays to Fridays,,,,,17:47,17:51,18:01,18:05,18:12,18:18,18:20,18:23,18:29
