route_number,day_type,Atlantis Station,Koeberg Power Station,Duynefontein,Melkbosch,Birkenhead,Sandown,Porterfield,Table View,Sunset Beach,Racecourse,Milnerton,Woodbridge,Lagoon Beach,Zoarvlei,Vrystaat,Section,Neptune,Paarden Eiland,Woodstock,Civic Centre
T02,Mondays to Fridays,04:44,04:57,04:59,05:00,05:04,05:12,05:14,05:21,05:26,05:28,05:30,05:33,05:36,05:40,05:42,05:44,05:46,05:47,05:51,05:55
T02,Mondays to Fridays,05:03,05:16,05:18,05:19,05:23,05:31,05:33,05:40,05:45,05:47,05:49,05:52,05:55,05:59,06:01,06:03,06:05,06:06,06:10,06:14
T02,Mondays to Fridays,05:20,05:33,05:35,05:36,05:40,05:48,05:50,05:57,06:02,06:04,06:06,06:09,06:12,06:16,06:18,06:20,06:22,06:23,06:27,06:31
T02,Mondays to Fridays,05:35,05:48,05:50,05:51,05:55,06:03,06:05,06:12,06:17,06:19,06:21,06:24,06:27,06:31,06:33,06:35,06:37,06:38,06:42,06:46
T02,Mondays to Fridays,05:50,06:03,06:05,06:06,06:10,06:18,06:20,06:27,06:32,06:34,06:36,06:39,06:42,06:46,06:48,06:50,06:52,06:53,06:57,07:01
T02,Mondays to Fridays,06:05,06:18,06:20,06:21,06:25,06:33,06:35,06:42,06:47,06:49,06:51,06:54,06:57,07:01,07:03,07:05,07:07,07:08,07:12,07:16
T02,Mondays to Fridays,06:20,06:33,06:35,06:36,06:40,06:48,06:50,06:57,07:02,07:04,07:06,07:09,07:12,07:16,07:18,07:20,07:22,07:23,07:27,07:31
T02,Mondays to Fridays,06:26,06:39,06:41,06:42,06:46,06:54,06:56,07:03,07:08,07:10,07:12,07:15,07:18,07:22,07:24,07:26,07:28,07:29,07:33,07:37
T02,Mondays to Fridays,06:35,06:48,06:50,06:51,06:55,07:03,07:05,07:12,07:17,07:19,07:21,07:24,07:27,07:31,07:33,07:35,07:37,07:38,07:42,07:46
T02,Mondays to Fridays,06:50,07:03,07:05,07:06,07:10,07:18,07:20,07:27,07:32,07:34,07:36,07:39,07:42,07:46,07:48,07:50,07:52,07:53,07:57,08:01
T02,Mondays to Fridays,07:04,07:17,07:19,07:20,07:24,07:32,07:34,07:41,07:46,07:48,07:50,07:53,07:56,08:00,08:02,08:04,08:06,08:07,08:11,08:15
T02,Mondays to Fridays,07:10,07:23,07:25,07:26,07:30,07:38,07:40,07:47,07:52,07:54,07:56,07:59,08:02,08:06,08:08,08:10,08:12,08:13,08:17,08:21
T02,Mondays to Fridays,07:20,07:33,07:35,07:36,07:40,07:48,07:50,07:57,08:02,08:04,08:06,08:09,08:12,08:16,08:18,08:20,08:22,08:23,08:27,08:31
T02,Mondays to Fridays,07:38,07:51,07:53,07:54,07:58,08:06,08:08,08:15,08:20,08:22,08:24,08:27,08:30,08:34,08:36,08:38,08:40,08:41,08:45,08:49
T02,Mondays to Fridays,07:53,08:06,08:08,08:09,08:13,08:21,08:23,08:30,08:35,08:37,08:39,08:42,08:45,08:49,08:51,08:53,08:55,08:56,09:00,09:04
T02,Mondays to Fridays,08:30,08:43,08:45,08:46,08:50,08:58,09:00,09:07,09:12,09:14,09:16,09:19,09:22,09:26,09:28,09:30,09:32,09:33,09:37,09:41
T02,Mondays to Fridays,16:17,16:30,16:32,16:33,16:37,16:45,16:47,16:54,16:59,17:01,17:03,17:06,17:09,17:13,17:15,17:17,17:19,17:20,17:24,17:28
T02,Saturdays,05:15,05:28,05:31,05:35,05:39,05:49,05:51,05:58,,,,,,,,,,,,
T02,Saturdays,05:43,05:56,05:59,06:03,06:07,06:17,06:19,06:26,06:34,06:36,06:38,06:41,06:44,06:47,06:49,06:52,06:54,06:56,07:00,07:04
T02,Saturdays,06:11,06:24,06:27,06:31,06:35,06:45,06:47,06:54,,,,,,,,,,,,
T02,Saturdays,06:39,06:52,06:55,06:59,07:03,07:13,07:15,07:22,07:34,07:36,07:38,07:41,07:44,07:47,07:49,07:52,07:54,07:56,08:00,08:04
T02,Saturdays,06:53,07:06,07:09,07:13,07:17,07:27,07:29,07:36,,,,,,,,,,,,
T02,Saturdays,07:07,07:20,07:23,07:27,07:31,07:41,07:43,07:50,,,,,,,,,,,,
T02,Saturdays,07:21,07:34,07:37,07:41,07:45,07:55,07:57,08:04,,,,,,,,,,,,
T02,Saturdays,07:35,07:48,07:51,07:55,07:59,08:09,08:11,08:18,,,,,,,,,,,,
T02,Saturdays,07:49,08:02,08:05,08:09,08:13,08:23,08:25,08:32,,,,,,,,,,,,
T02,Saturdays,08:03,08:16,08:19,08:23,08:27,08:37,08:39,08:46,08:54,08:56,08:58,09:01,09:04,09:07,09:09,09:12,09:14,09:16,09:20,09:24
T02,Saturdays,08:17,08:30,08:33,08:37,08:41,08:51,08:53,09:00,,,,,,,,,,,,
T02,Saturdays,08:31,08:44,08:47,08:51,08:55,09:05,09:07,09:14,,,,,,,,,,,,
T02,Saturdays,08:45,08:58,09:01,09:05,09:09,09:19,09:21,09:28,,,,,,,,,,,,
T02,Saturdays,08:59,09:12,09:15,09:19,09:23,09:33,09:35,09:42,09:54,09:56,09:58,10:01,10:04,10:07,10:09,10:12,10:14,10:16,10:20,10:24
T02,Saturdays,09:13,09:26,09:29,09:33,09:37,09:47,09:49,09:56,,,,,,,,,,,,
T02,Saturdays,09:27,09:40,09:43,09:47,09:51,10:01,10:03,10:10,,,,,,,,,,,,
T02,Saturdays,09:41,09:54,09:57,10:01,10:05,10:15,10:17,10:24,,,,,,,,,,,,
T02,Saturdays,09:55,10:08,10:11,10:15,10:19,10:29,10:31,10:38,,,,,,,,,,,,
T02,Saturdays,10:09,10:22,10:25,10:29,10:33,10:43,10:45,10:52,,,,,,,,,,,,
T02,Saturdays,10:23,10:36,10:39,10:43,10:47,10:57,10:59,11:06,11:14,11:16,11:18,11:21,11:24,11:27,11:29,11:32,11:34,11:36,11:40,11:44
T02,Saturdays,10:37,10:50,10:53,10:57,11:01,11:11,11:13,11:20,,,,,,,,,,,,
T02,Saturdays,10:51,11:04,11:07,11:11,11:15,11:25,11:27,11:34,,,,,,,,,,,,
T02,Saturdays,11:05,11:18,11:21,11:25,11:29,11:39,11:41,11:48,,,,,,,,,,,,
T02,Saturdays,11:19,11:32,11:35,11:39,11:43,11:53,11:55,12:02,12:14,12:16,12:18,12:21,12:24,12:27,12:29,12:32,12:34,12:36,12:40,12:44
T02,Saturdays,11:33,11:46,11:49,11:53,11:57,12:07,12:09,12:16,,,,,,,,,,,,
T02,Saturdays,11:47,12:00,12:03,12:07,12:11,12:21,12:23,12:30,,,,,,,,,,,,
T02,Saturdays,12:01,12:14,12:17,12:21,12:25,12:35,12:37,12:44,,,,,,,,,,,,
T02,Saturdays,12:15,12:28,12:31,12:35,12:39,12:49,12:51,12:58,13:14,13:16,13:18,13:21,13:24,13:27,13:29,13:32,13:34,13:36,13:40,13:44
T02,Saturdays,12:29,12:42,12:45,12:49,12:53,13:03,13:05,13:12,,,,,,,,,,,,
T02,Saturdays,12:43,12:56,12:59,13:03,13:07,13:17,13:19,13:26,13:34,13:36,13:38,13:41,13:44,13:47,13:49,13:52,13:54,13:56,14:00,14:04
T02,Saturdays,12:57,13:10,13:13,13:17,13:21,13:31,13:33,13:40,,,,,,,,,,,,
T02,Saturdays,13:11,13:24,13:27,13:31,13:35,13:45,13:47,13:54,,,,,,,,,,,,
T02,Saturdays,13:25,13:38,13:41,13:45,13:49,13:59,14:01,14:08,,,,,,,,,,,,
T02,Saturdays,13:39,13:52,13:55,13:59,14:03,14:13,14:15,14:22,14:34,14:36,14:38,14:41,14:44,14:47,14:49,14:52,14:54,14:56,15:00,15:04
T02,Saturdays,13:53,14:06,14:09,14:13,14:17,14:27,14:29,14:36,,,,,,,,,,,,
T02,Saturdays,14:21,14:34,14:37,14:41,14:45,14:55,14:57,15:04,,,,,,,,,,,,
T02,Saturdays,14:35,14:48,14:51,14:55,14:59,15:09,15:11,15:18,15:34,15:36,15:38,15:41,15:44,15:47,15:49,15:52,15:54,15:56,16:00,16:04
T02,Saturdays,14:49,15:02,15:05,15:09,15:13,15:23,15:25,15:32,,,,,,,,,,,,
T02,Saturdays,15:03,15:16,15:19,15:23,15:27,15:37,15:39,15:46,15:54,15:56,15:58,16:01,16:04,16:07,16:09,16:12,16:14,16:16,16:20,16:24
T02,Saturdays,15:31,15:44,15:47,15:51,15:55,16:05,16:07,16:14,,,,,,,,,,,,
T02,Saturdays,15:45,15:58,16:01,16:05,16:09,16:19,16:21,16:28,,,,,,,,,,,,
T02,Saturdays,15:59,16:12,16:15,16:19,16:23,16:33,16:35,16:42,16:54,16:56,16:58,17:01,17:04,17:07,17:09,17:12,17:14,17:16,17:20,17:24
T02,Saturdays,16:55,17:08,17:11,17:15,17:19,17:29,17:31,17:38,17:54,17:56,17:58,18:01,18:04,18:07,18:09,18:12,18:14,18:16,18:20,18:24
