route_number,day_type,Civic Centre,Woodstock,Paarden Eiland,Neptune,Section,Vrystaat,Zoarvlei,Lagoon Beach,Woodbridge,Milnerton,Racecourse,Sunset Beach,Table View,Porterfield,Sandown,Birkenhead,Melkbosch,Duynefontein,Koeberg Power Station,Atlantis Station
T02,Mondays to Fridays,06:00,06:04,06:07,06:08,06:09,06:11,06:13,06:17,06:21,06:25,06:29,06:31,06:40,06:44,06:46,06:54,06:55,06:58,06:59,07:12
T02,Mondays to Fridays,06:20,06:24,06:27,06:28,06:29,06:31,06:33,06:37,06:41,06:45,06:49,06:51,07:00,07:04,07:06,07:14,07:15,07:18,07:19,07:32
T02,Mondays to Fridays,06:35,06:39,06:42,06:43,06:44,06:46,06:48,06:52,06:56,07:00,07:04,07:06,07:15,07:19,07:21,07:29,07:30,07:33,07:34,07:47
T02,Mondays to Fridays,14:30,14:34,14:37,14:38,14:39,14:41,14:43,14:47,14:51,14:55,14:59,15:01,15:10,15:14,15:16,15:24,15:25,15:28,15:29,15:42
T02,Mondays to Fridays,15:00,15:04,15:07,15:08,15:09,15:11,15:13,15:17,15:21,15:25,15:29,15:31,15:40,15:44,15:46,15:54,15:55,15:58,15:59,16:12
T02,Mondays to Fridays,15:20,15:24,15:27,15:28,15:29,15:31,15:33,15:37,15:41,15:45,15:49,15:51,16:00,16:04,16:06,16:14,16:15,16:18,16:19,16:32
T02,Mondays to Fridays,15:29,15:33,15:36,15:37,15:38,15:40,15:42,15:46,15:50,15:54,15:58,16:00,16:09,16:13,16:15,16:23,16:24,16:27,16:28,16:41
T02,Mondays to Fridays,15:38,15:42,15:45,15:46,15:47,15:49,15:51,15:55,15:59,16:03,16:07,16:09,16:15,16:20,16:24,16:32,16:33,16:37,16:40,16:53
T02,Mondays to Fridays,15:53,15:57,16:00,16:01,16:02,16:04,16:06,16:10,16:14,16:18,16:22,16:24,16:30,16:35,16:39,16:47,16:48,16:52,16:55,17:08
T02,Mondays to Fridays,15:54,15:58,16:01,16:02,16:03,16:05,16:07,16:11,16:15,16:19,16:23,16:25,16:31,16:36,16:40,16:48,16:49,16:53,16:56,17:09
T02,Mondays to Fridays,16:08,16:12,16:15,16:16,16:17,16:19,16:21,16:25,16:29,16:33,16:37,16:39,16:45,16:50,16:54,17:02,17:03,17:07,17:10,17:23
T02,Mondays to Fridays,16:23,16:27,16:30,16:31,16:32,16:34,16:36,16:40,16:44,16:48,16:52,16:54,17:00,17:05,17:09,17:17,17:18,17:22,17:25,17:38
T02,Mondays to Fridays,16:38,16:42,16:45,16:46,16:47,16:49,16:51,16:55,16:59,17:03,17:07,17:09,17:15,17:20,17:24,17:32,17:33,17:37,17:40,17:53
T02,Mondays to Fridays,16:43,16:47,16:50,16:51,16:52,16:54,16:56,17:00,17:04,17:08,17:12,17:14,17:23,17:27,17:29,17:37,17:38,17:41,17:42,17:55
T02,Mondays to Fridays,16:53,16:57,17:00,17:01,17:02,17:04,17:06,17:10,17:14,17:18,17:22,17:24,17:30,17:35,17:39,17:47,17:48,17:52,17:55,18:08
T02,Mondays to Fridays,17:08,17:12,17:15,17:16,17:17,17:19,17:21,17:25,17:29,17:33,17:37,17:39,17:45,17:50,17:54,18:02,18:03,18:07,18:10,18:23
T02,Mondays to Fridays,17:23,17:27,17:30,17:31,17:32,17:34,17:36,17:40,17:44,17:48,17:52,17:54,18:03,18:07,18:09,18:17,18:18,18:21,18:22,18:35
T02,Mondays to Fridays,17:38,17:42,17:45,17:46,17:47,17:49,17:51,17:55,17:59,18:03,18:07,18:09,18:18,18:22,18:24,18:32,18:33,18:36,18:37,18:50
T02,Mondays to Fridays,17:53,17:57,18:00,18:01,18:02,18:04,18:06,18:10,18:14,18:18,18:22,18:24,18:30,18:35,18:39,18:47,18:48,18:52,18:55,19:08
T02,Saturdays,,,,,,,,,,,,,06:02,06:11,06:12,06:23,06:25,06:28,06:29,06:42
T02,Saturdays,,,,,,,,,,,,,06:59,07:08,07:09,07:20,07:22,07:25,07:26,07:39
T02,Saturdays,07:25,07:29,07:32,07:33,07:34,07:36,07:38,07:42,07:45,07:49,07:51,07:53,07:59,08:08,08:19,08:30,08:32,08:35,08:36,08:49
T02,Saturdays,,,,,,,,,,,,,07:41,07:50,07:51,08:02,08:04,08:07,08:08,08:21
T02,Saturdays,,,,,,,,,,,,,07:55,08:04,08:05,08:16,08:18,08:21,08:22,08:35
T02,Saturdays,,,,,,,,,,,,,08:16,08:25,08:26,08:37,08:39,08:42,08:43,08:56
T02,Saturdays,,,,,,,,,,,,,08:23,08:32,08:33,08:44,08:46,08:49,08:50,09:03
T02,Saturdays,08:25,08:29,08:32,08:33,08:34,08:36,08:38,08:42,08:45,08:49,08:51,08:53,08:59,09:14,09:15,09:26,09:28,09:31,09:32,09:45
T02,Saturdays,,,,,,,,,,,,,08:37,08:46,08:47,08:58,09:00,09:03,09:04,09:17
T02,Saturdays,,,,,,,,,,,,,09:12,09:21,09:22,09:33,09:35,09:38,09:39,09:52
T02,Saturdays,,,,,,,,,,,,,09:19,09:28,09:29,09:40,09:42,09:45,09:46,09:59
T02,Saturdays,,,,,,,,,,,,,09:33,09:42,09:43,09:54,09:56,09:59,10:00,10:13
T02,Saturdays,09:45,09:49,09:52,09:53,09:54,09:56,09:58,10:02,10:05,10:09,10:11,10:13,10:19,10:28,10:39,10:50,10:52,10:55,10:56,11:09
T02,Saturdays,,,,,,,,,,,,,10:01,10:10,10:11,10:22,10:24,10:27,10:28,10:41
T02,Saturdays,,,,,,,,,,,,,10:15,10:24,10:25,10:36,10:38,10:41,10:42,10:55
T02,Saturdays,,,,,,,,,,,,,10:36,10:45,10:46,10:57,10:59,11:02,11:03,11:16
T02,Saturdays,,,,,,,,,,,,,10:43,10:52,10:53,11:04,11:06,11:09,11:10,11:23
