route_number,day_type,Civic Centre,Castle,Strand,Riebeeck,Alfred,Gallows Hill,Upper Portswood,Wigtown,Hill,Ellerton,Camberwell,Sea Point High,Firmount,Sea Point,Arthurs,Clarens,Kei Apple,Tramway,Queens
T02X,Mondays to Fridays,06:51,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,07:00,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,07:06,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,07:21,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,07:36,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,07:44,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,07:50,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,07:59,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,08:06,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,08:21,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,08:36,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,08:51,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,09:06,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,16:56,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,15:57,16:07,16:09,16:14,16:16,16:17,16:18,16:20,16:21,16:22,16:23,16:24,16:25,16:26,16:27,16:29,16:30,16:31,16:33
T02X,Mondays to Fridays,16:10,16:20,16:22,16:27,16:29,16:30,16:31,16:33,16:34,16:35,16:36,16:37,16:38,16:39,16:40,16:42,16:43,16:44,16:46
T02X,Mondays to Fridays,16:20,16:30,16:32,16:37,16:39,16:40,16:41,16:43,16:44,16:45,16:46,16:47,16:48,16:49,16:50,16:52,16:53,16:54,16:56
T02X,Mondays to Fridays,17:43,,,,,,,,,,,,,,,,,,
T02X,Mondays to Fridays,18:05,,,,,,,,,,,,,,,,,,
