route_number,day_type,Queens,Tramway,Kei Apple,Clarens,Arthurs,Sea Point,Firmount,Sea Point High,Camberwell,Ellerton,Hill,Wigtown,Upper Portswood,Gallows Hill,Alfred,Riebeeck,St Georges,Darling,Castle,Civic Centre,Woodstock,Woodbridge,Racecourse,Table View,Porterfield,Sandown,Atlantis Station
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,06:50,06:55,07:05,07:09,07:16,07:21,07:24,07:59
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,06:56,07:01,07:11,07:15,07:22,07:27,07:30,08:05
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,07:06,07:11,07:21,07:25,07:32,07:37,07:40,08:15
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,15:45,15:49,16:06,16:14,16:22,16:27,16:31,17:00
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,16:03,16:07,16:16,16:20,16:27,16:32,16:36,17:03
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,16:18,16:22,16:31,16:35,16:42,16:47,16:51,17:18
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,16:33,16:37,16:46,16:50,16:57,17:02,17:06,17:33
T02X,Mondays to Fridays,16:38,16:39,16:40,16:41,16:42,16:43,16:44,16:45,16:45,16:47,16:48,16:49,16:50,16:52,16:53,16:57,16:59,17:03,17:04,17:13,17:22,17:31,17:35,17:42,17:47,17:51,18:18
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,16:48,16:52,17:01,17:05,17:12,17:17,17:21,17:48
T02X,Mondays to Fridays,16:51,16:52,16:53,16:54,16:55,16:56,16:57,16:58,16:58,17:00,17:01,17:02,17:03,17:05,17:06,17:10,17:12,17:16,17:17,17:26,17:37,17:46,17:50,17:57,18:02,18:06,18:33
T02X,Mondays to Fridays,17:01,17:02,17:03,17:04,17:05,17:06,17:07,17:08,17:08,17:10,17:11,17:12,17:13,17:15,17:16,17:20,17:22,17:26,17:27,17:36,17:52,18:01,18:05,18:12,18:16,18:18,18:45
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,17:03,17:07,17:16,17:20,17:27,17:32,17:36,18:03
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,18:03,18:07,18:16,18:20,18:27,18:32,18:36,19:03
T02X,Mondays to Fridays,,,,,,,,,,,,,,,,,,,,18:11,18:15,18:24,18:28,18:35,18:40,18:44,19:11
