route_number,day_type,Stables Turnaround,Killarney,Potsdam,Refinery,Montague Gardens,Turf Club,Omuramba,Gousblom,Crassula,Zastron,Corsair,Democracy South,Sanddrift,Century City
T04,Mondays to Fridays,05:19,05:26,05:30,05:33,05:35,05:38,05:41,05:43,05:44,05:45,05:46,05:48,05:50,05:53
T04,Mondays to Fridays,05:43,05:50,05:54,05:57,05:59,06:02,06:05,06:07,06:08,06:09,06:10,06:12,06:14,06:17
T04,Mondays to Fridays,06:07,06:14,06:18,06:21,06:23,06:26,06:29,06:31,06:32,06:33,06:34,06:36,06:38,06:41
T04,Mondays to Fridays,06:31,06:38,06:42,06:45,06:47,06:50,06:53,06:55,06:56,06:57,06:58,07:00,07:02,07:05
T04,Mondays to Fridays,06:55,07:02,07:06,07:09,07:11,07:14,07:17,07:19,07:20,07:21,07:22,07:24,07:26,07:29
T04,Mondays to Fridays,07:19,07:26,07:30,07:33,07:35,07:38,07:41,07:43,07:44,07:45,07:46,07:48,07:50,07:53
T04,Mondays to Fridays,07:43,07:50,07:54,07:57,07:59,08:02,08:05,08:07,08:08,08:09,08:10,08:12,08:14,08:17
T04,Mondays to Fridays,08:07,08:14,08:18,08:21,08:23,08:26,08:29,08:31,08:32,08:33,08:34,08:36,08:38,08:41
T04,Mondays to Fridays,09:19,09:26,09:30,09:33,09:35,09:38,09:41,09:43,09:44,09:45,09:46,09:48,09:50,09:53
T04,Mondays to Fridays,10:31,10:38,10:42,10:45,10:47,10:50,10:53,10:55,10:56,10:57,10:58,11:00,11:02,11:05
T04,Mondays to Fridays,11:43,11:50,11:54,11:57,11:59,12:02,12:05,12:07,12:08,12:09,12:10,12:12,12:14,12:17
T04,Mondays to Fridays,12:55,13:02,13:06,13:09,13:11,13:14,13:17,13:19,13:20,13:21,13:22,13:24,13:26,13:29
T04,Mondays to Fridays,14:07,14:14,14:18,14:21,14:23,14:26,14:29,14:31,14:32,14:33,14:34,14:36,14:38,14:41
T04,Mondays to Fridays,15:19,15:26,15:30,15:33,15:35,15:38,15:41,15:43,15:44,15:45,15:46,15:48,15:50,15:53
T04,Mondays to Fridays,15:43,15:50,15:54,15:57,15:59,16:02,16:05,16:07,16:08,16:09,16:10,16:12,16:14,16:17
T04,Mondays to Fridays,16:07,16:14,16:18,16:21,16:23,16:26,16:29,16:31,16:32,16:33,16:34,16:36,16:38,16:41
T04,Mondays to Fridays,16:31,16:38,16:42,16:45,16:47,16:50,16:53,16:55,16:56,16:57,16:58,17:00,17:02,17:05
T04,Mondays to Fridays,16:55,17:02,17:06,17:09,17:11,17:14,17:17,17:19,17:20,17:21,17:22,17:24,17:26,17:29
T04,Mondays to Fridays,17:19,17:26,17:30,17:33,17:35,17:38,17:41,17:43,17:44,17:45,17:46,17:48,17:50,17:53
T04,Mondays to Fridays,17:43,17:50,17:54,17:57,17:59,18:02,18:05,18:07,18:08,18:09,18:10,18:12,18:14,18:17
T04,Mondays to Fridays,18:07,18:14,18:18,18:21,18:23,18:26,18:29,18:31,18:32,18:33,18:34,18:36,18:38,18:41
T04,Mondays to Fridays,18:31,18:38,18:42,18:45,18:47,18:50,18:53,18:55,18:56,18:57,18:58,19:00,19:02,19:05
T04,Mondays to Fridays,19:28,19:35,19:39,19:42,19:44,19:47,19:50,19:52,19:53,19:54,19:55,19:57,19:59,20:02
T04,Saturdays,05:20,05:25,05:28,05:31,05:32,05:34,05:36,05:38,05:39,05:40,05:41,05:43,05:45,05:48
T04,Saturdays,06:20,06:25,06:28,06:31,06:32,06:34,06:36,06:38,06:39,06:40,06:41,06:43,06:45,06:48
T04,Saturdays,07:20,07:25,07:28,07:31,07:32,07:34,07:36,07:38,07:39,07:40,07:41,07:43,07:45,07:48
T04,Saturdays,08:20,08:25,08:28,08:31,08:32,08:34,08:36,08:38,08:39,08:40,08:41,08:43,08:45,08:48
T04,Saturdays,09:20,09:25,09:28,09:31,09:32,09:34,09:36,09:38,09:39,09:40,09:41,09:43,09:45,09:48
T04,Saturdays,10:20,10:25,10:28,10:31,10:32,10:34,10:36,10:38,10:39,10:40,10:41,10:43,10:45,10:48
T04,Saturdays,11:20,11:25,11:28,11:31,11:32,11:34,11:36,11:38,11:39,11:40,11:41,11:43,11:45,11:48
T04,Saturdays,12:20,12:25,12:28,12:31,12:32,12:34,12:36,12:38,12:39,12:40,12:41,12:43,12:45,12:48
T04,Saturdays,13:20,13:25,13:28,13:31,13:32,13:34,13:36,13:38,13:39,13:40,13:41,13:43,13:45,13:48
T04,Saturdays,14:20,14:25,14:28,14:31,14:32,14:34,14:36,14:38,14:39,14:40,14:41,14:43,14:45,14:48
T04,Saturdays,15:20,15:25,15:28,15:31,15:32,15:34,15:36,15:38,15:39,15:40,15:41,15:43,15:45,15:48
T04,Saturdays,16:20,16:25,16:28,16:31,16:32,16:34,16:36,16:38,16:39,16:40,16:41,16:43,16:45,16:48
T04,Saturdays,17:20,17:25,17:28,17:31,17:32,17:34,17:36,17:38,17:39,17:40,17:41,17:43,17:45,17:48
T04,Saturdays,18:20,18:25,18:28,18:31,18:32,18:34,18:36,18:38,18:39,18:40,18:41,18:43,18:45,18:48
T04,Saturdays,19:30,19:35,19:38,19:41,19:42,19:44,19:46,19:48,19:49,19:50,19:51,19:53,19:55,19:58
T04,Sundays and Public Holidays,05:20,05:25,05:28,05:31,05:32,05:34,05:36,05:38,05:39,05:40,05:41,05:43,05:45,05:48
T04,Sundays and Public Holidays,06:20,06:25,06:28,06:31,06:32,06:34,06:36,06:38,06:39,06:40,06:41,06:43,06:45,06:48
T04,Sundays and Public Holidays,07:20,07:25,07:28,07:31,07:32,07:34,07:36,07:38,07:39,07:40,07:41,07:43,07:45,07:48
T04,Sundays and Public Holidays,08:20,08:25,08:28,08:31,08:32,08:34,08:36,08:38,08:39,08:40,08:41,08:43,08:45,08:48
T04,Sundays and Public Holidays,09:20,09:25,09:28,09:31,09:32,09:34,09:36,09:38,09:39,09:40,09:41,09:43,09:45,09:48
T04,Sundays and Public Holidays,10:20,10:25,10:28,10:31,10:32,10:34,10:36,10:38,10:39,10:40,10:41,10:43,10:45,10:48
T04,Sundays and Public Holidays,11:20,11:25,11:28,11:31,11:32,11:34,11:36,11:38,11:39,11:40,11:41,11:43,11:45,11:48
T04,Sundays and Public Holidays,12:20,12:25,12:28,12:31,12:32,12:34,12:36,12:38,12:39,12:40,12:41,12:43,12:45,12:48
T04,Sundays and Public Holidays,13:20,13:25,13:28,13:31,13:32,13:34,13:36,13:38,13:39,13:40,13:41,13:43,13:45,13:48
T04,Sundays and Public Holidays,14:20,14:25,14:28,14:31,14:32,14:34,14:36,14:38,14:39,14:40,14:41,14:43,14:45,14:48
T04,Sundays and Public Holidays,15:20,15:25,15:28,15:31,15:32,15:34,15:36,15:38,15:39,15:40,15:41,15:43,15:45,15:48
T04,Sundays and Public Holidays,16:20,16:25,16:28,16:31,16:32,16:34,16:36,16:38,16:39,16:40,16:41,16:43,16:45,16:48
T04,Sundays and Public Holidays,17:20,17:25,17:28,17:31,17:32,17:34,17:36,17:38,17:39,17:40,17:41,17:43,17:45,17:48
T04,Sundays and Public Holidays,18:20,18:25,18:28,18:31,18:32,18:34,18:36,18:38,18:39,18:40,18:41,18:43,18:45,18:48
T04,Sundays and Public Holidays,19:30,19:35,19:38,19:41,19:42,19:44,19:46,19:48,19:49,19:50,19:51,19:53,19:55,19:58
