route_number,day_type,Century City,Sanddrift,Democracy South,Corsair,Zastron,Crassula,Lobelia,Omuramba,Turf Club,Montague Gardens,Refinery,Potsdam,Killarney,Stables Turnaround
T04,Mondays to Fridays,05:53,05:57,05:59,06:00,06:01,06:02,06:04,06:06,06:10,06:12,06:14,06:18,06:21,06:26
T04,Mondays to Fridays,06:17,06:21,06:23,06:24,06:25,06:26,06:28,06:30,06:34,06:36,06:38,06:42,06:45,06:50
T04,Mondays to Fridays,06:41,06:45,06:47,06:48,06:49,06:50,06:52,06:54,06:58,07:00,07:02,07:06,07:09,07:14
T04,Mondays to Fridays,07:05,07:09,07:11,07:12,07:13,07:14,07:16,07:18,07:22,07:24,07:26,07:30,07:33,07:38
T04,Mondays to Fridays,07:29,07:33,07:35,07:36,07:37,07:38,07:40,07:42,07:46,07:48,07:50,07:54,07:57,08:02
T04,Mondays to Fridays,07:53,07:57,07:59,08:00,08:01,08:02,08:04,08:06,08:10,08:12,08:14,08:18,08:21,08:26
T04,Mondays to Fridays,08:17,08:21,08:23,08:24,08:25,08:26,08:28,08:30,08:34,08:36,08:38,08:42,08:45,08:50
T04,Mondays to Fridays,08:41,08:45,08:47,08:48,08:49,08:50,08:52,08:54,08:58,09:00,09:02,09:06,09:09,09:14
T04,Mondays to Fridays,09:53,09:57,09:59,10:00,10:01,10:02,10:04,10:06,10:10,10:12,10:14,10:18,10:21,10:26
T04,Mondays to Fridays,11:05,11:09,11:11,11:12,11:13,11:14,11:16,11:18,11:22,11:24,11:26,11:30,11:33,11:38
T04,Mondays to Fridays,12:17,12:21,12:23,12:24,12:25,12:26,12:28,12:30,12:34,12:36,12:38,12:42,12:45,12:50
T04,Mondays to Fridays,13:29,13:33,13:35,13:36,13:37,13:38,13:40,13:42,13:46,13:48,13:50,13:54,13:57,14:02
T04,Mondays to Fridays,14:41,14:45,14:47,14:48,14:49,14:50,14:52,14:54,14:58,15:00,15:02,15:06,15:09,15:14
T04,Mondays to Fridays,15:53,15:57,15:59,16:00,16:01,16:02,16:04,16:06,16:10,16:12,16:14,16:18,16:21,16:26
T04,Mondays to Fridays,16:17,16:21,16:23,16:24,16:25,16:26,16:28,16:30,16:34,16:36,16:38,16:42,16:45,16:50
T04,Mondays to Fridays,16:41,16:45,16:47,16:48,16:49,16:50,16:52,16:54,16:58,17:00,17:02,17:06,17:09,17:14
T04,Mondays to Fridays,17:05,17:09,17:11,17:12,17:13,17:14,17:16,17:18,17:22,17:24,17:26,17:30,17:33,17:38
T04,Mondays to Fridays,17:29,17:33,17:35,17:36,17:37,17:38,17:40,17:42,17:46,17:48,17:50,17:54,17:57,18:02
T04,Mondays to Fridays,17:53,17:57,17:59,18:00,18:01,18:02,18:04,18:06,18:10,18:12,18:14,18:18,18:21,18:26
T04,Mondays to Fridays,18:17,18:21,18:23,18:24,18:25,18:26,18:28,18:30,18:34,18:36,18:38,18:42,18:45,18:50
T04,Mondays to Fridays,18:41,18:45,18:47,18:48,18:49,18:50,18:52,18:54,18:58,19:00,19:02,19:06,19:09,19:14
T04,Mondays to Fridays,19:05,19:09,19:11,19:12,19:13,19:14,19:16,19:18,19:22,19:24,19:26,19:30,19:33,19:38
T04,Mondays to Fridays,20:15,20:19,20:21,20:22,20:23,20:24,20:26,20:28,20:32,20:34,20:36,20:40,20:43,20:48
T04,Saturdays,05:48,05:51,05:52,05:53,05:54,05:55,05:56,05:59,06:01,06:03,06:05,06:08,06:11,06:15
T04,Saturdays,06:48,06:51,06:52,06:53,06:54,06:55,06:56,06:59,07:01,07:03,07:05,07:08,07:11,07:15
T04,Saturdays,07:48,07:51,07:52,07:53,07:54,07:55,07:56,07:59,08:01,08:03,08:05,08:08,08:11,08:15
T04,Saturdays,08:48,08:51,08:52,08:53,08:54,08:55,08:56,08:59,09:01,09:03,09:05,09:08,09:11,09:15
T04,Saturdays,09:48,09:51,09:52,09:53,09:54,09:55,09:56,09:59,10:01,10:03,10:05,10:08,10:11,10:15
T04,Saturdays,10:48,10:51,10:52,10:53,10:54,10:55,10:56,10:59,11:01,11:03,11:05,11:08,11:11,11:15
T04,Saturdays,11:48,11:51,11:52,11:53,11:54,11:55,11:56,11:59,12:01,12:03,12:05,12:08,12:11,12:15
T04,Saturdays,12:48,12:51,12:52,12:53,12:54,12:55,12:56,12:59,13:01,13:03,13:05,13:08,13:11,13:15
T04,Saturdays,13:48,13:51,13:52,13:53,13:54,13:55,13:56,13:59,14:01,14:03,14:05,14:08,14:11,14:15
T04,Saturdays,14:48,14:51,14:52,14:53,14:54,14:55,14:56,14:59,15:01,15:03,15:05,15:08,15:11,15:15
T04,Saturdays,15:48,15:51,15:52,15:53,15:54,15:55,15:56,15:59,16:01,16:03,16:05,16:08,16:11,16:15
T04,Saturdays,16:48,16:51,16:52,16:53,16:54,16:55,16:56,16:59,17:01,17:03,17:05,17:08,17:11,17:15
T04,Saturdays,17:48,17:51,17:52,17:53,17:54,17:55,17:56,17:59,18:01,18:03,18:05,18:08,18:11,18:15
T04,Saturdays,18:48,18:51,18:52,18:53,18:54,18:55,18:56,18:59,19:01,19:03,19:05,19:08,19:11,19:15
T04,Saturdays,20:13,20:16,20:17,20:18,20:19,20:20,20:21,20:24,20:26,20:28,20:30,20:33,20:36,20:40
T04,Sundays and Public Holidays,05:48,05:51,05:52,05:53,05:54,05:55,05:56,05:59,06:01,06:03,06:05,06:08,06:11,06:15
T04,Sundays and Public Holidays,06:48,06:51,06:52,06:53,06:54,06:55,06:56,06:59,07:01,07:03,07:05,07:08,07:11,07:15
T04,Sundays and Public Holidays,07:48,07:51,07:52,07:53,07:54,07:55,07:56,07:59,08:01,08:03,08:05,08:08,08:11,08:15
T04,Sundays and Public Holidays,08:48,08:51,08:52,08:53,08:54,08:55,08:56,08:59,09:01,09:03,09:05,09:08,09:11,09:15
T04,Sundays and Public Holidays,09:48,09:51,09:52,09:53,09:54,09:55,09:56,09:59,10:01,10:03,10:05,10:08,10:11,10:15
T04,Sundays and Public Holidays,10:48,10:51,10:52,10:53,10:54,10:55,10:56,10:59,11:01,11:03,11:05,11:08,11:11,11:15
T04,Sundays and Public Holidays,11:48,11:51,11:52,11:53,11:54,11:55,11:56,11:59,12:01,12:03,12:05,12:08,12:11,12:15
T04,Sundays and Public Holidays,12:48,12:51,12:52,12:53,12:54,12:55,12:56,12:59,13:01,13:03,13:05,13:08,13:11,13:15
T04,Sundays and Public Holidays,13:48,13:51,13:52,13:53,13:54,13:55,13:56,13:59,14:01,14:03,14:05,14:08,14:11,14:15
T04,Sundays and Public Holidays,14:48,14:51,14:52,14:53,14:54,14:55,14:56,14:59,15:01,15:03,15:05,15:08,15:11,15:15
T04,Sundays and Public Holidays,15:48,15:51,15:52,15:53,15:54,15:55,15:56,15:59,16:01,16:03,16:05,16:08,16:11,16:15
T04,Sundays and Public Holidays,16:48,16:51,16:52,16:53,16:54,16:55,16:56,16:59,17:01,17:03,17:05,17:08,17:11,17:15
T04,Sundays and Public Holidays,17:48,17:51,17:52,17:53,17:54,17:55,17:56,17:59,18:01,18:03,18:05,18:08,18:11,18:15
T04,Sundays and Public Holidays,18:48,18:51,18:52,18:53,18:54,18:55,18:56,18:59,19:01,19:03,19:05,19:08,19:11,19:15
T04,Sundays and Public Holidays,20:13,20:16,20:17,20:18,20:19,20:20,20:21,20:24,20:26,20:28,20:30,20:33,20:36,20:40
