ID,NAME,xcoord,ycoord
1,Atlantis,18.491651000577,-33.5639050003842
2,Arion,18.4962009993589,-33.5590790000669
3,Charel Uys North,18.493862000137,-33.5556980004651
4,Montreal,18.4934880000225,-33.5521349993791
5,Tsitsikamma,18.4944239998651,-33.5474980001081
6,Silverstream,18.4826680004798,-33.5205069996256
7,PM Louw,18.477772999369,-33.5171260004898
8,Enon,18.4748429996598,-33.5131880001413
9,Goedverwacht,18.4710100000646,-33.5130619996001
10,Paradise,18.4664679994253,-33.512882999483
11,Crown,18.4639100004657,-33.5140250001812
12,Crown,18.4639100004657,-33.5140250001812
13,Paradise,18.4662099996118,-33.5132240005545
14,Goedverwacht,18.4720189995376,-33.5123440005464
15,Enon,18.474575000593,-33.5127810003185
16,PM Louw,18.4777360002361,-33.517075000321
17,Silverstream,18.4826710005043,-33.5205070002244
18,Tsitsikamma,18.4944240001978,-33.5475500001533
19,Montreal,18.4934870001705,-33.5521379995493
20,Charel Uys North,18.4938700001346,-33.5557150002438
21,Arion,18.4962090001716,-33.5591070003792
22,Atlantis,18.4918109998214,-33.5638499999132
23,Clearwater,18.4974589996385,-33.55426499992
24,Sampson,18.4974000003207,-33.5641069989651
25,Carmel,18.4998950002397,-33.562582999891
26,Caelian,18.5018470006163,-33.5595450000922
27,Harrow,18.5049920006141,-33.5575749998093
28,Malvern,18.5018630000251,-33.5553689996195
29,Deerlodge,18.4977919995189,-33.5513450000838
30,Tsitsikamma,18.4944239998651,-33.5474980001081
31,Frans,18.4808240002151,-33.5138870000444
32,Boat Bay,18.3867629996159,-33.9160199996574
33,Knysna,18.5016079996472,-33.5502520007733
34,Denne West,18.4740169997196,-33.5083969991448
35,Sampson,18.4976550004329,-33.5641689997687
36,Carmel,18.4998520003225,-33.5626899997994
37,Caelian,18.5018299999033,-33.5596159993516
38,Harrow,18.5049370009478,-33.5576389994846
39,Malvern,18.5012779996891,-33.5550859998053
40,Deerlodge,18.4978460005266,-33.551401999793
41,Tsitsikamma,18.4944240001978,-33.5475500001533
42,Frans,18.4807669996484,-33.5139780001793
43,Johannes,18.4786830001499,-33.5137730005289
44,Enon,18.474575000593,-33.5127810003185
45,Atlantis,18.491651000577,-33.5639050003842
46,Wesfleur Park,18.4882319994596,-33.5587939996839
47,Saxonsea Primary,18.4886039998457,-33.55505699994
48,Saxonsea Clinic,18.4884319986989,-33.5501819994531
49,Hermes,18.4861859993547,-33.5474900005244
50,Lisboa,18.4841389997194,-33.544660000155
51,Atlantis,18.4918109998214,-33.5638499999132
52,Wesfleur Park,18.4883289995323,-33.5586790003469
53,Soxonsea Primary,18.4887400000398,-33.5554640006631
54,Saxonsea Clinic,18.4885479990009,-33.5503369997189
55,Kehrweider,18.487336999874,-33.5481630001824
56,Magnet,18.4905139996166,-33.5464349999102
57,Mauritius,18.4878390007344,-33.5441380001639
58,Atlantis,18.491651000577,-33.5639050003842
59,Wesfleur Park,18.4882319994596,-33.5587939996839
60,Fernande,18.48856899949,-33.5552570004061
61,Valleyfield,18.4836980007279,-33.5548870005185
62,Goede Hoop,18.4848940000572,-33.5509049999405
63,Saxonsea Clinic,18.4884319986989,-33.5501819994531
64,Hermes,18.4861859993547,-33.5474900005244
